product_key,system,body,indication_key,decision_date,outcome,indication_authorisation_date,authorisation_basis,months_stated_by_agent,months_from_indication_authorisation,is_extension
kymriah,Italy,AIFA,ALL_ped,2019-08-12,recommended-managed-access,2018-08-23,label event (EMA procedural steps),11.6,11.6,False
kymriah,Italy,AIFA,LBCL_3L,2019-08-12,recommended-managed-access,2018-08-23,label event (EMA procedural steps),11.6,11.6,False
kymriah,Italy,AIFA,ALL_ped;LBCL_3L,2022-12-12,recommended-managed-access,2018-08-23,initial EU authorisation,51.6,51.6,False
kymriah,Italy,AIFA,FL_3L,2023-08-08,recommended-restricted,2022-04-29,label event (EMA procedural steps),14.3,15.3,True
yescarta,Italy,AIFA,LBCL_3L,2019-11-11,recommended-managed-access,2018-08-23,label event (EMA procedural steps),14.6,14.6,False
yescarta,Italy,AIFA,LBCL_3L,2022-12-13,recommended-restricted,2018-08-23,label event (EMA procedural steps),51.7,51.7,False
yescarta,Italy,AIFA,LBCL_2L,2023-11-11,recommended-restricted,2022-10-14,label event (EMA procedural steps),12.8,12.9,True
yescarta,Italy,AIFA,FL_4L,2023-11-11,recommended-restricted,2018-08-23,initial EU authorisation,16.7,62.6,False
tecartus,Italy,AIFA,MCL_3L,2022-03-11,recommended-restricted,2020-12-14,initial EU authorisation,14.8,14.8,False
tecartus,Italy,AIFA,ALL_adult_26plus,2023-12-04,recommended-restricted,2020-12-14,initial EU authorisation,15.1,35.6,False
abecma,Italy,AIFA,MM_4L,2023-08-19,not-recommended,2021-08-18,label event (EMA procedural steps),24.0,24.0,False
abecma,Italy,AIFA,MM_4L,2024-02-08,recommended-restricted,2021-08-18,label event (EMA procedural steps),29.7,29.7,False
abecma,Italy,AIFA,MM_3L,2026-05-20,recommended-restricted,2024-03-19,label event (EMA procedural steps),26.0,26.0,True
breyanzi,Italy,AIFA,LBCL_3L,2024-02-08,recommended-restricted,2022-04-04,label event (EMA procedural steps),22.2,22.2,False
breyanzi,Italy,AIFA,LBCL_2L,2025-12-15,recommended-restricted,2023-04-28,label event (EMA procedural steps),31.8,31.6,True
carvykti,Italy,AIFA,MM_4L,2025-03-24,terminated-or-withdrawn,2022-05-25,label event (EMA procedural steps),34.0,34.0,False
carvykti,Italy,AIFA,MM_2L,2026-04-03,recommended-restricted,2024-04-19,label event (EMA procedural steps),23.5,23.5,True
casgevy,Italy,AIFA,TDT_12plus,2025-10-07,recommended-managed-access,2024-02-09,label event (EMA procedural steps),19.9,19.9,False
casgevy,Italy,AIFA,SCD_VOC_12plus,2025-10-07,recommended-managed-access,2024-02-09,label event (EMA procedural steps),19.9,19.9,False
hemgenix,Italy,AIFA,HEMB_adult,2025-09-03,recommended-managed-access,2023-02-20,initial EU authorisation,30.4,30.4,False
roctavian,Italy,AIFA,HEMA_adult,2024-01-22,recommended-restricted,2022-08-24,initial EU authorisation,17.0,17.0,False
kebilidi,Italy,AIFA,AADC,2023-12-04,recommended-restricted,2022-07-18,initial EU authorisation,16.6,16.6,False
lenmeldy,Italy,AIFA,MLD_early,2022-04-07,recommended-restricted,2020-12-17,initial EU authorisation,15.6,15.6,False
lenmeldy,Italy,AIFA,MLD_early,2025-06-17,recommended-restricted,2020-12-17,initial EU authorisation,54.0,54.0,False
