product_key,system,n_rows,n_usable,first_decision_date,first_outcome,first_body,months_approval_to_first_decision,approval_basis,months_fda_to_first_decision,first_funding_body,first_funding_date,months_approval_to_first_funding,months_approval_to_first_funding_excl_early_access,latest_outcome,latest_decision_date,arrangement_types,any_not_recommended,statuses
abecma,Australia,1,0,,not-submitted,,,,,,,,,,,,False,provisional-from-snippet
abecma,Canada,3,3,2021-05-14,not-recommended,CADTH,-0.4,stated by agent,1.6,,,,,terminated-or-withdrawn,2024-04-18,none,True,verified-from-source
abecma,England,2,2,2023-11-30,terminated-or-withdrawn,NICE,27.4,stated by agent,32.2,,,,,terminated-or-withdrawn,2025-07-23,none,False,verified-from-source
abecma,France,9,9,2021-04-29,recommended-managed-access,ANSM (accès précoce),-3.6,stated by agent,1.1,ANSM (accès précoce),2021-04-29,-3.6,38.6,recommended,2025-12-05,"confidential-discount,managed-access-agreement,none,unknown",False,verified-from-source
abecma,Germany,3,3,2022-06-16,recommended-restricted,G-BA,9.9,stated by agent,14.7,G-BA,2022-06-16,9.9,9.9,not-recommended,2024-09-19,none,True,verified-from-source
abecma,Italy,3,3,2023-08-19,not-recommended,AIFA,24.0,stated by agent,28.8,AIFA,2024-02-08,29.7,29.7,recommended-restricted,2026-05-20,"confidential-discount,none",True,verified-from-source
adstiladrin,Australia,1,0,,not-submitted,,,,,,,,,,,,False,provisional-from-snippet
adstiladrin,Canada,1,0,,not-found,,,,,,,,,,,,False,not-found
adstiladrin,England,1,0,,not-found,,,,,,,,,,,,False,not-found
adstiladrin,France,1,0,,not-found,,,,,,,,,,,,False,not-found
adstiladrin,Germany,1,0,,not-found,,,,,,,,,,,,False,not-found
adstiladrin,Italy,1,0,,under-assessment,,,,,,,,,,,,False,verified-from-source
alofisel,Australia,1,0,,not-submitted,,,,,,,,,,,,False,provisional-from-snippet
alofisel,Canada,1,0,,not-found,,,,,,,,,,,,False,not-found
alofisel,England,1,1,2019-01-09,not-recommended,NICE,9.6,stated by agent,,,,,,not-recommended,2019-01-09,none,True,verified-from-source
alofisel,France,3,2,2019-02-06,recommended-restricted,HAS-CT,10.5,stated by agent,,,,,,not-recommended,2019-02-06,"none,unknown",True,"not-found,verified-from-source"
alofisel,Germany,1,1,2018-11-22,recommended-restricted,G-BA,8.0,stated by agent,,G-BA,2018-11-22,8.0,8.0,recommended-restricted,2018-11-22,none,False,verified-from-source
alofisel,Italy,1,1,2018-10-08,not-recommended,AIFA,6.5,stated by agent,,,,,,not-recommended,2018-10-08,none,True,verified-from-source
amtagvi,Australia,1,0,,recommended,,,,,,,,,,,,False,provisional-from-snippet
amtagvi,Canada,1,0,,not-found,,,,,,,,,,,,False,not-found
amtagvi,England,1,0,,under-assessment,,,,,,,,,,,,False,verified-from-source
amtagvi,France,1,0,,not-submitted,,,,,,,,,,,,False,not-found
amtagvi,Germany,1,0,,not-submitted,,,,,,,,,,,,False,verified-from-source
amtagvi,Italy,1,0,,not-submitted,,,,,,,,,,,,False,not-found
aucatzyl,Australia,1,0,,not-submitted,,,,,,,,,,,,False,provisional-from-snippet
aucatzyl,Canada,1,0,,not-submitted,,,,,,,,,,,,False,not-found
aucatzyl,England,1,1,2025-12-11,recommended-restricted,NICE,4.8,stated by agent,13.1,NICE,2025-12-11,4.8,4.8,recommended-restricted,2025-12-11,confidential-discount,False,verified-from-source
aucatzyl,France,1,0,,not-found,,,,,,,,,,,,False,not-found
aucatzyl,Germany,1,0,,not-found,,,,,,,,,,,,False,not-found
aucatzyl,Italy,1,0,,not-found,,,,,,,,,,,,False,not-found
beqvez,Australia,1,0,,not-submitted,,,,,,,,,,,,False,provisional-from-snippet
beqvez,Canada,2,2,2023-12-20,recommended-restricted,CADTH,-0.2,stated by agent,-4.2,,,,,not-recommended,2025-04-04,"confidential-discount,none",True,verified-from-source
beqvez,England,1,1,2026-06-04,terminated-or-withdrawn,NICE,22.3,stated by agent,25.3,,,,,terminated-or-withdrawn,2026-06-04,none,False,verified-from-source
beqvez,France,1,0,,not-found,,,,,,,,,,,,False,not-found
beqvez,Germany,1,0,,terminated-or-withdrawn,,,,,,,,,,,,False,verified-from-source
beqvez,Italy,1,0,,not-found,,,,,,,,,,,,False,not-found
breyanzi,Australia,1,0,,not-submitted,,,,,,,,,,,,False,provisional-from-snippet
breyanzi,Canada,4,4,2022-04-13,recommended-restricted,CADTH,-0.8,stated by agent,14.2,pCPA,2023-12-12,19.2,19.2,recommended,2025-06-06,confidential-discount,False,verified-from-source
breyanzi,England,7,6,2024-07-10,terminated-or-withdrawn,NICE,27.2,stated by agent,41.1,NICE,2025-03-26,35.7,35.7,terminated-or-withdrawn,2026-08-20,"confidential-discount,none",False,verified-from-source
breyanzi,France,8,6,2023-09-07,recommended-managed-access,ANSM (accès précoce),17.1,stated by agent,31.0,ANSM (accès précoce),2023-09-07,17.1,27.1,recommended,2026-06-03,"confidential-discount,managed-access-agreement,none,unknown",False,"provisional-from-snippet,verified-from-source"
breyanzi,Germany,7,7,2023-04-06,not-recommended,G-BA,12.1,stated by agent,26.0,G-BA,2023-11-16,6.6,6.6,not-recommended,2026-06-04,none,True,verified-from-source
breyanzi,Italy,2,2,2024-02-08,recommended-restricted,AIFA,22.2,stated by agent,36.1,AIFA,2024-02-08,22.2,22.2,recommended-restricted,2025-12-15,confidential-discount,False,verified-from-source
carvykti,Australia,6,4,2022-07-28,not-recommended,MSAC,-10.3,stated by agent,4.9,MSAC,2024-04-04,10.0,10.0,recommended-restricted,2024-11-29,"none,outcomes-based",True,"not-found,verified-from-source"
carvykti,Canada,6,4,2023-03-08,recommended-restricted,CADTH,0.9,stated by agent,12.3,,,,,not-recommended,2025-09-18,"confidential-discount,none",True,verified-from-source
carvykti,England,2,1,2023-05-17,terminated-or-withdrawn,NICE,11.7,stated by agent,14.6,,,,,terminated-or-withdrawn,2023-05-17,none,False,verified-from-source
carvykti,France,4,2,2022-11-23,recommended,HAS-CT,6.0,stated by agent,8.8,,,,,recommended,2025-07-16,unknown,False,"not-found,provisional-from-snippet,verified-from-source"
carvykti,Germany,3,3,2023-08-17,recommended-restricted,G-BA,14.8,stated by agent,17.6,G-BA,2023-08-17,14.8,14.8,not-recommended,2025-05-15,none,True,verified-from-source
carvykti,Italy,2,2,2025-03-24,terminated-or-withdrawn,AIFA,34.0,stated by agent,36.8,AIFA,2026-04-03,23.5,23.5,recommended-restricted,2026-04-03,"confidential-discount,none",False,verified-from-source
casgevy,Australia,1,0,,not-submitted,,,,,,,,,,,,False,provisional-from-snippet
casgevy,Canada,4,2,2024-10-23,recommended-restricted,CDA-AMC,1.0,stated by agent,10.5,,,,,recommended-restricted,2024-10-23,confidential-discount,False,verified-from-source
casgevy,England,2,2,2024-09-11,recommended-managed-access,NICE,7.1,stated by agent,9.1,NICE,2024-09-11,7.1,7.1,recommended-managed-access,2025-02-26,managed-access-agreement,False,verified-from-source
casgevy,France,7,6,2024-01-18,recommended-managed-access,ANSM (accès précoce),-0.7,stated by agent,1.3,ANSM (accès précoce),2024-01-18,-0.7,,not-recommended,2024-09-25,"managed-access-agreement,none,unknown",True,"not-found,verified-from-source"
casgevy,Germany,3,3,2025-07-03,recommended-restricted,G-BA,16.8,stated by agent,18.8,G-BA,2025-07-03,16.8,16.8,recommended-restricted,2025-09-18,"none,outcomes-based",False,verified-from-source
casgevy,Italy,2,2,2025-10-07,recommended-managed-access,AIFA,19.9,stated by agent,22.0,AIFA,2025-10-07,19.9,19.9,recommended-managed-access,2025-10-07,managed-access-agreement,False,verified-from-source
ebvallo,Australia,1,0,,not-submitted,,,,,,,,,,,,False,provisional-from-snippet
ebvallo,Canada,1,0,,not-submitted,,,,,,,,,,,,False,not-found
ebvallo,England,1,1,2023-10-19,terminated-or-withdrawn,NICE,10.1,stated by agent,,,,,,terminated-or-withdrawn,2023-10-19,none,False,verified-from-source
ebvallo,France,4,4,2023-06-01,recommended-managed-access,ANSM (accès précoce),5.5,stated by agent,,ANSM (accès précoce),2023-06-01,5.5,29.5,recommended,2025-07-04,"confidential-discount,managed-access-agreement,none,unknown",False,verified-from-source
