endpoint,system,months,cif_funded,cif_competing,km_funded_competing_censored,n_at_risk_after
primary,Australia,0,0.125,0.0,0.125,7
primary,Australia,1,0.25,0.0,0.25,6
primary,Australia,2,0.25,0.0,0.25,6
primary,Australia,3,0.25,0.0,0.25,6
primary,Australia,4,0.5,0.0,0.5,4
primary,Australia,5,0.5,0.0,0.5,4
primary,Australia,6,0.625,0.0,0.625,3
primary,Australia,7,0.625,0.125,0.625,2
primary,Australia,8,0.625,0.125,0.625,2
primary,Australia,9,0.625,0.125,0.625,2
primary,Australia,10,0.75,0.125,0.8125,1
primary,Australia,11,0.75,0.125,0.8125,1
primary,Australia,12,0.75,0.125,0.8125,1
primary,Australia,13,0.75,0.125,0.8125,1
primary,Australia,14,0.75,0.125,0.8125,1
primary,Australia,15,0.75,0.125,0.8125,1
primary,Australia,16,0.75,0.125,0.8125,1
primary,Australia,17,0.875,0.125,1.0,0
primary,Australia,18,0.875,0.125,1.0,0
primary,Australia,19,0.875,0.125,1.0,0
primary,Australia,20,0.875,0.125,1.0,0
primary,Australia,21,0.875,0.125,1.0,0
primary,Australia,22,0.875,0.125,1.0,0
primary,Australia,23,0.875,0.125,1.0,0
primary,Australia,24,0.875,0.125,1.0,0
primary,Australia,25,0.875,0.125,1.0,0
primary,Australia,26,0.875,0.125,1.0,0
primary,Australia,27,0.875,0.125,1.0,0
primary,Australia,28,0.875,0.125,1.0,0
primary,Australia,29,0.875,0.125,1.0,0
primary,Australia,30,0.875,0.125,1.0,0
primary,Australia,31,0.875,0.125,1.0,0
primary,Australia,32,0.875,0.125,1.0,0
primary,Australia,33,0.875,0.125,1.0,0
primary,Australia,34,0.875,0.125,1.0,0
primary,Australia,35,0.875,0.125,1.0,0
primary,Australia,36,0.875,0.125,1.0,0
primary,Australia,37,0.875,0.125,1.0,0
primary,Australia,38,0.875,0.125,1.0,0
primary,Australia,39,0.875,0.125,1.0,0
primary,Australia,40,0.875,0.125,1.0,0
primary,Australia,41,0.875,0.125,1.0,0
primary,Australia,42,0.875,0.125,1.0,0
primary,Australia,43,0.875,0.125,1.0,0
primary,Australia,44,0.875,0.125,1.0,0
primary,Australia,45,0.875,0.125,1.0,0
primary,Australia,46,0.875,0.125,1.0,0
primary,Australia,47,0.875,0.125,1.0,0
primary,Australia,48,0.875,0.125,1.0,0
primary,Australia,49,0.875,0.125,1.0,0
primary,Australia,50,0.875,0.125,1.0,0
primary,Australia,51,0.875,0.125,1.0,0
primary,Australia,52,0.875,0.125,1.0,0
primary,Australia,53,0.875,0.125,1.0,0
primary,Australia,54,0.875,0.125,1.0,0
primary,Australia,55,0.875,0.125,1.0,0
primary,Australia,56,0.875,0.125,1.0,0
primary,Australia,57,0.875,0.125,1.0,0
primary,Australia,58,0.875,0.125,1.0,0
primary,Australia,59,0.875,0.125,1.0,0
primary,Australia,60,0.875,0.125,1.0,0
primary,Australia,61,0.875,0.125,1.0,0
primary,Australia,62,0.875,0.125,1.0,0
primary,Australia,63,0.875,0.125,1.0,0
primary,Australia,64,0.875,0.125,1.0,0
primary,Australia,65,0.875,0.125,1.0,0
primary,Australia,66,0.875,0.125,1.0,0
primary,Australia,67,0.875,0.125,1.0,0
primary,Australia,68,0.875,0.125,1.0,0
primary,Australia,69,0.875,0.125,1.0,0
primary,Australia,70,0.875,0.125,1.0,0
primary,Australia,71,0.875,0.125,1.0,0
primary,Australia,72,0.875,0.125,1.0,0
primary,Australia,73,0.875,0.125,1.0,0
primary,Australia,74,0.875,0.125,1.0,0
primary,Australia,75,0.875,0.125,1.0,0
primary,Australia,76,0.875,0.125,1.0,0
primary,Australia,77,0.875,0.125,1.0,0
primary,Australia,78,0.875,0.125,1.0,0
primary,Australia,79,0.875,0.125,1.0,0
primary,Australia,80,0.875,0.125,1.0,0
primary,Australia,81,0.875,0.125,1.0,0
primary,Australia,82,0.875,0.125,1.0,0
primary,Australia,83,0.875,0.125,1.0,0
primary,Australia,84,0.875,0.125,1.0,0
primary,Australia,85,0.875,0.125,1.0,0
primary,Australia,86,0.875,0.125,1.0,0
primary,Australia,87,0.875,0.125,1.0,0
primary,Australia,88,0.875,0.125,1.0,0
primary,Australia,89,0.875,0.125,1.0,0
primary,Australia,90,0.875,0.125,1.0,0
primary,Australia,91,0.875,0.125,1.0,0
primary,Australia,92,0.875,0.125,1.0,0
primary,Australia,93,0.875,0.125,1.0,0
primary,Australia,94,0.875,0.125,1.0,0
primary,Australia,95,0.875,0.125,1.0,0
primary,Australia,96,0.875,0.125,1.0,0
primary,Australia,97,0.875,0.125,1.0,0
primary,Australia,98,0.875,0.125,1.0,0
primary,Australia,99,0.875,0.125,1.0,0
primary,Australia,100,0.875,0.125,1.0,0
primary,Australia,101,0.875,0.125,1.0,0
primary,Australia,102,0.875,0.125,1.0,0
primary,Australia,103,0.875,0.125,1.0,0
primary,Australia,104,0.875,0.125,1.0,0
primary,Australia,105,0.875,0.125,1.0,0
primary,Australia,106,0.875,0.125,1.0,0
primary,Australia,107,0.875,0.125,1.0,0
primary,Australia,108,0.875,0.125,1.0,0
primary,Australia,109,0.875,0.125,1.0,0
primary,Australia,110,0.875,0.125,1.0,0
primary,Australia,111,0.875,0.125,1.0,0
primary,Australia,112,0.875,0.125,1.0,0
primary,Australia,113,0.875,0.125,1.0,0
primary,Australia,114,0.875,0.125,1.0,0
primary,Australia,115,0.875,0.125,1.0,0
primary,Australia,116,0.875,0.125,1.0,0
primary,Australia,117,0.875,0.125,1.0,0
primary,Australia,118,0.875,0.125,1.0,0
primary,Australia,119,0.875,0.125,1.0,0
primary,Australia,120,0.875,0.125,1.0,0
