endpoint,system,n_at_risk,n_funded,n_refused_or_terminated,n_withdrawn,n_censored,n_first_negative_reversed,median_months_to_funding_aj,median_months_p10,median_months_p90,median_months_among_funded,cif_funded_12m,cif_funded_24m,cif_funded_36m,cif_funded_60m,cif_funded_60m_p10,cif_funded_60m_p90,cif_competing_60m,km_funded_60m_competing_censored,naive_share_funded
primary,Australia,8,7,1,0,0,3,4,1.0,10.0,3.7,0.75,0.875,0.875,0.875,0.75,1.0,0.125,1.0,0.875
primary,Canada,14,7,3,0,4,0,67,23.0,82.0,23.0,0.077,0.418,0.418,0.418,0.232,0.591,0.263,0.491,0.5
primary,England,28,13,5,5,5,1,36,15.0,36.0,9.4,0.313,0.484,0.529,0.529,0.392,0.647,0.381,0.682,0.464
primary,France,28,12,4,4,8,0,not reached,11.0,20.0,5.2,0.34,0.477,0.477,0.477,0.356,0.61,0.34,0.555,0.429
primary,Germany,28,20,1,2,5,2,11,10.0,17.0,9.9,0.556,0.788,0.834,0.834,0.725,0.92,0.12,0.942,0.714
primary,Italy,28,16,1,5,6,2,26,18.0,31.0,17.4,0.116,0.472,0.655,0.7,0.571,0.811,0.209,0.846,0.571
primary,United States,27,25,0,0,2,0,5,4.0,5.0,4.4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.926
routine,Australia,8,7,1,0,0,3,4,4.0,10.0,3.7,0.75,0.875,0.875,0.875,0.75,1.0,0.125,1.0,0.875
routine,Canada,14,7,3,0,4,0,67,23.0,82.0,23.0,0.077,0.418,0.418,0.418,0.234,0.598,0.263,0.491,0.5
routine,England,28,10,5,5,8,2,not reached,36.0,69.0,14.4,0.159,0.282,0.33,0.402,0.259,0.555,0.381,0.564,0.357
routine,France,28,8,6,4,10,0,not reached,33.0,39.0,23.4,0.081,0.17,0.309,0.355,0.235,0.482,0.414,0.53,0.286
routine,Germany,28,20,1,2,5,2,11,10.0,17.0,9.9,0.556,0.788,0.834,0.834,0.731,0.924,0.12,0.942,0.714
routine,Italy,28,16,1,5,6,2,26,18.0,31.0,17.4,0.116,0.472,0.655,0.7,0.577,0.831,0.209,0.846,0.571
routine,United States,27,25,0,0,2,0,5,4.0,5.0,4.4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.926
