endpoint,product_key,product,platform_class,genetic_modification,system,origin_date,origin_basis,event,event_date,months,n_usable_rows,first_negative_reversed
primary,abecma,Abecma,autologous CAR-T,yes,England,2021-08-18,EU authorisation,refused-or-terminated,2023-11-30,27.4,2,False
primary,abecma,Abecma,autologous CAR-T,yes,Germany,2021-08-18,EU authorisation,funded,2022-06-16,9.9,3,False
primary,abecma,Abecma,autologous CAR-T,yes,France,2021-08-18,EU authorisation,funded,2021-04-29,0.0,9,False
primary,abecma,Abecma,autologous CAR-T,yes,Italy,2021-08-18,EU authorisation,funded,2024-02-08,29.7,3,True
primary,abecma,Abecma,autologous CAR-T,yes,Canada,2021-05-26,Health Canada notice of compliance (stated in the row),refused-or-terminated,2021-05-14,0.0,3,False
primary,abecma,Abecma,autologous CAR-T,yes,United States,2021-03-26,FDA approval; at risk only if the sponsor reports product revenue,funded,2021-06-30,3.2,0,False
primary,adstiladrin,Adstiladrin,adenoviral intravesical,yes,England,2026-05-28,EU authorisation,censored,2026-09-05,3.3,0,False
primary,adstiladrin,Adstiladrin,adenoviral intravesical,yes,Germany,2026-05-28,EU authorisation,censored,2026-09-05,3.3,0,False
primary,adstiladrin,Adstiladrin,adenoviral intravesical,yes,France,2026-05-28,EU authorisation,censored,2026-09-05,3.3,0,False
primary,adstiladrin,Adstiladrin,adenoviral intravesical,yes,Italy,2026-05-28,EU authorisation,censored,2026-09-05,3.3,0,False
primary,adstiladrin,Adstiladrin,adenoviral intravesical,yes,Canada,2026-03-16,Health Canada notice of compliance (stated in the row),censored,2026-09-05,5.7,0,False
primary,amtagvi,Amtagvi,tumour-infiltrating lymphocytes,no,Canada,2025-08-15,Health Canada notice of compliance (stated in the row),censored,2026-09-05,12.7,0,False
primary,amtagvi,Amtagvi,tumour-infiltrating lymphocytes,no,United States,2024-02-16,FDA approval; at risk only if the sponsor reports product revenue,funded,2024-06-30,4.4,0,False
primary,aucatzyl,Aucatzyl,autologous CAR-T,yes,England,2025-07-17,EU authorisation,funded,2025-12-11,4.8,1,False
primary,aucatzyl,Aucatzyl,autologous CAR-T,yes,Germany,2025-07-17,EU authorisation,censored,2026-09-05,13.6,0,False
primary,aucatzyl,Aucatzyl,autologous CAR-T,yes,France,2025-07-17,EU authorisation,censored,2026-09-05,13.6,0,False
primary,aucatzyl,Aucatzyl,autologous CAR-T,yes,Italy,2025-07-17,EU authorisation,censored,2026-09-05,13.6,0,False
primary,aucatzyl,Aucatzyl,autologous CAR-T,yes,United States,2024-11-08,FDA approval; at risk only if the sponsor reports product revenue,funded,2025-03-31,4.7,0,False
primary,beqvez,Beqvez / Durveqtix,AAV systemic,yes,England,2024-07-24,EU authorisation,withdrawn-from-market,2025-05-15,9.7,1,False
primary,beqvez,Beqvez / Durveqtix,AAV systemic,yes,Germany,2024-07-24,EU authorisation,withdrawn-from-market,2025-05-15,9.7,0,False
primary,beqvez,Beqvez / Durveqtix,AAV systemic,yes,France,2024-07-24,EU authorisation,withdrawn-from-market,2025-05-15,9.7,0,False
primary,beqvez,Beqvez / Durveqtix,AAV systemic,yes,Italy,2024-07-24,EU authorisation,withdrawn-from-market,2025-05-15,9.7,0,False
primary,beqvez,Beqvez / Durveqtix,AAV systemic,yes,Canada,2023-12-27,Health Canada notice of compliance (stated in the row),refused-or-terminated,2025-04-04,15.2,2,False
