product,system,country,body,indication_key,indication_text,regulatory_approval_date,submission_or_start_date,decision_date,outcome,arrangement_type,arrangement_detail,added_benefit_or_rating,price_at_decision,price_currency,price_basis,stated_reasons_verbatim,document_title,document_id,source_url,fetched_date,status,notes
Kymriah,Australia,Australia,TGA,ALL_ped,"KYMRIAH is a genetically modified autologous immunocellular therapy indicated for the treatment of paediatric and young adult patients up to 25 years of age with B-cell precursor acute lymphoblastic leukaemia (ALL) that is refractory, in relapse post-transplant, or in second or later relapse.",2018-12-19,2018-04-10,2018-12-13,recommended,none,,,,,,,TGA prescription medicines registrations: KYMRIAH (Novartis Pharmaceuticals Australia Pty Ltd),TGA registration record; Class 4 biological,https://www.tga.gov.au/resources/prescription-medicines-registrations/kymriah-novartis-pharmaceuticals-australia-pty-ltd,2026-09-05,verified-from-source,"Date registered 19 December 2018; evaluation commenced 10 April 2018; decision 13 December 2018; approval time 157 working days. Separate ARTG entries per indication re-registered 11 February 2021 (evaluation commenced 20 October 2020, decision 5 February 2021). retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections"
Kymriah,Australia,Australia,TGA,LBCL_3L,KYMRIAH is also indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy. Kymriah is not indicated for patients with primary central nervous system lymphoma.,2018-12-19,2018-04-10,2018-12-13,recommended,none,,,,,,,TGA prescription medicines registrations: KYMRIAH (Novartis Pharmaceuticals Australia Pty Ltd),TGA registration record; Class 4 biological,https://www.tga.gov.au/resources/prescription-medicines-registrations/kymriah-novartis-pharmaceuticals-australia-pty-ltd,2026-09-05,verified-from-source,Same registration record as ALL indication (19 December 2018); DLBCL-specific ARTG entry re-registered 11 February 2021. Follicular lymphoma indication not checked. retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections
Kymriah,Australia,Australia,MSAC,ALL_ped,B-cell acute lymphoblastic leukaemia (ALL) in paediatric and young adult patients (aged 3-25 years) (pALL),2018-12-19,,2018-11-22,under-assessment,unknown,deferred; economic evaluation needed revisions and a price ascertained at which acceptably cost-effective,,,AUD,,"After considering the strength of the available evidence in relation to comparative safety, clinical effectiveness and cost-effectiveness, MSAC: deferred its decision on public funding of TIS for treatment of children and young adults with confirmed relapsed/refractory CD19-positive ALL; and did not support public funding for TIS for adults with confirmed relapsed/refractory DLBCL. For both conditions, MSAC recognised the large unmet clinical need and the preliminary supportive evidence of a clinically important treatment effect, but the incremental cost- effectiveness ratio (ICER) was both unacceptably high and underestimated. For pALL, the economic evaluation needed revisions and a price for TIS ascertained at which it is acceptably cost-effective.",Public Summary Document Application No. 1519 - Tisagenlecleucel (CTL019) for treatment of refractory CD19-positive leukaemia and lymphoma,MSAC 1519 PSD (April 2019); MSAC 74th Meeting 22-23 November 2018,https://www.msac.gov.au/sites/default/files/documents/1519-Final%20PSD-April%202019_redacted.pdf,2026-09-05,verified-from-source,Outcome recorded as deferred (mapped to under-assessment). Price redacted. Patient numbers redacted in PSD tables. MSAC recommended splitting pALL and DLBCL into two re-applications. retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections
Kymriah,Australia,Australia,MSAC,LBCL_3L,diffuse large B-cell lymphoma (DLBCL) in adults,2018-12-19,,2018-11-22,not-recommended,none,,,,AUD,,"did not support public funding for TIS for adults with confirmed relapsed/refractory DLBCL. For both conditions, MSAC recognised the large unmet clinical need and the preliminary supportive evidence of a clinically important treatment effect, but the incremental cost- effectiveness ratio (ICER) was both unacceptably high and underestimated. For DLBCL, the definition of the appropriate eligible population needed to be redefined, as well as amendments made to the economic evaluation and a reduced price for TIS ascertained at which it is acceptably cost-effective.",Public Summary Document Application No. 1519 - Tisagenlecleucel (CTL019) for treatment of refractory CD19-positive leukaemia and lymphoma,MSAC 1519 PSD (April 2019); MSAC 74th Meeting 22-23 November 2018,https://www.msac.gov.au/sites/default/files/documents/1519-Final%20PSD-April%202019_redacted.pdf,2026-09-05,verified-from-source,Price redacted. retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections
Kymriah,Australia,Australia,MSAC,ALL_ped,confirmed relapsed/refractory CD19-positive acute lymphoblastic leukaemia (ALL) in children and young adults up to 25 years old,2018-12-19,,2019-03-28,under-assessment,outcomes-based,deferred to allow risk share arrangement details to be negotiated; additional risk share measures required,,,AUD,,"After considering the strength of the available evidence in relation to comparative safety, clinical effectiveness and cost-effectiveness, MSAC deferred its advice on public funding of TIS for treatment of ALL in children and young adults up to 25 years old. MSAC recognised the large unmet clinical need for a small group of patients and the preliminary supportive evidence of a clinically important treatment effect. MSAC considered that TIS would be acceptably cost-effective in the ALL population with additional risk share measures in place to those proposed in the application to manage the remaining areas of clinical, economic and financial uncertainty that exist in the funding proposal.",Public Summary Document Application No. 1519 - Tisagenlecleucel (CTL019) for treatment of refractory CD19-positive leukaemia and lymphoma,MSAC 1519 PSD (April 2019); MSAC 75th Meeting 28-29 March 2019,https://www.msac.gov.au/sites/default/files/documents/1519-Final%20PSD-April%202019_redacted.pdf,2026-09-05,verified-from-source,Deferred (mapped to under-assessment). Patient number estimates (Tables 1-2) redacted. retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections
Kymriah,Australia,Australia,MSAC,ALL_ped,confirmed relapsed/refractory CD19-positive acute lymphoblastic leukaemia in children and young adults up to 25 years old,2018-12-19,,2019-04-09,recommended-restricted,outcomes-based,negotiated risk share arrangement for initial 2 years: pay only on successful infusion; treatment limited to a single dose; further (redacted) elements; full review no later than 2 years post commencement of subsidy,,,AUD,,"The MSAC reviewed the risk share arrangement in an out-of-session MSAC reconsideration. The MSAC supported the negotiated risk share arrangement, considering it appropriately managed the clinical, economic and financial uncertainty existing in the March 2019 application funding proposal and recommended the public funding of TIS for treatment of ALL in children and young adults up to 25 years old. The MSAC considered the following negotiated risk share agreement between the applicant and the Department for an initial 2 years of public funding, would appropriately manage the uncertainty existing in the applicant's March 2019 funding proposal: a pay only on successful infusion arrangement; Redacted; treatment to be limited to a single dose of TIS, as there is no evidence currently available informing the effectiveness or safety of multiple doses; and a full review of clinical effectiveness, cost- effectiveness and budget impact will be conducted by the MSAC no later than 2 years post the commencement of public subsidy.",Public Summary Document Application No. 1519 - Tisagenlecleucel (CTL019) for treatment of refractory CD19-positive leukaemia and lymphoma,MSAC 1519 PSD (April 2019); MSAC out-of-session 9 April 2019,https://www.msac.gov.au/sites/default/files/documents/1519-Final%20PSD-April%202019_redacted.pdf,2026-09-05,verified-from-source,"Funded as Highly Specialised Therapy under National Health Reform Agreement (NHRA), not MBS/PBS. Price redacted; patient numbers redacted. retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections"
Kymriah,Australia,Australia,Funding,ALL_ped,"paediatric and young adult patients up to 25 years of age with B-cell precursor acute lymphoblastic leukaemia (pALL) that is refractory, in relapse post-transplant, or in second or later relapse",2018-12-19,,2019-07-31,recommended-restricted,outcomes-based,NHRA joint Commonwealth-State funding with pay-on-successful-infusion risk share (Deed),,,AUD,,"Public subsidy for tisagenlecleucel (TIS) to treat paediatric and young adult patients up to 25 years of age with B-cell precursor acute lymphoblastic leukaemia (pALL) that is refractory, in relapse post-transplant, or in second or later relapse, through the National Health Reform Agreements (NHRA) commenced on 31 July 2019.",Public Summary Document Application No. 1748 - Review of tisagenlecleucel (Kymriah) for treatment of acute lymphoblastic leukaemia in paediatric and young adult patients (pALL),MSAC 1748 PSD (July 2023),https://www.msac.gov.au/sites/default/files/documents/1748%20Final%20PSD%20-%20July%202023%20(redacted).pdf,2026-09-05,verified-from-source,Funding start date taken from the MSAC 1748 review PSD. PSD also notes TIS was available initially in 2019-2020 in Victoria and from June 2020 in NSW and Queensland. retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections
Kymriah,Australia,Australia,MSAC,LBCL_3L,adult patients with confirmed relapsed/refractory (r/r) diffuse large B-cell lymphoma (DLBCL),2018-12-19,,2019-08-01,under-assessment,unknown,,,,AUD,,A revised application (resubmission) was received from Novartis by the Department of Health for tisagenlecleucel (TIS) for adult patients with confirmed relapsed/refractory (r/r) diffuse large B-cell lymphoma (DLBCL). [November 2019:] MSAC reconsidered the public funding of tisagenlecleucel (TIS) for adult patients with confirmed relapsed/refractory (r/r) diffuse large B-cell lymphoma (DLBCL) in the context of the advice it received at the CAR-T stakeholder meeting held on 12 November 2019.,Public Summary Document Application No. 1519.1 - Tisagenlecleucel (CTL019) for treatment of relapsed or refractory diffuse large B-cell lymphoma (DLBCL),MSAC 1519.1 PSD (updated November 2019); MSAC 76th Meeting 1-2 August 2019,https://www.msac.gov.au/sites/default/files/documents/1519.1%20Final%20updated%20PSD%20Nov%2019_redacted.pdf,2026-09-05,provisional-from-snippet,"August 2019 advice section not extracted; the PSD structure (reconsideration in November 2019 after a 12 November 2019 CAR-T stakeholder meeting) implies the August 2019 outcome was a deferral, but that wording was not read. Treat as deferred pending verification. retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections"
Kymriah,Australia,Australia,MSAC,LBCL_3L,"certain patients with CD19-positive Diffuse Large B Cell Lymphoma (DLBCL), Primary Mediastinal B Cell Lymphoma (PMBCL) and Transformed Follicular Lymphoma (TFL)",2018-12-19,,2019-11-28,recommended-restricted,outcomes-based,price no higher than proposed; no payment for unsuccessful infusion or if apheresed but not infused; one successful CAR-T infusion per lifetime; tertiary public hospital delivery; ABMTRR data collection; Year 1 progress review and full review within 2 years; further redacted risk-share elements,,,AUD,,"After considering the strength of the available evidence in relation to comparative safety, clinical effectiveness and cost-effectiveness, MSAC supported the public funding of tisagenlecleucel (TIS) for certain patients with CD19-positive Diffuse Large B Cell Lymphoma (DLBCL), Primary Mediastinal B Cell Lymphoma (PMBCL) and Transformed Follicular Lymphoma (TFL). The MSAC recommendation for public funding was based on, among other matters, its assessment that the cost-effectiveness of TIS, although high, would be acceptable if the redacted price is no higher than that proposed in the submission, and if the following measures were implemented to contain the risks associated with public funding: treatment must be delivered by a haematologist working in a multi-disciplinary team specialising in the provision of CAR-T cell therapy; treatment must be delivered in a tertiary public hospital with appropriate credentials; governance and prescribing rules to ensure treatment is directed to patients most likely to benefit; no payment for TIS for an unsuccessful infusion; no payment for TIS if a patient is apheresed but does not receive the infusion of engineered lymphocytes; a limit to one successful CAR-T infusion per lifetime; data on the use of TIS for B cell lymphoma's in Australia should be recorded by the Australian Bone Marrow Transplant Recipient Registry.",Public Summary Document Application No. 1519.1 - Tisagenlecleucel (CTL019) for treatment of relapsed or refractory diffuse large B-cell lymphoma (DLBCL),MSAC 1519.1 PSD (updated November 2019); MSAC 77th Meeting 28-29 November 2019,https://www.msac.gov.au/sites/default/files/documents/1519.1%20Final%20updated%20PSD%20Nov%2019_redacted.pdf,2026-09-05,verified-from-source,"Price redacted. PSD Table 6: total infused DLBCL patients 132 (Year 1), 199 (Year 2), 194, 186, 186, 188 (total 1084 over 6 years). retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections"
Kymriah,Australia,Australia,Funding,LBCL_3L,"relapsed or refractory DLBCL, PMBCL and TFL (NHRA Highly Specialised Therapy)",2018-12-19,,,not-found,outcomes-based,,,,AUD,,,Public Summary Document Application No. 1653 (November 2020) confirms TIS was publicly funded for DLBCL,MSAC 1653 PSD,https://www.msac.gov.au/sites/default/files/documents/1653%20Final%20PSD_Nov2020_redacted.pdf,2026-09-05,not-found,"Funding under the NHRA is confirmed by later PSDs (1653, 1676) but the commencement date of public subsidy for the DLBCL indication was not found in the documents read."
