"product","system","country","body","indication_key","indication_text","regulatory_approval_date","submission_or_start_date","decision_date","outcome","arrangement_type","arrangement_detail","added_benefit_or_rating","price_at_decision","price_currency","price_basis","stated_reasons_verbatim","document_title","document_id","source_url","fetched_date","status","notes"
"Kymriah","Canada","Canada","CADTH","ALL_ped","pediatric and young adult patients three to 25 years old with B-cell acute lymphoblastic leukemia who are refractory, have relapsed after allogeneic stem cell transplant (SCT), or are otherwise ineligible for allogeneic SCT, or have experienced a second or later relapse","2018-09-05","","","recommended-restricted","confidential-discount","Reimbursement conditional on a reduction in price; CADTH reanalysis: at least a 10% price reduction would be required to ensure that the ICUR is below $50,000 per QALY. Implementation conditions: interprovincial agreements for equitable access, transparent eligibility criteria, pan-Canadian outcomes registry.","","","CAD","confidential (redacted in report)","On the condition that there is a reduction in price, HTERP recommends the provision of tisagenlecleucel to pediatric and young adult patients three to 25 years old with B-cell acute lymphoblastic leukemia who are refractory, have relapsed after allogeneic stem cell transplant (SCT), or are otherwise ineligible for allogeneic SCT, or have experienced a second or later relapse. [...] According to the CADTH reanalysis, at least a 10% price reduction would be required to ensure that the incremental cost-utility ratio (ICUR) is below $50,000 per QALY.","Tisagenlecleucel for Acute Lymphoblastic Leukemia and Diffuse Large B-Cell Lymphoma: Recommendations (CADTH Optimal Use Report vol. 8 no. 3g)","OP0538","http://web.archive.org/web/20231202205730/https://www.cadth.ca/sites/default/files/pdf/car-t/op0538-recommendations-report-jan2019.pdf","2026-09-05","verified-from-source","Reviewed through CADTH HTA/Health Technology Expert Review Panel (HTERP), not pCODR. Report Publication Date: January 2019 (no day given; decision_date left blank). NOC 2018-09-05 for both ALL and DLBCL (dhpp RDS00423, RDS00422). The manufacturer-provided confidential price is redacted. No Kymriah 2019 file appears in the pCPA negotiations export (export covers 2012 to 2026)."
"Kymriah","Canada","Canada","CADTH","LBCL_3L","adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, high-grade B-cell lymphoma, and DLBCL arising from follicular lymphoma","2018-09-05","","","recommended-restricted","confidential-discount","Reimbursement conditional on a substantial reduction in price; CADTH reanalysis: price reductions of at least 45% and at least 65% would be required to achieve an ICUR of $100,000 and $50,000 per QALY respectively. Same implementation conditions as ALL (interprovincial agreements, eligibility criteria, pan-Canadian registry).","","","CAD","confidential (redacted in report)","On the condition that there is a substantial reduction in price, HTERP recommends the provision of tisagenlecleucel for adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, high-grade B-cell lymphoma, and DLBCL arising from follicular lymphoma. [...] Tisagenlecleucel had a 0% probability being cost-effective at a WTP threshold of $50,000 per QALY gained and a 1.8% probability of being cost-effective at a WTP threshold of $100,000 per QALY gained. Price reductions of 45% and 65% would be required to achieve an ICUR of $100,000 and $50,000 per QALY.","Tisagenlecleucel for Acute Lymphoblastic Leukemia and Diffuse Large B-Cell Lymphoma: Recommendations (CADTH Optimal Use Report vol. 8 no. 3g)","OP0538","http://web.archive.org/web/20231202205730/https://www.cadth.ca/sites/default/files/pdf/car-t/op0538-recommendations-report-jan2019.pdf","2026-09-05","verified-from-source","Publication Date: January 2019. Reanalysis ICUR $211,870 per QALY vs salvage chemotherapy. No pCPA file for this indication in the export."
"Kymriah","Canada","Canada","CADTH","FL_3L","For the treatment of adult patients with relapsed or refractory grade 1, 2, or 3a follicular lymphoma after 2 or more lines of systemic therapy","2022-12-19","","2023-07-12","recommended-restricted","confidential-discount","Reimburse with conditions: patients with grade 1, 2 or 3a FL relapsed/refractory after 2 or more lines, no prior CAR T-cell therapy, good performance status; prescribed and administered by clinicians with expertise in a hospital setting; and a reduction in price: 'a price reduction of 71% to 82% would be required for tisagenlecleucel to be cost-effective at a WTP threshold of $50,000 per QALY gained'.","","450000","CAD","submitted list (one-time cost of $450,000 per infusion)","Evidence from a clinical trial suggested that treatment with Kymriah resulted in durable responses and that it may improve overall survival time and the time until disease progression or death. [...] Based on CADTH's assessment of the health economic evidence, Kymriah does not represent good value to the health care system at the public list price. A price reduction is therefore required. Based on public list prices, Kymriah is estimated to cost the public drug plans approximately $192,483,483 over the next 3 years.","Tisagenlecleucel (Kymriah): CADTH Reimbursement Recommendation (pERC)","PG0306","https://www.ncbi.nlm.nih.gov/books/NBK599771/","2026-09-05","verified-from-source","decision_date is the pERC meeting date (July 12, 2023); final recommendation published September 2023 (CJHT PG0306 2023-09-20; review PG0306r 2023-11-01). NOC/c 2022-12-19 (dhpp RDS01051; NOC date also stated in PG0306r). Budget impact >$40 million in years 1 and 3."
"Kymriah","Canada","Canada","pCPA","FL_3L","Follicular lymphoma (FL), Relapsed or refractory, grade 1, 2 or 3a, in adult patients after two or more lines of systemic therapy","2022-12-19","2024-12-04","2025-06-12","recommended","confidential-discount","pCPA status: Concluded with an LOI (letter of intent); terms confidential.","","","","","","pCPA negotiations database, file 22470","22470 (CDA-AMC PG0306-000)","https://www.pcpacanada.ca/negotiations (CSV export https://pcpa-app.ca/public-csv-export)","2026-09-05","verified-from-source","engagement_date 2024-12-04, close_date 2025-06-12 per pCPA CSV export."
"Yescarta","Canada","Canada","CADTH","LBCL_3L","adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma, high-grade B-cell lymphoma, and DLBCL arising from follicular lymphoma","2019-02-13","","","recommended-restricted","confidential-discount","Reimbursement conditional on a substantial reduction in price; CADTH reanalysis: price reductions of 60% and 83% would be required to achieve an incremental cost-utility ratio of $100,000 and $50,000 per QALY. Implementation conditions: interprovincial agreements, transparent eligibility criteria, pan-Canadian outcomes registry.","","","CAD","confidential (redacted in report)","On the condition that there is a substantial reduction in price, HTERP recommends the provision of axicabtagene ciloleucel for adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma, high-grade B-cell lymphoma, and DLBCL arising from follicular lymphoma. [...] with an incremental cost of $519,689 and 2.30 additional QALYs, resulting in an incremental cost-utility ratio of $226,131 per QALY gained compared with BSC. [...] According to the CADTH reanalysis, price reductions of 60% and 83% would be required to achieve an incremental cost-utility ratio of $100,000 and $50,000 per QALY","Axicabtagene Ciloleucel for Large B-Cell Lymphoma: Recommendations (CADTH Optimal Use Report vol. 9 no. 1f)","OP vol9 no1f","https://www.ncbi.nlm.nih.gov/books/NBK550089/","2026-09-05","verified-from-source","Publication Date: August 2019 (PG0314r states 'On August 15, 2019, CADTH issued a positive' recommendation). NOC 2019-02-13 (dhpp SBD00442). No pCPA file for this indication in the export."
"Yescarta","Canada","Canada","CADTH","LBCL_2L","For the treatment of adult patients with diffuse large B-cell lymphoma or high-grade B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy","2022-12-06","","2022-11-08","recommended-restricted","confidential-discount","Reimburse with conditions including a reduction in price: 'A price reduction of 45% would be required for axicabtagene ciloleucel to achieve an ICER of $50,000 per QALY gained compared with SOC'. Reimbursement request population: adult patients with r/r LBCL who are candidates for ASCT.","","485021","CAD","submitted list ($485,021 per single infusion)","Using the sponsor-submitted price for axicabtagene ciloleucel and publicly listed prices for all other drug costs, the incremental cost-effectiveness ratio (ICER) for axicabtagene ciloleucel was $404,418 per quality-adjusted life-year (QALY) gained compared with SOC. [...] Based on public list prices, Yescarta is estimated to cost the public drug plans approximately $348 million over the next 3 years. However, the actual budget impact is uncertain as the analysis is sensitive to the expected market uptake rates.","Axicabtagene Ciloleucel (Yescarta): CADTH Reimbursement Recommendation (pERC)","PG0293","https://www.ncbi.nlm.nih.gov/books/NBK601820/","2026-09-05","verified-from-source","Review conducted pre-NOC; pERC meeting November 8, 2022; recommendation published February 2023 (CJHT PG0293 2023-02-22). NOC 2022-12-06 (dhpp RDS1713813660399; PG0293r). CADTH 3-year budget impact $347,640,982."
"Yescarta","Canada","Canada","pCPA","LBCL_2L","Diffuse large B-cell lymphoma (DLBCL) or high-grade B-cell lymphoma (HGBL), in adult patients, that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy","2022-12-06","2023-09-26","2024-09-06","recommended","confidential-discount","pCPA status: Concluded with an LOI.","","","","","","pCPA negotiations database, file 22285","22285 (CDA-AMC PG0293-000)","https://www.pcpacanada.ca/negotiations (CSV export https://pcpa-app.ca/public-csv-export)","2026-09-05","verified-from-source",""
"Yescarta","Canada","Canada","CADTH","FL_3L","For the treatment of adult patients with relapsed or refractory grade 1, 2, or 3a follicular lymphoma after 2 or more lines of systemic therapy","2022-09-28","","2023-09-13","recommended-restricted","confidential-discount","Reimburse with conditions: relapsed or refractory disease after 2 or more lines of prior therapy (which must have included an anti-CD20 monoclonal antibody combined with an alkylating drug); and a reduction in price: 'a price reduction of 82% to 95% would be required for axicabtagene ciloleucel to be cost-effective at a WTP threshold of $50,000 per QALY gained'.","","485021","CAD","submitted list (one-time cost of $485,021)","Based on CADTH's assessment of the health economic evidence, Yescarta does not represent good value to the health care system at the public list price. A price reduction is therefore required. Based on public list prices, Yescarta is estimated to cost the public drug plans approximately $210,586,531 over the next 3 years.","Axicabtagene ciloleucel (Yescarta): CADTH Reimbursement Recommendation (pERC)","PG0314","https://www.ncbi.nlm.nih.gov/books/NBK599982/","2026-09-05","verified-from-source","pERC meeting September 13, 2023; published November 2023 (CJHT PG0314 2023-11-21). NOC/c date September 28, 2022 per PG0314r drug table (dhpp RDS01007 lists filing 2021-08-26 without decision date)."
"Yescarta","Canada","Canada","pCPA","FL_3L","Follicular lymphoma (FL), Relapsed or refractory, grade 1, 2 or 3a, in adult patients after two or more lines of systemic therapy","2022-09-28","2024-02-14","2024-09-06","recommended","confidential-discount","pCPA status: Concluded with an LOI.","","","","","","pCPA negotiations database, file 22494","22494 (CDA-AMC PG0314-000)","https://www.pcpacanada.ca/negotiations (CSV export https://pcpa-app.ca/public-csv-export)","2026-09-05","verified-from-source",""
"Tecartus","Canada","Canada","CADTH","MCL_3L","For the treatment of adult patients with relapsed or refractory mantle cell lymphoma after 2 or more lines of systemic therapy including a Bruton's tyrosine kinase inhibitor","2021-06-08","","2021-05-13","recommended-restricted","confidential-discount","Reimburse with conditions including price reduction: 'The cost-effectiveness of brexucabtagene autoleucel is highly uncertain. CADTH undertook a price reduction analysis based on an exploratory analysis which used data from the MAIC for brexucabtagene autoleucel and removed the cure component. This analysis indicated that a 99% reduction in price is required to achieve an ICER of $50,000 per QALY.'","","533523","CAD","submitted list ($533,523 per infusion)","One phase II, single-arm, open-label study (ZUMA-2, n = 68) demonstrated that treatment with brexucabtagene autoleucel was associated with fast and durable remission through a clinically meaningful objective response rate (ORR) of 93% (95% confidence interval [CI], 83.8, 98.2) and proportion of patients achieving a complete response (CR) to treatment (67% [95% CI, 53.3, 78.3]). [...] However, pERC acknowledged that there was uncertainty in the magnitude of clinical benefit given the phase II single-arm, open-label, non-randomized, non-comparative design of the ZUMA-2 study.","Brexucabtagene Autoleucel (Tecartus): CADTH Reimbursement Recommendation (pERC)","PG0219","https://canjhealthtechnol.ca/index.php/cjht/article/view/pg0219","2026-09-05","verified-from-source","pERC meeting May 13, 2021 (pre-NOC review); final recommendation published August 2021 (CJHT 2021-08-24); review report PG0219r 2021-11-02 states NOC received June 8, 2021. CADTH reanalysis 3-year budget impact $39,386,468 (drug plan) to $46,439,484 (health system)."
