product,system,country,body,indication_key,indication_text,regulatory_approval_date,submission_or_start_date,decision_date,outcome,arrangement_type,arrangement_detail,added_benefit_or_rating,price_at_decision,price_currency,price_basis,stated_reasons_verbatim,document_title,document_id,source_url,fetched_date,status,notes
Kymriah,Germany,Germany,G-BA,ALL_ped,"Kinder, Jugendliche und junge erwachsene Patienten im Alter bis zu 25 Jahren mit refraktärer oder rezidivierter (Rezidiv nach Transplantation oder zweites oder späteres Rezidiv) akuter lymphatischer B-Zell-Leukämie (ALL)",2018-08-23,2018-09-15,2019-03-07,recommended-restricted,none,,nicht quantifizierbar (Orphan Drug: Zusatznutzen gilt als belegt),320000.00,EUR,Jahrestherapiekosten Beschluss,Der G-BA stuft das Ausmaß des allein aus rechtlicher Sicht nach § 35a Abs. 1 Satz 11 Halbsatz 1 SGB V zu unterstellenden Zusatznutzens von Tisagenlecleucel auf Basis der Kriterien in § 5 Abs. 7 der AM-NutzenV unter Berücksichtigung des Schweregrades der Erkrankung und des therapeutischen Ziels bei der Behandlung der Erkrankung als nicht quantifizierbar ein. (TrG:) Zudem legt der pharmazeutische Unternehmer indirekte Vergleiche der Studienergebnisse gegenüber historischen Kontrollen vor.,Arzneimittel-Richtlinie/Anlage XII: Tisagenlecleucel (akute lymphatische B-Zell-Leukämie),2018-09-15-D-376,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/386/,2026-09-05,verified-from-source,Patienten: 50-65. Befristet bis 15.03.2020. Studien ELIANA/ENSIGN einarmig. Preis = Abgabepreis pU laut Modul 3 (Kymriah umsatzsteuerfrei). QS-Anpassung Beschluss 01.08.2019 (Pflegequalifikation). Beschluss aufgehoben durch Neubewertung 15.03.2020.
Kymriah,Germany,Germany,G-BA,LBCL_3L,Erwachsene Patienten mit rezidiviertem oder refraktärem diffus großzelligem B-Zell-Lymphom (DLBCL) nach zwei oder mehr Linien einer systemischen Therapie,2018-08-23,2018-09-15,2019-03-07,recommended-restricted,none,,nicht quantifizierbar (Orphan Drug: Zusatznutzen gilt als belegt),320000.00,EUR,Jahrestherapiekosten Beschluss,"(TrG:) liegen die Ergebnisse der einarmigen pivotalen Phase II-Studie JULIET, die supportive Fall-Serie von Schuster et al. ... Zudem sind diese Daten aufgrund der zu diesem Zeitpunkt noch nicht abgeschlossenen Rekrutierung der Patienten in die JULIET-Studie und der sehr kurzen medianen Nachbeobachtungsdauer von nur 3,71 Monaten mit starken Unsicherheiten behaftet.",Arzneimittel-Richtlinie/Anlage XII: Tisagenlecleucel (diffus großzelliges B-Zell-Lymphom),2018-09-15-D-375,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/385/,2026-09-05,verified-from-source,Patienten: 440-700. Befristet bis 15.03.2020. Beschluss aufgehoben durch Neubewertung 15.03.2020.
Kymriah,Germany,Germany,G-BA,ALL_ped,"Kinder, Jugendliche und junge erwachsene Patienten im Alter bis einschließlich 25 Jahren mit refraktärer oder rezidivierter (Rezidiv nach Transplantation oder zweites oder späteres Rezidiv) akuter lymphatischer B-Zell-Leukämie (ALL)",2018-08-23,2020-03-15,2020-09-17,recommended-restricted,none,,"Anhaltspunkt für einen nicht quantifizierbaren Zusatznutzen, weil die wissenschaftliche Datenlage eine Quantifizierung nicht zulässt",275000.00,EUR,Jahrestherapiekosten Beschluss,"Zusammenfassend wird der Zusatznutzen von Tisagenlecleucel wie folgt bewertet: Anhaltspunkt für einen nicht quantifizierbaren Zusatznutzen, weil die wissenschaftliche Datenlage eine Quantifizierung nicht zulässt",Arzneimittel-Richtlinie/Anlage XII: Tisagenlecleucel (Neubewertung nach Fristablauf: Akute lymphatische B-Zell-Leukämie),2020-03-15-D-529,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/533/,2026-09-05,verified-from-source,Neubewertung nach Fristablauf. Patienten: 50-65. Befristet bis 01.09.2023. Preis 275.000 EUR reflektiert den verhandelten Erstattungsbetrag (Stand Lauer-Taxe 01.09.2020). Gleichzeitig QS-Beschluss CAR-T-Zellen nach § 136a Abs. 5 SGB V vom 17.09.2020.
Kymriah,Germany,Germany,G-BA,LBCL_3L,"Erwachsenen Patienten mit rezidiviertem oder refraktärem diffus großzelligen B-Zell-Lymphom (DLBCL), nach zwei oder mehr Linien einer systemischen Therapie",2018-08-23,2020-03-15,2020-09-17,recommended-restricted,none,,"Anhaltspunkt für einen nicht quantifizierbaren Zusatznutzen, weil die wissenschaftliche Datenlage eine Quantifizierung nicht zulässt",275000.00,EUR,Jahrestherapiekosten Beschluss,"Zusammenfassend wird der Zusatznutzen von Tisagenlecleucel wie folgt bewertet: Anhaltspunkt für einen nicht quantifizierbaren Zusatznutzen, weil die wissenschaftliche Datenlage eine Quantifizierung nicht zulässt Begründung: Der pharmazeutische Unternehmer stellt zu Tisagenlecleucel Daten zu der Studie JULIET; einer Studie des CIBMTR Register und einer Studie des CAR-T-Cell Consortiums dar.",Arzneimittel-Richtlinie/Anlage XII: Tisagenlecleucel (Neubewertung nach Fristablauf: Diffus großzelliges B-Zell-Lymphom),2020-03-15-D-530,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/532/,2026-09-05,verified-from-source,Neubewertung nach Fristablauf. Patienten: 450-720. Befristet bis 01.09.2023. Preis 275.000 EUR = Erstattungsbetrag-Niveau (Stand Lauer-Taxe 01.09.2020).
Kymriah,Germany,Germany,G-BA,FL_3L,Erwachsene mit rezidiviertem oder refraktärem follikulärem Lymphom (FL) nach zwei oder mehr Linien einer systemischen Therapie,2022-04-29,2022-06-01,2022-12-01,recommended-restricted,none,,"Anhaltspunkt für einen nicht-quantifizierbaren Zusatznutzen, weil die wissenschaftliche Datengrundlage eine Quantifizierung nicht zulässt",265000.00,EUR,Jahrestherapiekosten Beschluss,"Insgesamt wird der vorgelegte indirekte Vergleich zwischen den Studien ELARA und ReCORD-FL als nicht geeignet erachtet, um belastbare Aussagen zum Ausmaß des Zusatznutzens ableiten zu können. Aufgrund des einarmigen Studiendesign ist eine vergleichende Bewertung der Daten zur Mortalität nicht möglich.","Arzneimittel-Richtlinie/Anlage XII: Tisagenlecleucel (Neues Anwendungsgebiet: Follikuläres Lymphom, vorbehandelte Patienten)",2022-06-01-D-831,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/840/,2026-09-05,verified-from-source,Neues Anwendungsgebiet (EU-Zulassungserweiterung 29.04.2022). Patienten: 650-690. Befristet bis 01.09.2028. Preis Stand Lauer-Taxe 01.11.2022.
Kymriah,Germany,Germany,G-BA,ALL_ped,"Kinder, Jugendliche und junge Erwachsene im Alter bis einschließlich 25 Jahren mit refraktärer oder rezidivierter (Rezidiv nach Transplantation oder zweites oder späteres Rezidiv) akuter lymphatischer B-Zell-Leukämie (ALL)",2018-08-23,2023-09-01,2024-02-15,recommended-restricted,none,,"Anhaltspunkt für einen nicht quantifizierbaren Zusatznutzen, weil die wissenschaftliche Datengrundlage eine Quantifizierung nicht zulässt",239000.00,EUR,Jahrestherapiekosten Beschluss,"Zusammenfassend wird der Zusatznutzen von Tisagenlecleucel wie folgt bewertet: Anhaltspunkt für einen nicht quantifizierbaren Zusatznutzen, weil die wissenschaftliche Datengrundlage eine Quantifizierung nicht zulässt","Arzneimittel-Richtlinie/Anlage XII: Tisagenlecleucel (Neubewertung nach Fristablauf: Akute lymphatische B-Zell-Leukämie, rezidiviert / refraktär, 0 ≤ 25 Jahre)",2023-09-01-D-976,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/990/,2026-09-05,verified-from-source,"Zweite Neubewertung nach Fristablauf. Patienten: 40-90. Keine Befristung im Beschlusstext gefunden. Preis 239.000 EUR (Stand Lauer-Taxe 15.01.2024, Erstattungsbetrag-Niveau)."
Kymriah,Germany,Germany,G-BA,LBCL_3L,"Erwachsene mit rezidiviertem oder refraktärem diffus großzelligen B-Zell-Lymphom (DLBCL), nach zwei oder mehr Linien einer systemischen Therapie",2018-08-23,2023-09-01,2024-02-15,recommended-restricted,none,,"Anhaltspunkt für einen nicht quantifizierbaren Zusatznutzen, weil die wissenschaftliche Datengrundlage eine Quantifizierung nicht zulässt",239000.00,EUR,Jahrestherapiekosten Beschluss,Begründung: Der pharmazeutische Unternehmer stellt für die erneute Nutzenbewertung nach Fristablauf zu Tisagenlecleucel Daten der einarmigen Studie JULIET und der Beobachtungsstudie A2205B (LTFU) dar.,"Arzneimittel-Richtlinie/Anlage XII: Tisagenlecleucel (Neubewertung nach Fristablauf: B-Zell-Lymphom, diffus großzelliges (DLBCL))",2023-09-01-D-977,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/991/,2026-09-05,verified-from-source,Zweite Neubewertung nach Fristablauf. Patienten: 530-1200. Keine Befristung im Beschlusstext gefunden. Preis 239.000 EUR (Stand Lauer-Taxe 15.01.2024).
Yescarta,Germany,Germany,G-BA,LBCL_3L,Erwachsene Patienten mit rezidiviertem oder refraktärem diffus großzelligem B-Zell Lymphom (DLBCL) nach zwei oder mehr systemischen Therapien,2018-08-23,2018-11-01,2019-05-02,recommended-restricted,none,,Nicht quantifizierbar (Orphan Drug: Zusatznutzen gilt als belegt),389130.00,EUR,Jahrestherapiekosten Beschluss,"Insgesamt wird für den Endpunkt Gesamtüberleben ein Zusatznutzen festgestellt, dessen Ausmaß sich nicht quantifizieren lässt. Aufgrund des einarmigen Studiendesigns ist eine vergleichende Bewertung der Studienergebnisse zum PFS nicht möglich.",Arzneimittel-Richtlinie/Anlage XII: Axicabtagen-Ciloleucel (DLBCL),2018-11-01-D-406,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/408/,2026-09-05,verified-from-source,Patienten: 440-700. Befristet bis 15.05.2022. Studie ZUMA-1 einarmig. Preis Abgabepreis pU (Stand 15.04.2019). QS-Beschluss CAR-T 17.09.2020 (§ 136a Abs. 5 SGB V) angehängt.
Yescarta,Germany,Germany,G-BA,PMBCL_3L,Erwachsene Patienten mit rezidiviertem oder refraktärem primär mediastinalen großzelligem B-Zell-Lymphom (PMBCL) nach zwei oder mehr systemischen Therapien,2018-08-23,2018-11-01,2019-05-02,recommended-restricted,none,,Nicht quantifizierbar (Orphan Drug: Zusatznutzen gilt als belegt),389130.00,EUR,Jahrestherapiekosten Beschluss,"Insgesamt wird für den Endpunkt Gesamtüberleben ein Zusatznutzen festgestellt, dessen Ausmaß sich nicht quantifizieren lässt.",Arzneimittel-Richtlinie/Anlage XII: Axicabtagen-Ciloleucel (PMBCL),2018-11-01-D-416,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/406/,2026-09-05,verified-from-source,Patienten: 5-9. Befristet bis 15.05.2022.
Yescarta,Germany,Germany,G-BA,LBCL_3L,Erwachsene mit rezidiviertem oder refraktärem diffus großzelligem B-Zell-Lymphom (DLBCL) nach zwei oder mehr systemischen Therapien,2018-08-23,2022-05-15,2022-11-03,recommended-restricted,none,,"Anhaltspunkt für einen nicht quantifizierbaren Zusatznutzen, weil die wissenschaftliche Datengrundlage eine Quantifizierung nicht zulässt",282000.00,EUR,Jahrestherapiekosten Beschluss,Für die Ableitung des Zusatznutzens legt der pharmazeutische Unternehmer einen historischen indirekten Vergleich ohne Brückenkomparator zwischen den Studien ZUMA-1 und SCHOLAR-1 vor. ... Es ergeben sich Unsicherheiten aufgrund eines möglichen Selektionseffektes durch die Auswahl der auswertbaren Population der SCHOLAR-1-Studie.,Arzneimittel-Richtlinie/Anlage XII: Axicabtagen-Ciloleucel (Neubewertung nach Fristablauf: diffus großzelliges B-Zell-Lymphom und primäres mediastinales großzelliges B-Zell-Lymphom),2022-05-15-D-820,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/833/,2026-09-05,verified-from-source,"Neubewertung nach Fristablauf. Patienten: 450-720. Keine Befristung im Beschlusstext gefunden; Beschluss aufgehoben durch Neubewertung Orphan > 30 Mio (01.07.2023). Preis 282.000 EUR (Stand Lauer-Taxe 15.10.2022, Erstattungsbetrag-Niveau)."
Yescarta,Germany,Germany,G-BA,PMBCL_3L,Erwachsene mit rezidiviertem oder refraktärem primär mediastinalen großzelligen B-Zell-Lymphom (PMBCL) nach zwei oder mehr systemischen Therapien,2018-08-23,2022-05-15,2022-11-03,recommended-restricted,none,,"Anhaltspunkt für einen nicht quantifizierbaren Zusatznutzen, weil die wissenschaftliche Datengrundlage eine Quantifizierung nicht zulässt",282000.00,EUR,Jahrestherapiekosten Beschluss,"Anhaltspunkt für einen nicht quantifizierbaren Zusatznutzen, weil die wissenschaftliche Datengrundlage eine Quantifizierung nicht zulässt.",Arzneimittel-Richtlinie/Anlage XII: Axicabtagen-Ciloleucel (Neubewertung nach Fristablauf: diffus großzelliges B-Zell-Lymphom und primäres mediastinales großzelliges B-Zell-Lymphom),2022-05-15-D-820,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/833/,2026-09-05,verified-from-source,Patienten: 5-9.
Yescarta,Germany,Germany,G-BA,LBCL_3L,"Erwachsene mit rezidiviertem oder refraktärem (r/r) diffus großzelligem B-Zell-Lymphom (DLBCL) und primär mediastinalem großzelligem B-Zell-Lymphom (PMBCL) nach zwei oder mehr systemischen Therapien, die für eine CAR-T-Zelltherapie oder Stammzelltransplantation infrage kommen",2018-08-23,2023-07-01,2023-12-21,not-recommended,none,,Ein Zusatznutzen ist nicht belegt,272000.00,EUR,Jahrestherapiekosten Beschluss,Zusammenfassend wird der Zusatznutzen von Axicabtagen-Ciloleucel wie folgt bewertet: Ein Zusatznutzen ist nicht belegt.,"Arzneimittel-Richtlinie/Anlage XII: Axicabtagen-Ciloleucel (Neubewertung eines Orphan Drugs nach Überschreitung der 30 Mio. Euro Grenze: diffus großzelliges B-Zell-Lymphom und primäres mediastinales großzelliges B-Zell-Lymphom, nach mind. 2 Vortherapien)",2023-07-01-D-953,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/968/,2026-09-05,verified-from-source,Neubewertung nach Überschreitung der 30-Mio-EUR-Umsatzgrenze (Orphan-Privileg entfällt); zVT Tisagenlecleucel oder Lisocabtagen maraleucel. Patienten: 680-1200. Befristet bis 01.07.2024 (Befristung aufgehoben durch Beschluss 06.06.2024). Preis 272.000 EUR.
Yescarta,Germany,Germany,G-BA,LBCL_3L,Erwachsene mit rezidiviertem oder refraktärem (r/r) diffus großzelligem B-Zell-Lymphom (DLBCL) und primär mediastinalem großzelligem B-Zell-Lymphom (PMBCL) nach zwei oder mehr systemischen Therapien,2018-08-23,2023-07-01,2024-06-06,not-recommended,none,,(Aufhebung der Befristung; Zusatznutzen-Feststellung vom 21.12.2023 unverändert: Ein Zusatznutzen ist nicht belegt),,,,Der Satz „2. Die Geltungsdauer ist bis zum 1. Juli 2024 befristet“ wird aufgehoben.,"Arzneimittel-Richtlinie/Anlage XII: Axicabtagen Ciloleucel (DLBCL und PMBCL, nach mind. 2 Vortherapien) – Aufhebung der Befristung der Geltungsdauer",2023-07-01-D-953,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/968/,2026-09-05,verified-from-source,Änderungsbeschluss; in Kraft 07.06.2024.
Yescarta,Germany,Germany,G-BA,LBCL_2L,"Erwachsene mit diffus großzelligem B-Zell-Lymphom (DLBCL) und hochmalignem B-Zell-Lymphom (HGBL), die für eine Hochdosistherapie infrage kommen und innerhalb von 12 Monaten nach Beendigung der Erstlinientherapie rezidivieren oder auf diese refraktär sind",2022-10-14,2023-07-01,2023-12-21,recommended-restricted,none,,Anhaltspunkt für einen nicht-quantifizierbaren Zusatznutzen,272000.00,EUR,Jahrestherapiekosten Beschluss,"(TrG:) die vom pharmazeutischen Unternehmer vorgelegten Auswertungen zu unerwünschten Ereignissen aus der pivotalen Studie ZUMA-7 für die Nutzenbewertung aufgrund einer nicht sachgerechten Auswertungspopulation für die dargelegten Ergebnisse zu Nebenwirkungen nicht geeignet waren, weshalb eine Abwägung von Nutzen und Schaden für Axicabtagen-Ciloleucel auf Basis der vorgelegten Daten nicht möglich gewesen war.","Arzneimittel-Richtlinie/Anlage XII: Axicabtagen-Ciloleucel (Neues Anwendungsgebiet: DLBCL, HGBL, nach 1 Vortherapie, Rezidiv innerhalb von 12 Monaten oder refraktär)",2023-07-01-D-890,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/901/,2026-09-05,verified-from-source,Patientengruppe a). Patienten: 800-1130. Feststellungen zu Gruppe a) befristet bis 01.07.2024. zVT: Induktion R-GDP/R-ICE/R-DHAP + Hochdosistherapie mit autologer/allogener SZT (ZUMA-7). Verfahren war 02.02.2023 bis Dossiervorlage ausgesetzt (Überschreitung 30 Mio EUR).
