product,system,country,body,indication_key,indication_text,regulatory_approval_date,submission_or_start_date,decision_date,outcome,arrangement_type,arrangement_detail,added_benefit_or_rating,price_at_decision,price_currency,price_basis,stated_reasons_verbatim,document_title,document_id,source_url,fetched_date,status,notes
Kymriah,England,UK,NICE,ALL_ped,Tisagenlecleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people aged up to 25 years,2018-08-23,2018-03-15,2018-12-21,recommended-managed-access,cancer-drugs-fund,Recommended for use within the Cancer Drugs Fund under a managed access agreement which includes a patient access scheme (simple discount); data collection until June 2023,"ERG probabilistic base-case ICER incorporating PAS: £29,501/QALY vs blinatumomab and £48,265/QALY vs salvage chemotherapy; company £20,046 and £27,066",282000,GBP,list,"The most plausible cost-effectiveness estimates for tisagenlecleucel are higher than what NICE normally considers acceptable. The life expectancy of people with relapsed or refractory acute lymphoblastic leukaemia is uncertain. It does not meet both of NICE's criteria to be a life-extending treatment at the end of life. Therefore tisagenlecleucel cannot be recommended for routine use in the NHS. Collecting more data on overall survival, subsequent stem cell transplant rates, and immunoglobulin usage will reduce the uncertainty in the clinical- and cost-effectiveness evidence. Therefore tisagenlecleucel is recommended for use in the Cancer Drugs Fund.",Tisagenlecleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people aged up to 25 years (TA554),TA554,https://www.nice.org.uk/guidance/ta554,2026-09-05,verified-from-source,"regulatory_approval_date = EU (EC) authorisation date from cohort brief, applicable to the UK at the time; MHRA GB date may differ for post-2020 products. Initial guidance; replaced by TA975 in May 2024. Live NICE page is a stub; recommendation text and list price read from Wayback snapshot (web.archive.org/web/20190601) of the original chapters. submission_or_start_date = invitation to participate; scope consultation 2017-11-23; final draft guidance 2018-11-16."
Kymriah,England,UK,NICE,ALL_ped,Tisagenlecleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people 25 years and under,2018-08-23,2023-08-08,2024-05-15,recommended,confidential-discount,Simple discount patient access scheme; size of discount commercial in confidence,"Company base-case ICERs vs blinatumomab or salvage chemotherapy around £20,000/QALY or lower; exact ICERs confidential",282000,GBP,list,"When considering the condition's severity, and its effect on quality and length of life, the most likely cost-effectiveness estimates are within the range that NICE considers an acceptable use of NHS resources. So, tisagenlecleucel is recommended for routine use in the NHS.",Tisagenlecleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people 25 years and under (TA975),TA975,https://www.nice.org.uk/guidance/ta975,2026-09-05,verified-from-source,"regulatory_approval_date = EU (EC) authorisation date from cohort brief, applicable to the UK at the time; MHRA GB date may differ for post-2020 products. Cancer Drugs Fund exit review of TA554. Resource impact statement: fewer than 100 children and young people in England eligible. Scope consultation 2023-07-18; final draft guidance 2024-04-11."
Kymriah,England,UK,NICE,LBCL_3L,Tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic therapies,2018-08-23,,2019-03-13,recommended-managed-access,cancer-drugs-fund,Recommended for use within the Cancer Drugs Fund under a managed access agreement including a patient access scheme and a commercial access agreement; data collection until 2023,"Committee: ICER with commercial discount ranged £42,991 to £55,403/QALY (ERG analyses with 2- to 4-year cure point); company revised base case £46,325/QALY",282000,GBP,list,"Tisagenlecleucel meets NICE's criteria to be considered a life-extending treatment at the end of life. All the cost-effectiveness estimates for tisagenlecleucel compared with salvage chemotherapy are uncertain because of limitations in the data. Because some of these estimates are higher than what NICE normally considers an acceptable use of NHS resources and are associated with a high degree of uncertainty, tisagenlecleucel cannot be recommended for routine use in the NHS. Collecting more data on progression-free survival, overall survival and immunoglobulin usage will reduce the uncertainty in the evidence. Therefore, tisagenlecleucel is recommended for use in the Cancer Drugs Fund.",Tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic therapies (TA567),TA567,https://www.nice.org.uk/guidance/ta567,2026-09-05,verified-from-source,"regulatory_approval_date = EU (EC) authorisation date from cohort brief, applicable to the UK at the time; MHRA GB date may differ for post-2020 products. Initial guidance; replaced by TA933 (terminated) in Nov 2023. Live page is a stub; text and price read from Wayback snapshot (web.archive.org/web/20190701). Start date blank: TA567 history not preserved on the live site and TA933 has no history entries."
Kymriah,England,UK,NICE,LBCL_3L,Tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic therapies (terminated appraisal),2018-08-23,,2023-11-29,terminated-or-withdrawn,none,CDF exit review terminated; company funds patients already on treatment,,,,,NICE is unable to make a recommendation about the use in the NHS of tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma in adults after 2 or more systemic therapies. This is because Novartis has confirmed that it does not intend to make an evidence submission for the appraisal. Novartis has agreed with NICE and NHS England that a guidance update would not be a productive use of resources. Novartis considers that changes to treatment and reimbursement mean that the submission would not be viable within what NICE considers a cost-effective use of NHS resources.,Tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic therapies (terminated appraisal) (TA933),TA933,https://www.nice.org.uk/guidance/ta933,2026-09-05,verified-from-source,"regulatory_approval_date = EU (EC) authorisation date from cohort brief, applicable to the UK at the time; MHRA GB date may differ for post-2020 products. Cancer Drugs Fund exit review of TA567 terminated because the company did not submit; product exited the CDF for this indication. No history dates on page."
Kymriah,England,UK,NICE,FL_3L,Tisagenlecleucel for treating follicular lymphoma after 2 or more therapies (terminated appraisal),,2022-08-30,2022-11-22,terminated-or-withdrawn,none,,,,,,NICE is unable to make a recommendation about the use in the NHS of tisagenlecleucel for treating relapsed or refractory follicular lymphoma in adults after 2 or more therapies. This is because Novartis has confirmed that it does not intend to make an evidence submission for the appraisal. Novartis considers that the technology is unlikely to be a cost-effective use of NHS resources based on the current price in existing indications.,Tisagenlecleucel for treating follicular lymphoma after 2 or more therapies (terminated appraisal) (TA842),TA842,https://www.nice.org.uk/guidance/ta842,2026-09-05,verified-from-source,regulatory_approval_date blank: this is an extension of indication whose EC/MHRA date is not stated in the guidance; take from EPAR. Scope consultation 2022-04-06; invitation to participate 2022-08-30 and 2022-09-15.
Kymriah,England,UK,NICE,LBCL_2L,Tisagenlecleucel for treating relapsed or refractory aggressive diffuse large B-cell lymphoma after 1 systemic therapy [ID3974],,,2022-12-21,terminated-or-withdrawn,none,,,,,,"Suspended. For information, the company have advised that they are no longer pursuing a Marketing Authorisation Application from the Medicines and Healthcare products Regulatory Agency (MHRA) for this indication at this time.",Tisagenlecleucel for treating relapsed or refractory aggressive diffuse large B-cell lymphoma after 1 systemic therapy [ID3974] (discontinued),GID-TA10859,https://www.nice.org.uk/guidance/discontinued/gid-ta10859,2026-09-05,verified-from-source,No marketing authorisation for this indication (BELINDA trial negative). NICE topic suspended 2021-10-27 and discontinued 2022-12-21; decision_date = discontinuation date.
Yescarta,England,UK,NICE,LBCL_3L,Axicabtagene ciloleucel for treating diffuse large B-cell lymphoma and primary mediastinal large B-cell lymphoma after 2 or more systemic therapies,2018-08-23,2017-12-07,2019-01-23,recommended-managed-access,cancer-drugs-fund,Recommended for use within the Cancer Drugs Fund under a managed access agreement with a confidential commercial arrangement; data collection until around February 2022,"Company base-case ICER above £50,000/QALY at first meeting; ERG exploratory base case over £100,000/QALY; company revised base case below £50,000/QALY; exact ICERs confidential",,,,"Axicabtagene ciloleucel meets NICE's criteria to be considered a life-extending treatment at the end of life. The most plausible cost-effectiveness estimates for axicabtagene ciloleucel compared with salvage chemotherapy are uncertain because survival data on axicabtagene ciloleucel are immature. However, the range of cost-effectiveness estimates shows that axicabtagene ciloleucel has plausible potential to be cost effective, and collecting further data on progression-free survival, overall survival and immunoglobulin usage will reduce the uncertainty in the evidence. Therefore, axicabtagene ciloleucel is recommended for use as an option within the Cancer Drugs Fund.",Axicabtagene ciloleucel for treating diffuse large B-cell lymphoma and primary mediastinal large B-cell lymphoma after 2 or more systemic therapies (TA559),TA559,https://www.nice.org.uk/guidance/ta559,2026-09-05,verified-from-source,"regulatory_approval_date = EU (EC) authorisation date from cohort brief, applicable to the UK at the time; MHRA GB date may differ for post-2020 products. Initial guidance; replaced by TA872 in Feb 2023. Live page is a stub; text read from Wayback snapshot (web.archive.org/web/20190601). Price was submitted as commercial in confidence (no list price in the 2019 guidance). Draft guidance 2018-08-28; final draft guidance 2018-12-07 (from TA872 history)."
Yescarta,England,UK,NICE,LBCL_3L,Axicabtagene ciloleucel for treating diffuse large B-cell lymphoma and primary mediastinal large B-cell lymphoma after 2 or more systemic therapies,2018-08-23,2022-03-17,2023-02-28,recommended,confidential-discount,Simple discount patient access scheme; size of discount commercial in confidence,ICERs confidential; committee concluded within acceptable range with end-of-life weighting,280451,GBP,list,"Axicabtagene ciloleucel meets NICE's criteria to be considered a life-extending treatment at the end of life. Taking this into account, the cost-effectiveness estimates for axicabtagene ciloleucel are within what NICE considers an acceptable use of NHS resources. So, axicabtagene ciloleucel is recommended for routine use in the NHS.",Axicabtagene ciloleucel for treating diffuse large B-cell lymphoma and primary mediastinal large B-cell lymphoma after 2 or more systemic therapies (TA872),TA872,https://www.nice.org.uk/guidance/ta872,2026-09-05,verified-from-source,"regulatory_approval_date = EU (EC) authorisation date from cohort brief, applicable to the UK at the time; MHRA GB date may differ for post-2020 products. Cancer Drugs Fund exit review of TA559. List price £280,451 per single infusion bag. Scope consultation 2022-02-08; final draft guidance 2023-01-26. No resource impact statement linked."
Yescarta,England,UK,NICE,LBCL_2L,Axicabtagene ciloleucel for treating relapsed or refractory diffuse large B-cell lymphoma after first-line chemoimmunotherapy,,2022-01-06,2023-06-07,recommended-managed-access,cancer-drugs-fund,Recommended for use within the Cancer Drugs Fund under a managed access agreement which includes a patient access scheme and a commercial access agreement; restricted to adults when an autologous stem cell transplant is suitable and disease relapsed within 12 months of or refractory to first-line chemoimmunotherapy,"Exact ICERs confidential; committee set maximum acceptable ICER substantially less than £50,000/QALY (end-of-life) because of uncertainty; estimate above lower end of range",280451,GBP,list,"Axicabtagene ciloleucel meets NICE's criteria to be considered a life-extending treatment at the end of life. The cost-effectiveness estimates are within the range NICE normally considers an acceptable use of NHS resources for end of life treatments. But, because of the uncertainty, an acceptable cost-effectiveness estimate would need to be at the lower end of the range. The cost-effectiveness estimate for axicabtagene ciloleucel is above the lower end of the range, so it cannot be recommended for routine use in the NHS. Axicabtagene ciloleucel has the potential to be cost effective, but more evidence is needed to reduce the uncertainties. Evidence from the trial and from NHS practice could help address these. So, axicabtagene ciloleucel is recommended for use in the Cancer Drugs Fund.",Axicabtagene ciloleucel for treating relapsed or refractory diffuse large B-cell lymphoma after first-line chemoimmunotherapy (TA895),TA895,https://www.nice.org.uk/guidance/ta895,2026-09-05,verified-from-source,regulatory_approval_date blank: this is an extension of indication whose EC/MHRA date is not stated in the guidance; take from EPAR. Resource impact statement: around 540 people per year with DLBCL eligible. Scope consultation 2021-10-29; draft guidance 2022-11-23; final draft guidance 2023-04-27.
Yescarta,England,UK,NICE,FL_4L,Axicabtagene ciloleucel for treating relapsed or refractory follicular lymphoma after 3 or more systemic treatments in adults,,2021-10-25,2023-06-07,not-recommended,none,Existing commercial arrangement would have applied if recommended,"Company deterministic and probabilistic base-case ICERs vs standard care over £40,000/QALY; acceptable range £20,000 to £30,000/QALY (end-of-life criteria not met)",280451,GBP,list,"Axicabtagene ciloleucel does not meet NICE's criteria to be considered a life-extending treatment at the end of life. This is because people having standard treatments for relapsed or refractory follicular lymphoma after 3 or more systemic treatments are likely to live longer than 2 years. Because there are uncertainties in the economic model, the cost-effectiveness estimates are also uncertain. They are also all above the range NICE normally considers to be an acceptable use of NHS resources. So, axicabtagene ciloleucel is not recommended for routine use in the NHS. The evidence suggests that axicabtagene ciloleucel is not likely to be cost effective. So, axicabtagene ciloleucel is not recommended for use in the Cancer Drugs Fund.",Axicabtagene ciloleucel for treating relapsed or refractory follicular lymphoma (TA894),TA894,https://www.nice.org.uk/guidance/ta894,2026-09-05,verified-from-source,regulatory_approval_date blank: this is an extension of indication whose EC/MHRA date is not stated in the guidance; take from EPAR. Scope consultation 2021-06-07; draft guidance 2022-07-27; final draft guidance 2023-05-02.
