system,product,event_type,event_date,body,outcome,detail,amount,currency,stated_reason_verbatim,source_doc,source_url,fetched_date,status,notes
China,"Yescarta (Yikaida 奕凯达, 阿基仑赛注射液, axicabtagene ciloleucel; Fosun Kite)",regulatory-approval,2021-06-22,NMPA,approved,"First CAR-T approved in mainland China; conditional approval for adults with r/r large B-cell lymphoma after two or more lines of systemic therapy (DLBCL NOS, PMBCL, high-grade B-cell lymphoma, transformed FL); registration number 国药准字S20210019; product locally manufactured by Fosun Kite under Kite licence (FKC876)",,,6月22日，中国国家药监局（NMPA）发布最新公示，复星凯特生物科技有限公司（以下简称“复星凯特”）CAR-T细胞治疗产品益基利仑赛注射液（又称阿基仑赛，代号：FKC876）已正式获得批准。,21财经 2021-06-23 重磅！中国首款CAR-T细胞疗法正式获批; NHSA 2023 NRDL application form for 阿基仑赛注射液 (中国大陆首次上市时间 2021-06; 国药准字S20210019),https://m.21jingji.com/article/20210623/herald/8b7be2e20b406e56a7413987a8a0f132.html,2026-09-06,verified-from-source,"Day (22 June 2021) from the 21jingji report of the NMPA notice; month and registration number verified from the NHSA-hosted 2023 application form (https://www.nhsa.gov.cn/attach/Ypsn2023/YPSW202300359/YPSW202300359-W1.pdf). China Food and Drug News (NMPA-affiliated, https://cs.cnpharm.com/c/2021-06-24/794326.shtml, 2021-06-24) gives the same indication text. NMPA pages (nmpa.gov.cn) returned HTTP 412 from this environment; CDE list pages returned a JavaScript challenge (HTTP 202); nhsa.gov.cn article pages timed out (attachments and the July 2025 notice did download)."
China,"Yescarta (Yikaida 奕凯达, 阿基仑赛注射液, axicabtagene ciloleucel; Fosun Kite)",regulatory-approval,2023-06,NMPA,approved,Second indication: adults with LBCL refractory to first-line immunochemotherapy or relapsing within 12 months (conditional approval),,,2023年6月，r/r LBCL二线适应症获批,"Fosun Pharma investor presentation, 2023 annual results (April 2024), p.18",https://www.fosunpharma.com/Upload/File/202404/d6f2ec45c6394f2ea44940f7f6976d65.pdf,2026-09-06,verified-from-source,Gloss: second-line r/r LBCL indication approved June 2023. NHSA 2024 form lists the indication as 本适应症为附条件批准上市 (conditional).
China,"Yescarta (Yikaida 奕凯达, 阿基仑赛注射液, axicabtagene ciloleucel; Fosun Kite)",price,2021-06,Fosun Kite (list price),stated,List price at launch 1.2 million CNY per infusion,1200000,CNY,阿基仑赛注射液售价为120万元,摩熵医药 (pharnexcloud) 2022-01-21 复星凯特CAR-T细胞治疗进展：使用患者超100人,https://www.pharnexcloud.com/zixun/sd_4133,2026-09-06,provisional-from-snippet,Same figure repeated in guancha 2025-11-05 (阿基仑赛注射液120万元/针) and 摩熵医药 2024-10-08; no sponsor price document read. No later list-price cut for this product found in the sources consulted.
China,"Yescarta (Yikaida 奕凯达, 阿基仑赛注射液, axicabtagene ciloleucel; Fosun Kite)",reimbursement-decision,2021,NHSA (NRDL 2021),not listed,Not admitted to the 2021 National Reimbursement Drug List,,,两款CAR-T产品，尽管上市后每年都出现在医保目录初审名单中，但仍无缘目录，CAR-T产品进军医保的三进三出,药智头条 via 中国医药创新促进会 2024-01-19 疗效价值支付计划之下的CAR-T，有望“出圈”了？,https://www.phirda.com/artilce_34006.html,2026-09-06,provisional-from-snippet,"Gloss: the two CAR-T products (Yikaida, Carteyva) appeared on the NRDL formal-review list every year after launch but never entered the list; three attempts, three exits (2021, 2022, 2023). NHSA year-by-year formal-review lists not read directly."
China,"Yescarta (Yikaida 奕凯达, 阿基仑赛注射液, axicabtagene ciloleucel; Fosun Kite)",reimbursement-decision,2022,NHSA (NRDL 2022),not listed,"Passed formal review, not admitted to the 2022 NRDL",,,一针120万元的阿基仑赛注射液和一针129万元的瑞基奥仑赛注射液目前已是第三次通过初审,摩熵医药 2024-10-08 医保初审名单揭晓：4款CAR-T疗法能否打破高价壁垒？,https://www.pharnexcloud.com/zixun/sx_8571,2026-09-06,provisional-from-snippet,"Gloss: in 2024 Yikaida and Carteyva passed formal review for the third time; combined with the 2024-01 source this places passes in 2022, 2023 and 2024 with no admission. Also mirrored at https://www.cn-healthcare.com/articlewm/20241009/wap-content-1640170.html"
China,"Yescarta (Yikaida 奕凯达, 阿基仑赛注射液, axicabtagene ciloleucel; Fosun Kite)",reimbursement-decision,2023-07-14,NHSA (NRDL 2023),not listed,"Application submitted 2023-07-14 (药品目录外, 治疗用生物制品3类, exclusive product); not admitted to the 2023 NRDL",,,三线及以上LBCL领域的CAR-T细胞治疗，已上市的产品还有2021年9月6日获批的瑞基奥仑赛，均未医保覆盖。,NHSA 2023年国家医保药品目录调整 申报材料（公示版） 阿基仑赛注射液 复星凯特,https://www.nhsa.gov.cn/attach/Ypsn2023/YPSW202300359/YPSW202300359-W1.pdf,2026-09-06,verified-from-source,"Gloss: the other marketed CAR-T for 3L+ LBCL, relma-cel approved 6 Sept 2021, is likewise not covered by basic insurance. Non-admission evidenced by the identical statement in the 2024 form and by the absence of any CAR-T from the 2025 NRDL attachment."
China,"Yescarta (Yikaida 奕凯达, 阿基仑赛注射液, axicabtagene ciloleucel; Fosun Kite)",reimbursement-decision,2024-07-12,NHSA (NRDL 2024),not listed,Application submitted 2024-07-12; one of 4 CAR-T products among 440 that passed formal review; not admitted to the 2024 NRDL,,,据公示信息显示，共有440个药品通过了初步形式审查，其中包括4款CAR-T产品。,NHSA 2024年国家医保药品目录调整 申报材料（公示版） 阿基仑赛注射液 (application record); 摩熵医药 2024-10-08 (formal-review count),https://www.nhsa.gov.cn/attach/Ypsn2024/YPSW202400238/YPSW202400238.pdf,2026-09-06,verified-from-source,Application record verified from the NHSA-hosted form; the 4-of-440 count is from 摩熵医药 (https://www.pharnexcloud.com/zixun/sx_8571). Sponsor's own stated reason in the form: CAR-T药品为个体化治疗方案，技术研发和生产成本高昂，在规模化生产方面需提高。
China,"Yescarta (Yikaida 奕凯达, 阿基仑赛注射液, axicabtagene ciloleucel; Fosun Kite)",reimbursement-decision,2025-12-05,NHSA and MOHRSS (医保发〔2025〕33号),listed,"Entry 10 of the first Commercial Health Insurance Innovative Drug List (商业健康保险创新药品目录 2025), category XL01XL 抗肿瘤细胞和基因治疗; holder 复星凯瑞（上海）生物科技有限公司; both LBCL indications; valid 2026-01-01 to 2027-12-31. Not in the basic NRDL 2025.",,,10 阿基仑赛注射液 奕凯达 …复星凯瑞（上海）生物科技有限公司 …2026年1月1日至2027年12月31日,"商业健康保险创新药品目录（2025年）, attachment 2 to 医保发〔2025〕33号 (gov.cn copy)",https://www.gov.cn/zhengce/zhengceku/202512/P020251207694651942582.pdf,2026-09-06,verified-from-source,"Notice dated 2025-12-05, published 2025-12-07, effective 2026-01-01 (https://www.gov.cn/zhengce/zhengceku/202512/content_7050533.htm). Basic NRDL 2025 attachment (https://www.gov.cn/zhengce/zhengceku/202512/P020251207694651387946.pdf, 202 pages) contains no 奥仑赛 entry. Negotiated commercial-list price not published; a company source told Yicai the cut was 不低于15% (see CAR-T class row)."
China,"Yescarta (Yikaida 奕凯达, 阿基仑赛注射液, axicabtagene ciloleucel; Fosun Kite)",insurance-coverage,2022-05,"沪惠保 (Shanghai Huhuibao, city supplementary insurance)",covered,"Included in Shanghai Huhuibao 2022 edition CAR-T drug benefit, maximum payout 500,000 CNY",500000,CNY,2022年5月，沪惠保将奕凯达®纳入保障范围，最高赔付金额达50万元,医麦客 via 中国医药创新促进会 2024-04-19 复星医药CAR-T治疗药品二线适应症纳入沪惠保,https://www.phirda.com/artilce_34832.html,2026-09-06,provisional-from-snippet,"Gloss: in May 2022 Huhuibao added Yikaida with a maximum payout of 500,000 CNY. Huhuibao 2022 product document not read; the 2024 claims guide (insurer page) confirms a CAR-T benefit covering this product."
China,"Yescarta (Yikaida 奕凯达, 阿基仑赛注射液, axicabtagene ciloleucel; Fosun Kite)",insurance-coverage,2024-04,沪惠保 (Shanghai Huhuibao),covered,"Huhuibao 2023 edition upgrade added the second-line LBCL indication of Yikaida, retroactive to the indication approval date",,,近日，沪惠保发布“沪惠保2023版”产品升级及增补赔付公告，在CAR-T治疗药品费用保险金的保障责任中，对奕凯达®（通用名：阿基仑赛注射液）的适应症进行扩充，增加该药品二线适应症,医麦客 via 中国医药创新促进会 2024-04-19,https://www.phirda.com/artilce_34832.html,2026-09-06,provisional-from-snippet,Gloss: Huhuibao announced an upgrade adding the second-line indication of Yikaida to the CAR-T benefit.
