"system","product","event_type","event_date","body","outcome","detail","amount","currency","stated_reason_verbatim","source_doc","source_url","fetched_date","status","notes"
"Singapore","system","policy-statement","2020-11-06","Health Sciences Authority","stated","Public consultation on the proposed regulation of Cell, Tissue and Gene Therapy Products under the Health Products Act; consultation period 6 to 27 November 2020; proposed two-tier framework (Class 1 notification only; Class 2 registration and dealer licensing).","","","""Public Consultation on the Proposed Regulation for Cell, Tissue and Gene Therapy Products under the Health Products Act""; consultation ""6 November 2020 to 27 November 2020""","HSA announcement: Public consultation on CTGTP regulation","https://www.hsa.gov.sg/announcements/ctgtp/","2026-09-06","verified-from-source",""
"Singapore","system","policy-statement","2021-01-06","Health Sciences Authority","stated","Summary of responses to the CTGTP public consultation published; notes feedback on impact to CTGTP previously allowed under the Medical Devices Special Access Route (MDSAR).","","","""Summary of Responses to Feedback from Public Consultation on the Proposed Regulation for Cell, Tissue and Gene Therapy Products under the Health Products Act""","HSA announcement: Summary of responses (CTGTP)","https://www.hsa.gov.sg/announcements/summary-of-responses-ctgtp/","2026-09-06","verified-from-source",""
"Singapore","system","regulatory-registration","2021-03-01","Health Sciences Authority","started","CTGTP regulatory framework commenced: Health Products (Cell, Tissue and Gene Therapy Products) Regulations 2021 under the Health Products Act; risk-stratified Class 1 / Class 2; Class 2 requires product registration.","","","""The Health Sciences Authority of Singapore has implemented a fit-for-purpose regulatory framework for Cell, Tissue, and Gene Therapy Products (CTGTPs) on 1 March 2021. A total of 11 pieces of subsidiary legislation for CTGTP are gazetted under the Health Products Act as Health Products (CTGTP) Regulations 2021.""","Regulatory Oversight of Cell, Tissue, and Gene Therapy Products in Singapore, Adv Exp Med Biol 2023 (PMID 37526849), abstract via Europe PMC","https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:37526849&format=json&resultType=core","2026-09-06","verified-from-source","Corroborated by Regen Ther 2025 report (PMC12019077): HSA 'implemented CTGTP regulations on March 1, 2021'. HSA's own regulatory-overview page names the Regulations 2021 but does not state the commencement date. Kymriah was approved 9 March 2021, eight days after commencement."
"Singapore","system","regulatory-registration","","Health Sciences Authority","stated","Class definitions and registration requirement (HSA regulatory overview page, last updated 14 April 2026).","","","Class 1 CTGTP: ""CTGTP which satisfies ALL the following criteria: minimally manipulated, intended for homologous use, not combined or used in conjunction with therapeutic products or medical devices""; Class 2 CTGTP: ""Other CTGTP which are not classified as Class 1 CTGTP.""; ""HSA regulates the registration, import, manufacture and supply of Cell, Tissue and Gene Therapy Products (CTGTP) in Singapore.""","HSA: Regulatory overview of CTGTP; HSA CTGTP landing page","https://www.hsa.gov.sg/ctgtp/overview/regulatory-overview/","2026-09-06","verified-from-source",""
"Singapore","system","regulatory-registration","2026-06","Health Sciences Authority","stated","Class 2 CTGTP evaluation routes: Full (not approved by any comparable overseas regulator) or Abridged (approved by at least one of TGA, Health Canada, US FDA, EMA, UK MHRA); application types NDA-1/2/3; pre-submission notification two months before full-route submission; overseas manufacturers subject to HSA GMP conformity assessment; RMP required for all NDA-1.","","","""Full: Any new CTGTP that has not been approved by any of HSA's comparable overseas regulators at the time of submission."" ""Abridged: Any new CTGTP that has been approved by at least one of HSA's comparable overseas regulators at the time of submission.""","HSA GN-ATPB-1-1 Version 4, Guidance on Cell, Tissue and Gene Therapy Products Registration and Variation Applications in Singapore, June 2026","https://isomer-user-content.by.gov.sg/409/d49126ee-1119-4510-8110-28c513fc210e/GN-ATPB-1-1%20Ver%204%20Guidance%20on%20Cell%20Tissue%20and%20Gene%20Therapy%20Products%20Registration%20and%20Variation%20A.pdf","2026-09-06","verified-from-source","The 22-page guidance contains no 'conditional registration' or 'priority review' section (string search returned zero hits)."
"Singapore","system","special-access","","Health Sciences Authority","stated","Special Access Route (SAR) for unregistered Class 2 CTGTP: import and supply at the request of a qualified practitioner for a named patient requires HSA approval; request form FORM-ATPB-1-1 Rev 002; page last updated 30 April 2026.","","","""Import and supply of unregistered Class 2 CTGTP at the request of qualified practitioners for use on their patients will require approval""; intended ""for life-saving therapies, where there is an unmet medical need""; the requesting doctor assumes ""full responsibility for the use of the unregistered CTGTP on the patient.""","HSA: Special Access Routes (SAR) for Class 2 CTGTP; Import and supply of unregistered CTGTP","https://www.hsa.gov.sg/ctgtp/class2/sar/unregistered-ctgtp/","2026-09-06","verified-from-source","Landing page: https://www.hsa.gov.sg/ctgtp/class2/sar/ (last updated 25 March 2026). Regen Ther 2025 report also notes the Health Products (Exemptions) Order 2016 permits use of out-of-specification autologous CTGTPs in select cases."
"Singapore","system","regulatory-registration","2024-10-07","Health Sciences Authority","started","Class 2 CTGTP registration moved to SHARE (Singapore Health Product Access and Regulatory E-System) from 7 October 2024 (announced 18 September 2024); SHARE hosts the public CTGTP Database.","","","""Singapore Health Product Access and Regulatory E-System""; database banner: ""Cell, Tissue and Gene Therapy Products (CTGTP) Database"" / ""Notified Class 1 and Registered Class 2 CTGTP Search""","HSA announcement: SHARE for Class 2 CTGTP registration; SHARE approved products page","https://www.hsa.gov.sg/announcements/share-for-class-2-ctgtp-registration/","2026-09-06","verified-from-source","HSA's public CTGTP register is the 'Cell, Tissue and Gene Therapy Products (CTGTP) Database' at https://share.hsa.gov.sg/mop/approvedproducts (Notified Class 1 and Registered Class 2 CTGTP Search); it is a client-side Svelte app whose data endpoint could not be reached with curl/WebFetch (page shell only), so HSA listing dates could not be read directly. Regen Ther 2025 report: SHARE launched 2 January 2024 for Class 1 notifications."
"Singapore","system","regulatory-registration","2024-04","Health Sciences Authority","registered","Count of Class 2 CTGTP approved in Singapore as of April 2024, per industry (SAPI) presentation at the 7th Asia Partnership Conference: five products - Kymriah, Luxturna, Yescarta, Zolgensma, SpheChon.","5","","""Five Class 2 CTGTPs"" approved as of April 2024: ""Kymriah, Luxturna, Yescarta, Zolgensma, and SpheChon"" (as summarised from the report)","Tsurumaki Y et al., Regulatory insights on gene therapies ... Report from the 7th Asia partnership conference, Regen Ther 2025;29:404-418","https://pmc.ncbi.nlm.nih.gov/articles/PMC12019077/","2026-09-06","verified-from-source","Secondary source (conference report, speaker Srinivasan Kellathur, Roche Singapore, for SAPI). SpheChon is a Korean autologous chondrocyte product, not in the cohort. Casgevy, Carvykti, Breyanzi, Tecartus, Abecma not in this list as of April 2024."
"Singapore","system","policy-statement","","Agency for Care Effectiveness","stated","ACE role: national HTA and clinical guidelines agency; conducts evaluations that inform MOH funding decisions and value-based pricing negotiations; publishes technology guidances (page last updated 29 May 2026).","","","""Established by the Ministry of Health, the Agency for Care Effectiveness (ACE) is Singapore's national health technology assessment (HTA) and clinical guidelines agency."" ""We conduct technical evaluations that inform funding decisions for health technologies ... Conducting value-based pricing negotiations with companies""","ACE: Who we are","https://www.ace-hta.gov.sg/who-we-are/","2026-09-06","verified-from-source",""
"Singapore","system","policy-statement","","MOH Drug Advisory Committee","stated","MOH Drug Advisory Committee (DAC) makes subsidy recommendations on drugs and CTGTPs on the basis of ACE evaluations against four criteria; technology guidances are issued 'from the MOH Drug Advisory Committee'.","","","""The evidence was used to inform the Committee's deliberations around four core decision-making criteria: Clinical need of patients and nature of the condition; Clinical effectiveness and safety of the technology; Cost-effectiveness (value for money) - the incremental benefit and cost of the technology compared to existing alternatives; and Estimated annual technology cost and the number of patients likely to benefit from the technology.""","ACE Technology Guidance: Tisagenlecleucel for relapsed or refractory B-cell ALL (1 Aug 2024), para 1.2","https://www.ace-hta.gov.sg/healthcare-professionals/ace-technology-guidance/drug-guidance/tisagenlecleucel-for-relapsed-or-refractory-b-cell-acute-lymphoblastic-leukaemia/","2026-09-06","verified-from-source",""
