level,group,rows_sampled,reached,checked,agree,minor_discrepancy,disagree,not_verifiable,disagree_rate_among_checked,any_discrepancy_rate_among_checked
layer,access,24.0,24.0,23.0,21.0,2.0,0.0,1.0,0.0,0.087
layer,cohort,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0
layer,diagnostics,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
layer,investment,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
layer,uptake,124.0,124.0,124.0,123.0,1.0,0.0,0.0,0.0,0.008
table,data/access/raw/decisions_aifa.csv,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
table,data/access/raw/decisions_australia.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/access/raw/decisions_cda_amc.csv,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
table,data/access/raw/decisions_gba.csv,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
table,data/access/raw/decisions_has.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/access/raw/decisions_nice.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/access/raw/governance_china.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/access/raw/governance_singapore.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/access/raw/governance_us.csv,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
table,data/cohort/raw/projections_S16_S17.csv,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0
table,data/cohort/raw/s06_success_rates.csv,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
table,data/diagnostics/raw/medicare_partb_volumes_check.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/investment/raw/events_by_product.csv,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/abecma_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/abecma_revenue.csv,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/amtagvi_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/amtagvi_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/aucatzyl_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/aucatzyl_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/beqvez_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/breyanzi_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/breyanzi_revenue.csv,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/cart_country_supplement.csv,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/cart_registry_counts.csv,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/carvykti_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/carvykti_revenue.csv,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/casgevy_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/casgevy_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/country_population.csv,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/elevidys_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/elevidys_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/eligible_E1a.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/eligible_E1b.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/eligible_E2.csv,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/eligible_E3a.csv,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/eligible_E3b.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/eligible_E4.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/eligible_E5_label_expansions.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/hemgenix_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/hemgenix_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/imlygic_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/kebilidi_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/kymriah_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/kymriah_revenue.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/label_events.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/launches2026_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/launches2026_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/lenmeldy_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/lenmeldy_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/luxturna_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/luxturna_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/lyfgenia_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/lyfgenia_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/omisirge_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/omisirge_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/papzimeos_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/papzimeos_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/provenge_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/provenge_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/roctavian_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/roctavian_revenue.csv,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
table,data/uptake/raw/ryoncil_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/ryoncil_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/skysona_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/skysona_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/tecartus_revenue.csv,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/tecelra_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/tecelra_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/verification_hemgenix_tecartus.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/vyjuvek_disclosures.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/vyjuvek_revenue.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/yescarta_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/yescarta_revenue.csv,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/zevaskyn_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/zevaskyn_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/zolgensma_disclosures.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/zolgensma_revenue.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/zynteglo_disclosures.csv,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
table,data/uptake/raw/zynteglo_revenue.csv,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
all,all rows,171.0,171.0,170.0,167.0,3.0,0.0,1.0,0.0,0.018
