sample_id,raw_file,row_index,source_url,reachable,values_checked,verdict,discrepancy_note,fetched_date
A001,data/uptake/raw/eligible_E3b.csv,42,https://www.iqwig.de/download/g25-25_beremagen-geperpavec_bewertung-35a-absatz-1-satz-11-sgb-v_v1-0.pdf,reached,GKV target population 244-910 in 2023; 2030 projection 246-917; IQWiG G25-25 v1.0 dated 06.11.2025,agree,,2026-09-07
A005,data/uptake/raw/cart_country_supplement.csv,59,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,reached,Romania 2024 CAR-T total 11 (first 11); 5 centres; Appendix 2024 supplement,agree,,2026-09-07
A009,data/uptake/raw/elevidys_revenue.csv,15,https://www.sec.gov/Archives/edgar/data/873303/000095017025064412/srpt-20250331.htm,reached,"Royalty revenue three months ended 2024-03-31 = $173 thousand; contract manufacturing $5,807 thousand",agree,Fetched via WebFetch (curl 403). Filing date in source_doc (2025-05-06) not confirmed from the page text.,2026-09-07
A013,data/uptake/raw/papzimeos_revenue.csv,3,https://www.sec.gov/Archives/edgar/data/1356090/000095010326007158/dp246650_ex9901.htm,reached,"PAPZIMEOS Q1 2026 net product revenue $21.6 million; product revenues 21,828 vs 203 thousand; release 2026-05-13",agree,Fetched via WebFetch (curl 403).,2026-09-07
A017,data/uptake/raw/kebilidi_disclosures.csv,2,https://www.sec.gov/Archives/edgar/data/1070081/000155837024002189/tmb-20240229xex99d1.htm,reached,Quote: BLA submission for Upstaza expected March 2024; release date 2024-02-29,agree,Fetched via WebFetch (curl 403).,2026-09-07
A021,data/uptake/raw/vyjuvek_disclosures.csv,26,https://www.sec.gov/Archives/edgar/data/1711279/000171127926000044/a1q26exhibit991pr.htm,reached,Over 695 reimbursement approvals; over 60 new prescribers Q1 2026; over 570 unique prescribers; release 2026-05-04,agree,Fetched via WebFetch (curl 403).,2026-09-07
A025,data/uptake/raw/zynteglo_revenue.csv,10,https://www.sec.gov/Archives/edgar/data/1293971/000129397125000014/blue-20250331.htm,reached,"ZYNTEGLO product revenue Q1 2025 = $26,307 thousand (Note 3); total product revenue $38,712 thousand",agree,Fetched via WebFetch (curl 403). Filing date in source_doc (2025-05-14) not confirmed from the page text.,2026-09-07
A029,data/uptake/raw/papzimeos_disclosures.csv,2,https://www.sec.gov/Archives/edgar/data/1356090/000095010325014683/dp237316_ex9901.htm,reached,Broad label launch; sales team deployed September; over 90% target institutions engaged; >100 million lives covered; Medicare and Medicaid; release 2025-11-13,agree,"Fetched via WebFetch (curl 403). Row joins separate phrases, as its notes state.",2026-09-07
A033,data/uptake/raw/hemgenix_revenue.csv,5,https://investors.csl.com/pdf/c72789c6-778d-4b88-8657-be40cf97e2b3/CSL-Results-Presentation.pdf,reached,"Appendix A key products table: Hemgenix | Haemophilia | 92 | 189%; Haemophilia group $1,488m +13%; FY2025 results presentation",agree,,2026-09-07
A037,data/uptake/raw/launches2026_revenue.csv,4,https://www.sec.gov/Archives/edgar/data/1737953/000110465926096483/tm2623208d1_ex99-1.htm,reached,No revenue line in quarter ended 2026-06-30 income statement; product in market within 60 days; FDA approval 2026-08-06; release 2026-08-14,agree,Fetched via WebFetch (curl 403).,2026-09-07
