product_key,cohort_product,platform_class,search_terms,regex,sponsor_filter,n_matched_interventional,auto_earliest_nct,auto_earliest_start,auto_earliest_phase,auto_earliest_sponsor,auto_earliest_title,origin_nct,origin_start,origin_sponsor,origin_title,first_in_human_date,first_in_human_nct,fda_approval_date,eu_authorisation_date,first_approval_date,years_fih_to_first_approval,years_fih_to_fda,status,fetched,flags,notes
kymriah,Kymriah,autologous CAR-T,tisagenlecleucel OR CTL019 OR CART-19,tisagenlecleucel|CTL-?019|CART-?19\b,,67,NCT01029366,2010-03-17,PHASE1,University of Pennsylvania,CART19 to Treat B-Cell Leukemia or Lymphoma That Are Resistant or Refractory to Chemotherapy,NCT01029366,2010-03-17,University of Pennsylvania,CART19 to Treat B-Cell Leukemia or Lymphoma That Are Resistant or Refractory to Chemotherapy,2010-03-17,NCT01029366,2017-08-30,2018-08-23,2017-08-30,7.46,7.46,verified-from-data,2026-09-04,,Penn CART-19 trial is the construct's first clinical use
yescarta,Yescarta,autologous CAR-T,axicabtagene ciloleucel OR KTE-C19,axicabtagene|KTE-?C19|axi-cel,,47,NCT02348216,2015-04-21,PHASE1|PHASE2,"Kite, A Gilead Company",Study Evaluating the Safety and Efficacy of KTE-C19 in Adult Participants With Refractory Aggressive Non-Hodgkin Lymphoma,NCT00924326,2009-02-17,National Cancer Institute (NCI),CAR T Cell Receptor Immunotherapy for Patients With B-cell Lymphoma,2009-02-17,NCT00924326,2017-10-18,2018-08-23,2017-10-18,8.67,8.67,verified-from-data,2026-09-04,,NCI anti-CD19 CAR (FMC63-CD28) trial licensed to Kite is the construct's first clinical use
tecartus,Tecartus,autologous CAR-T,brexucabtagene autoleucel OR KTE-X19,brexucabtagene|KTE-?X19,,14,NCT02601313,2015-11-09,PHASE2,"Kite, A Gilead Company",Study of Brexucabtagene Autoleucel (KTE-X19) in Participants With Relapsed/Refractory Mantle Cell Lymphoma (Cohort 1 and Cohort 2),,,,,2015-11-09,NCT02601313,2020-07-24,2020-12-14,2020-07-24,4.71,4.71,verified-from-data,2026-09-04,earliest matched trial is PHASE2: an earlier unregistered phase 1 is possible,same CAR as Yescarta with a different manufacturing process; dated from its own first trial
breyanzi,Breyanzi,autologous CAR-T,lisocabtagene maraleucel OR JCAR017,lisocabtagene|JCAR-?017|liso-cel,,27,NCT02631044,2016-01-06,PHASE1,"Juno Therapeutics, a Subsidiary of Celgene",Study Evaluating the Safety and Pharmacokinetics of JCAR017 in B-cell Non-Hodgkin Lymphoma (TRANSCEND-NHL-001),NCT02631044,2016-01-06,"Juno Therapeutics, a Subsidiary of Celgene",Study Evaluating the Safety and Pharmacokinetics of JCAR017 in B-cell Non-Hodgkin Lymphoma (TRANSCEND-NHL-001),2016-01-06,NCT02631044,2021-02-05,2022-04-04,2021-02-05,5.08,5.08,verified-from-data,2026-09-04,,
abecma,Abecma,autologous CAR-T,idecabtagene vicleucel OR bb2121,idecabtagene|bb2121|ide-cel,,15,NCT02658929,2015-12-22,PHASE1,Celgene,Study of bb2121 in Multiple Myeloma,NCT02658929,2015-12-22,Celgene,Study of bb2121 in Multiple Myeloma,2015-12-22,NCT02658929,2021-03-26,2021-08-18,2021-03-26,5.26,5.26,verified-from-data,2026-09-04,,
carvykti,Carvykti,autologous CAR-T,ciltacabtagene autoleucel OR LCAR-B38M OR JNJ-68284528,ciltacabtagene|LCAR-?B38M|JNJ-?68284528|cilta-cel|JNJ-?4528,,21,NCT03090659,2015-10-02,PHASE1|PHASE2,Nanjing Legend Biotech Co.,LCAR-B38M Cells in Treating Relapsed/Refractory (R/R) Multiple Myeloma,NCT03090659,2015-10-02,Nanjing Legend Biotech Co.,LCAR-B38M Cells in Treating Relapsed/Refractory (R/R) Multiple Myeloma,2015-10-02,NCT03090659,2022-02-28,2022-05-25,2022-02-28,6.41,6.41,verified-from-data,2026-09-04,,LEGEND-2 in China is the construct's first clinical use
aucatzyl,Aucatzyl,autologous CAR-T,obecabtagene autoleucel OR AUTO1,obecabtagene|AUTO1\b|obe-cel|CAT-?19,Autolus,7,NCT04404660,2020-06-03,PHASE1|PHASE2,Autolus Limited,A Study of CD19 Targeted CAR T Cell Therapy in Adult Patients With Relapsed or Refractory B Cell Acute Lymphoblastic Leukaemia (ALL),NCT02443831,2016-04-01,"University College, London",CARPALL: Immunotherapy With CD19+CD22 CAR T-cells for CD19+ and CD22+ Acute Lymphoblastic Leukaemia,2016-04-01,NCT02443831,2024-11-08,2025-07-17,2024-11-08,8.61,8.61,verified-from-data,2026-09-04,,"CARPALL (UCL, paediatric) used the CAT CAR before ALLCAR19"
luxturna,Luxturna,AAV subretinal,voretigene neparvovec OR AAV2-hRPE65v2 OR SPK-RPE65,voretigene|hRPE65v2|SPK-?RPE65|rAAV2-?hRPE65,,4,NCT00516477,2007-09-01,PHASE1,"Spark Therapeutics, Inc.",Safety Study in Subjects With Leber Congenital Amaurosis,NCT00516477,2007-09-01,"Spark Therapeutics, Inc.",Safety Study in Subjects With Leber Congenital Amaurosis,2007-09-01,NCT00516477,2017-12-19,2018-11-22,2017-12-19,10.3,10.3,verified-from-data,2026-09-04,,CHOP phase 1 (2007) is the construct's first clinical use
zolgensma,Zolgensma,AAV systemic,onasemnogene abeparvovec OR AVXS-101,onasemnogene|AVXS-?101|scAAV9\.CB\.SMN,,15,NCT02122952,2014-05-05,PHASE1,Novartis Gene Therapies,Gene Transfer Clinical Trial for Spinal Muscular Atrophy Type 1,NCT02122952,2014-05-05,Novartis Gene Therapies,Gene Transfer Clinical Trial for Spinal Muscular Atrophy Type 1,2014-05-05,NCT02122952,2019-05-24,2020-05-18,2019-05-24,5.05,5.05,verified-from-data,2026-09-04,,Nationwide Children's phase 1 (2014)
itvisma,Itvisma,AAV intrathecal,OAV101 OR AVXS-101 intrathecal OR onasemnogene abeparvovec intrathecal,OAV-?101|intrathecal,Novartis,5,NCT04851873,2021-09-08,PHASE3,Novartis Pharmaceuticals,Safety and Efficacy of Intravenous OAV101 (AVXS-101) in Pediatric Patients With Spinal Muscular Atrophy (SMA),NCT03381729,2017-12-14,Novartis Gene Therapies,Study of Intrathecal Administration of Onasemnogene Abeparvovec-xioi for Spinal Muscular Atrophy,2017-12-14,NCT03381729,2025-11-24,2026-06-30,2025-11-24,7.95,7.95,verified-from-data,2026-09-04,,STRONG (intrathecal AVXS-101) 2017
hemgenix,Hemgenix,AAV systemic,etranacogene dezaparvovec OR AMT-061,etranacogene|AMT-?061,,4,NCT03569891,2018-06-27,PHASE3,CSL Behring,HOPE-B: Trial of AMT-061 in Severe or Moderately Severe Hemophilia B Patients,,,,,2018-06-27,NCT03569891,2022-11-22,2023-02-20,2022-11-22,4.41,4.41,verified-from-data,2026-09-04,earliest matched trial is PHASE3: an earlier unregistered phase 1 is possible,"dated from AMT-061 (Padua variant); the predecessor AMT-060 (wild-type FIX, NCT02396342, 2015-06) is a different construct"
beqvez,Beqvez / Durveqtix,AAV systemic,fidanacogene elaparvovec OR SPK-9001 OR PF-06838435,fidanacogene|SPK-?9001|PF-?06838435,,4,NCT02484092,2015-11-18,PHASE2,Pfizer,A Gene Therapy Study for Hemophilia B,,,,,2015-11-18,NCT02484092,2024-04-25,2024-07-24,2024-04-25,8.44,8.44,verified-from-data,2026-09-04,earliest matched trial is PHASE2: an earlier unregistered phase 1 is possible,
roctavian,Roctavian,AAV systemic,valoctocogene roxaparvovec OR BMN 270,valoctocogene|BMN\s?270,,7,NCT02576795,2015-09-28,PHASE1|PHASE2,BioMarin Pharmaceutical,Gene Therapy Study in Severe Haemophilia A Patients (270-201),,,,,2015-09-28,NCT02576795,2023-06-30,2022-08-24,2022-08-24,6.9,7.75,verified-from-data,2026-09-04,,
casgevy,Casgevy,CRISPR ex vivo,exagamglogene autotemcel OR CTX001,exagamglogene|CTX-?001|exa-cel,,9,NCT03655678,2018-09-14,PHASE2|PHASE3,Vertex Pharmaceuticals Incorporated,A Safety and Efficacy Study Evaluating CTX001 in Participants With Transfusion-Dependent β-Thalassemia,,,,,2018-09-14,NCT03655678,2023-12-08,2024-02-09,2023-12-08,5.23,5.23,verified-from-data,2026-09-04,earliest matched trial is PHASE2|PHASE3: an earlier unregistered phase 1 is possible,
lyfgenia,Lyfgenia,lentiviral ex vivo,lovotibeglogene autotemcel OR bb1111 OR LentiGlobin,lovotibeglogene|bb1111|lovo-cel|LentiGlobin,,6,NCT02151526,2013-06-07,PHASE1|PHASE2,Genetix Biotherapeutics Inc.,A Study Evaluating the Safety and Efficacy of LentiGlobin BB305 Drug Product in β-Thalassemia Major (Also Referred to as Transfusion-dependent β-Thalassemia [TDT]) and Sickle Cell Disease,NCT02140554,2015-02-02,Genetix Biotherapeutics Inc.,A Study Evaluating the Safety and Efficacy of Lovo-cel in Severe Sickle Cell Disease,2013-06-07,NCT02151526,2023-12-08,,2023-12-08,10.5,10.5,verified-from-data,2026-09-04,,HGB-206 (LentiGlobin BB305 in sickle cell disease) is the product's first trial
