date_seed,event,layer,jurisdiction,status,source,verified_date
2018-03,Medicare national coverage determination 90.2 for next-generation sequencing in advanced cancer,diagnostics coverage,US,seeded-from-memory,,
2020-01,NCD 90.2 expanded to germline testing,diagnostics coverage,US,seeded-from-memory,,
2019-08,Medicare national coverage determination for CAR-T,uptake,US,seeded-from-memory,,
2020-10,"Dedicated inpatient payment group for CAR-T in US hospitals, fiscal 2021",uptake,US,seeded-from-memory,,
2021-03,NHS England agreement for Zolgensma,access,England,seeded-from-memory,,
2021-04,Zynteglo withdrawn from Germany after price negotiations failed,access; investment,Germany,seeded-from-memory,,
2021-08,bluebird bio announces exit from Europe,investment,EU,seeded-from-memory,,
2022-07,US rule permitting multiple best prices for value-based purchasing arrangements,access,US,seeded-from-memory,,
2022-08,Zynteglo FDA approval with outcomes-based agreements,access,US,seeded-from-memory,,
2023-06,Elevidys accelerated approval,uptake,US,seeded-from-memory,,
2024-06,Elevidys label expansion,uptake,US,seeded-from-memory,,
2025,Elevidys safety restriction after patient deaths,uptake,US,seeded-from-memory,,
2024-08,NICE recommendation for Casgevy in transfusion-dependent thalassaemia,access,England,seeded-from-memory,,
2025-01,NICE recommendation for Casgevy in sickle cell disease,access,England,seeded-from-memory,,
2025-01,CMS Cell and Gene Therapy Access Model launches,access; uptake,US,seeded-from-memory,,
2025,States join the CMS access model through the year,access; uptake,US,seeded-from-memory,,
2025-01,EU joint clinical assessments begin for advanced therapies and oncology medicines,access,EU,seeded-from-memory,,
2025-02,Pfizer discontinues Beqvez and exits gene therapy,investment,global,seeded-from-memory,,
2025-06,FDA removes REMS requirements for autologous CAR-T,uptake,US,seeded-from-memory,,
2025,bluebird bio acquired by private equity,investment,US,seeded-from-memory,,
2025,2seventy bio acquired by Bristol Myers Squibb,investment,US,seeded-from-memory,,
2023,Germany GKV financial stabilisation act changes orphan drug thresholds,access,Germany,seeded-from-memory,,
2026-03,Hemgenix global stockout announced 17 March 2026; limited supply resumed April 2026,uptake,global,verified-from-source,https://www.hemophiliafed.org/csl-provides-update-on-hemgenix-supply-and-patient-access/,2026-09-04
