product,proper_name,sponsor,indication_seed,platform_class,genetic_modification,fda_year_seed,eu_year_seed,in_fda_list_2026-08-18,public_sales_seed,post_approval_event_seed,notes,membership_source,dates_verified,date_source,fda_approval_date,fda_pathway,fda_source_url,fda_status,fda_post_approval_event,fda_event_date,fda_event_source_url,eu_authorisation_date,eu_authorisation_type,eu_withdrawn_date,eu_source_url,eu_status,fetched_date
Abecma,idecabtagene vicleucel,Celgene / Bristol Myers Squibb; 2seventy,multiple myeloma,autologous CAR-T,yes,2021,2021,yes,yes,2seventy acquired by BMS 2025,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/abecma; https://www.ema.europa.eu/en/medicines/human/EPAR/abecma,2021-03-26,standard (BLA; not accelerated),https://www.fda.gov/vaccines-blood-biologics/abecma,verified-from-source,Boxed warning added for T cell malignancies (class-wide BCMA-/CD19-directed CAR-T),2024-04-18,https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2021-08-18,conditional (switched to standard 2024-03-19),,https://www.ema.europa.eu/en/medicines/human/EPAR/abecma,verified-from-source,2026-09-04
Adstiladrin,nadofaragene firadenovec,Ferring,non-muscle-invasive bladder cancer,adenoviral intravesical,yes,2022,,yes,private,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/adstiladrin; https://www.ema.europa.eu/en/medicines/human/EPAR/adstiladrin,2022-12-16,standard,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/adstiladrin,verified-from-source,none found on fda.gov,,,2026-05-28,conditional,,https://www.ema.europa.eu/en/medicines/human/EPAR/adstiladrin,verified-from-source,2026-09-04
Amtagvi,lifileucel,Iovance,melanoma,tumour-infiltrating lymphocytes,no,2024,,yes,yes,,non-genetic cell therapy; comparator class,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/approved-blood-products/amtagvi; https://www.ema.europa.eu/en/medicines/human/EPAR/amtagvi,2024-02-16,"accelerated approval (BLA; date string on FDA page: ""February 16, 2024 Approval Letter - AMTAGVI"")",https://www.fda.gov/vaccines-blood-biologics/approved-blood-products/amtagvi,verified-from-source,no label restriction or withdrawal found; still accelerated approval pending confirmatory trial TILVANCE-301,,https://www.fda.gov/vaccines-blood-biologics/approved-blood-products/amtagvi,none,none - MAA withdrawn by applicant,,https://www.ema.europa.eu/en/medicines/human/EPAR/amtagvi,verified-from-source,2026-09-04
Aucatzyl,obecabtagene autoleucel,Autolus,B-ALL,autologous CAR-T,yes,2024,2025,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/aucatzyl; https://www.ema.europa.eu/en/medicines/human/EPAR/aucatzyl,2024-11-08,standard (not accelerated),https://www.fda.gov/vaccines-blood-biologics/aucatzyl,verified-from-source,none found on fda.gov,,,2025-07-17,conditional,,https://www.ema.europa.eu/en/medicines/human/EPAR/aucatzyl,verified-from-source,2026-09-04
Beqvez / Durveqtix,fidanacogene elaparvovec,Pfizer,haemophilia B,AAV systemic,yes,2024,2024,yes,yes,discontinued 2025,still on FDA list,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/beqvez; https://www.ema.europa.eu/en/medicines/human/EPAR/durveqtix,2024-04-25,standard,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/beqvez,verified-from-source,none found on fda.gov (US licence not shown as withdrawn),,,2024-07-24,conditional,2025-05-15,https://www.ema.europa.eu/en/medicines/human/EPAR/durveqtix,verified-from-source,2026-09-04
Breyanzi,lisocabtagene maraleucel,Juno / Bristol Myers Squibb,"LBCL, CLL, FL, MCL",autologous CAR-T,yes,2021,2022,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/breyanzi; https://www.ema.europa.eu/en/medicines/human/EPAR/breyanzi,2021-02-05,standard for initial LBCL indication; later CLL/SLL indication under accelerated approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/breyanzi,verified-from-source,Boxed warning added for T cell malignancies (class-wide BCMA-/CD19-directed CAR-T),2024-04-18,https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2022-04-04,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/breyanzi,verified-from-source,2026-09-04
Carvykti,ciltacabtagene autoleucel,Janssen / Legend,multiple myeloma,autologous CAR-T,yes,2022,2022,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/carvykti; https://www.ema.europa.eu/en/medicines/human/EPAR/carvykti,2022-02-28,standard (not accelerated),https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/carvykti,verified-from-source,Boxed warning added for T cell malignancies (class-wide BCMA-/CD19-directed CAR-T),2024-04-18,https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2022-05-25,conditional (switched to standard 2024-04-19),,https://www.ema.europa.eu/en/medicines/human/EPAR/carvykti,verified-from-source,2026-09-04
Casgevy,exagamglogene autotemcel,Vertex / CRISPR Therapeutics,sickle cell disease; transfusion-dependent thalassaemia,CRISPR ex vivo,yes,2023,2024,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/casgevy; https://www.ema.europa.eu/en/medicines/human/EPAR/casgevy,2023-12-08,standard,https://www.fda.gov/vaccines-blood-biologics/casgevy,verified-from-source,none found on fda.gov,,,2024-02-09,conditional,,https://www.ema.europa.eu/en/medicines/human/EPAR/casgevy,verified-from-source,2026-09-04
Elevidys,delandistrogene moxeparvovec,Sarepta,Duchenne muscular dystrophy,AAV systemic,yes,2023,,yes,yes,2025 safety restriction; CHMP negative opinion 2025,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/media/169715/download; https://www.ema.europa.eu/en/medicines/human/EPAR/elevidys,2023-06-22,accelerated approval (21 CFR 601.41),https://www.fda.gov/media/169715/download,verified-from-source,Boxed warning for acute serious liver injury and acute liver failure added; indication restricted to ambulatory patients,2025-11-14,https://www.fda.gov/vaccines-blood-biologics/tissue-tissue-products/elevidys,,refused (no EU marketing authorisation),,https://www.ema.europa.eu/en/medicines/human/EPAR/elevidys,verified-from-source,2026-09-04
Encelto,revakinagene taroretcel,Neurotech,macular telangiectasia type 2,encapsulated cell,yes,2025,,yes,private,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/center-biologics-evaluation-and-research-cber-product-approval-information/encelto; https://www.ema.europa.eu/en/medicines?search_api_fulltext=revakinagene,2025-03-05,standard,https://www.fda.gov/vaccines-blood-biologics/center-biologics-evaluation-and-research-cber-product-approval-information/encelto,verified-from-source,none found on fda.gov,,,,none,,https://www.ema.europa.eu/en/medicines?search_api_fulltext=revakinagene,not-found,2026-09-04
