product,inn,fda_approval_date,fda_pathway,fda_source_url,fda_status,fda_post_approval_event,fda_event_date,fda_event_source_url,eu_authorisation_date,eu_authorisation_type,eu_withdrawn_date,eu_source_url,eu_status,fetched_date,notes
Abecma,idecabtagene vicleucel,2021-03-26,standard (BLA; not accelerated),https://www.fda.gov/vaccines-blood-biologics/abecma,verified-from-source,Boxed warning added for T cell malignancies (class-wide BCMA-/CD19-directed CAR-T),2024-04-18,https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2021-08-18,conditional (switched to standard 2024-03-19),,https://www.ema.europa.eu/en/medicines/human/EPAR/abecma,verified-from-source,2026-09-04,"FDA page date shown exactly as ""March 26, 2021 Approval Letter - ABECMA""; page also lists later supplements (2024-04-04, 2025-06-26, 2025-09-25, 2025-12-01). EMA page date string ""18/08/2021""."
Adstiladrin,nadofaragene firadenovec-vncg,2022-12-16,standard,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/adstiladrin,verified-from-source,none found on fda.gov,,,2026-05-28,conditional,,https://www.ema.europa.eu/en/medicines/human/EPAR/adstiladrin,verified-from-source,2026-09-04,"FDA date string ""December 16, 2022 Approval Letter - ADSTILADRIN""; later supplements 2024-05-01, 2024-08-05, 2025-10-09, 2026-03-23. EU authorisation is recent (2026) - EMA date string ""28/05/2026""."
Aucatzyl,obecabtagene autoleucel,2024-11-08,standard (not accelerated),https://www.fda.gov/vaccines-blood-biologics/aucatzyl,verified-from-source,none found on fda.gov,,,2025-07-17,conditional,,https://www.ema.europa.eu/en/medicines/human/EPAR/aucatzyl,verified-from-source,2026-09-04,"FDA date string ""November 8, 2024 Approval Letter - AUCATZYL""; one later supplement 2026-02-26. Approved after the Apr 2024 class boxed warning so it carried the T-cell-malignancy warning from launch. EMA date string ""17/07/2025""."
Beqvez / Durveqtix,fidanacogene elaparvovec-dzkt,2024-04-25,standard,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/beqvez,verified-from-source,none found on fda.gov (US licence not shown as withdrawn),,,2024-07-24,conditional,2025-05-15,https://www.ema.europa.eu/en/medicines/human/EPAR/durveqtix,verified-from-source,2026-09-04,"EU MA withdrawn 15/05/2025 at Pfizer's request for commercial reasons (EMA page). Pfizer discontinued the product globally in Feb 2025; no FDA withdrawal notice found on fda.gov - the FDA product page is still live with no discontinuation note. EMA page is titled ""Beqvez (previously Durveqtix)""."
Breyanzi,lisocabtagene maraleucel,2021-02-05,standard for initial LBCL indication; later CLL/SLL indication under accelerated approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/breyanzi,verified-from-source,Boxed warning added for T cell malignancies (class-wide BCMA-/CD19-directed CAR-T),2024-04-18,https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2022-04-04,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/breyanzi,verified-from-source,2026-09-04,"FDA date string ""February 5, 2021""; nine approval letters through 2026-02-20. CLL/SLL indication text on the FDA page reads ""approved under accelerated approval based on response rate and duration of response"". EMA date string ""04/04/2022""."
Carvykti,ciltacabtagene autoleucel,2022-02-28,standard (not accelerated),https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/carvykti,verified-from-source,Boxed warning added for T cell malignancies (class-wide BCMA-/CD19-directed CAR-T),2024-04-18,https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2022-05-25,conditional (switched to standard 2024-04-19),,https://www.ema.europa.eu/en/medicines/human/EPAR/carvykti,verified-from-source,2026-09-04,"FDA date string ""February 28, 2022""; STN 125746. EMA date string ""25/05/2022""."
Casgevy,exagamglogene autotemcel,2023-12-08,standard,https://www.fda.gov/vaccines-blood-biologics/casgevy,verified-from-source,none found on fda.gov,,,2024-02-09,conditional,,https://www.ema.europa.eu/en/medicines/human/EPAR/casgevy,verified-from-source,2026-09-04,"FDA page has no single ""Approval Date"" field; earliest approval letter is ""December 8, 2023"" (sickle cell disease), followed by 2024-01-16 (transfusion-dependent beta thalassaemia), 2026-03-18, 2026-06-15, 2026-07-01. EMA date string ""09/02/2024""."
Elevidys,delandistrogene moxeparvovec-rokl,2023-06-22,accelerated approval (21 CFR 601.41),https://www.fda.gov/media/169715/download,verified-from-source,"Boxed warning for acute serious liver injury and acute liver failure added; indication restricted to ambulatory patients",2025-11-14,https://www.fda.gov/vaccines-blood-biologics/tissue-tissue-products/elevidys,,refused (no EU marketing authorisation),,https://www.ema.europa.eu/en/medicines/human/EPAR/elevidys,verified-from-source,2026-09-04,"DISCREPANCY: the FDA ELEVIDYS product page's supporting-documents list does NOT show the original 2023 approval letter (earliest listed is 2024-06-20); the 2023-06-22 accelerated approval letter (STN BL 125781/0, Sarepta) was read directly at fda.gov/media/169715/download and states ""ACCELERATED BLA APPROVAL June 22, 2023"". Traditional approval for ambulatory patients 4+ came 2024-06-20. FDA requested Sarepta suspend distribution on 2025-07-18 (https://www.fda.gov/news-events/press-announcements/fda-requests-sarepta-therapeutics-suspend-distribution-elevidys-and-places-clinical-trials-hold). NO EU authorisation: CHMP negative opinion 24 July 2025, EMA status ""Refused"", refusal date 24/09/2025, applicant Roche Registration GmbH."
Encelto,revakinagene taroretcel-lwey,2025-03-05,standard,https://www.fda.gov/vaccines-blood-biologics/center-biologics-evaluation-and-research-cber-product-approval-information/encelto,verified-from-source,none found on fda.gov,,,,none,,https://www.ema.europa.eu/en/medicines?search_api_fulltext=revakinagene,not-found,2026-09-04,"FDA date string ""March 5, 2025 Approval Letter - ENCELTO""; single approval letter, licence holder Neurotech Pharmaceuticals, Inc. No EMA medicine entry found for revakinagene taroretcel or Encelto (EMA medicines search and a site-scoped web search returned no EPAR); no CHMP opinion located either, so this appears to be US-only so far."
Genglycos,pariglasgene brecaparvovec-opnr,2026-08-19,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/genglycos,verified-from-source,none found on fda.gov (approved 2026-08-19),,,,none,,https://www.ema.europa.eu/en/medicines?search_api_fulltext=pariglasgene,not-found,2026-09-04,"Ultragenyx Pharmaceutical Inc.; indicated to reduce daily cornstarch intake as an adjunct to nutritional management in patients 8 years and older with glycogen storage disease type Ia. FDA page states ""This indication is approved under accelerated approval based on reduction in daily cornstarch intake."" Approved ~2 weeks before the fetch date; no EMA entry found for pariglasgene brecaparvovec / Genglycos / DTX401."
Hemgenix,etranacogene dezaparvovec-drlb,2022-11-22,standard,https://www.fda.gov/vaccines-blood-biologics/vaccines/hemgenix,verified-from-source,none found on fda.gov,,,2023-02-20,conditional,,https://www.ema.europa.eu/en/medicines/human/EPAR/hemgenix,verified-from-source,2026-09-04,"FDA date string ""November 22, 2022 Approval Letter - HEMGENIX""; one later supplement 2026-04-29. Licence holder CSL Behring LLC (US) / CSL Behring GmbH (EU). Note the FDA page sits under the /vaccines/ URL path despite being a gene therapy. EMA date string ""20/02/2023""."
