product,inn,fda_approval_date,fda_pathway,fda_source_url,fda_status,fda_post_approval_event,fda_event_date,fda_event_source_url,eu_authorisation_date,eu_authorisation_type,eu_withdrawn_date,eu_source_url,eu_status,fetched_date,notes
Imlygic,talimogene laherparepvec,2015-10-27,traditional approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/imlygic,provisional-from-snippet,,,,2015-12-16,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/imlygic,verified-from-source,2026-09-04,"FDA product page was read but its Supporting Documents list only reaches back to ""December 8, 2021 Approval Letter""; no ""Approval Date"" field is displayed, so the 2015-10-27 original date is from an fda.gov-restricted search snippet (""approved on 10/27/2015 under BLA 125518"") corroborated by Amgen's 2015-10-27 press release. Later FDA approval letters on the page: 2021-12-08, 2022-06-14, 2022-06-30 (replacement), 2023-02-10. EMA page shows ""Marketing authorisation issued: 16/12/2015"", status Authorised, no conditional/exceptional banner."
Itvisma,onasemnogene abeparvovec-brve,2025-11-24,traditional approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/itvisma,verified-from-source,,,,2026-06-30,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/itvisma,verified-from-source,2026-09-04,"Intrathecal formulation of onasemnogene abeparvovec (Novartis Gene Therapies), STN BL 125856/0. FDA page shows ""November 24, 2025"" approval letter plus a later letter dated ""June 16, 2026"". EMA page shows ""Marketing authorisation issued: 30/06/2026"" (CHMP positive opinion 23/04/2026), MAH Novartis Europharm Limited, no conditional/exceptional banner. Class boxed warning for acute serious liver injury/acute liver failure applies to onasemnogene abeparvovec products."
Kebilidi / Upstaza,eladocagene exuparvovec-tneq,2024-11-13,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/kebilidi,verified-from-source,,,,2022-07-18,exceptional circumstances,,https://www.ema.europa.eu/en/medicines/human/EPAR/upstaza,verified-from-source,2026-09-04,"Same product: Kebilidi (US, PTC Therapeutics) and Upstaza (EU). FDA page shows ""November 13, 2024""; accelerated approval status is from the FDA Summary Basis for Regulatory Action dated November 13, 2024 (https://www.fda.gov/media/184353/download) and PTC/press reporting - continued approval may require a confirmatory trial. EU authorised 18/07/2022 under exceptional circumstances (""the applicant was unable to provide comprehensive data on the efficacy and safety of the medicine under normal conditions of use""). Note EU authorisation preceded FDA approval by over 2 years."
Kresladi,marnetegragene autotemcel,2026-03-26,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/kresladi,verified-from-source,,,,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/,not-found,2026-09-04,"Rocket Pharmaceuticals; severe leukocyte adhesion deficiency-I (LAD-I). FDA page shows ""March 26, 2026"". Accelerated approval per Rocket's approval press release (https://ir.rocketpharma.com/news-releases/news-release-details/rocket-pharmaceuticals-announces-fda-approval-kresladitm) - provisional for the pathway field only, the date itself is verified on fda.gov. No EU marketing authorisation: no EPAR exists; searches restricted to ema.europa.eu return no Kresladi/marnetegragene medicine page, and Rocket describes EMA review as ongoing with PRIME/ATMP designations. FDA approval came after a June 2024 Complete Response Letter."
Kymriah,tisagenlecleucel,2017-08-30,traditional approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/kymriah,verified-from-source,"Boxed Warning updated to add risk of T cell malignancies (class-wide FDA action for BCMA- and CD19-directed autologous CAR T therapies)",2024-04-12,https://www.fda.gov/media/178030/download,2018-08-23,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/kymriah,verified-from-source,2026-09-04,"Original 2017-08-30 approval (r/r B-cell precursor ALL) was a traditional approval; the follicular lymphoma indication was added under accelerated approval via the 2022-05-27 supplement. Supplement approval letters on the FDA page: 2018-05-01, 2021-06-11, 2022-05-27, 2024-04-12, 2024-06-13, 2024-08-16, 2025-06-26. FDA announced the class-wide boxed warning requirement on 2024-04-18 (https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed); safety labeling change notification letters were issued January 2024. EMA page shows ""Marketing authorisation issued: 23/08/2018"" (opinion 28/06/2018), no conditional/exceptional banner."
Lenmeldy / Libmeldy,atidarsagene autotemcel,2024-03-18,traditional approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/lenmeldy,verified-from-source,,,,2020-12-17,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/libmeldy,verified-from-source,2026-09-04,"Same product: Lenmeldy (US) and Libmeldy (EU), Orchard Therapeutics; metachromatic leukodystrophy. FDA page initial approval ""March 18, 2024"", with later letters ""May 30, 2025"" and a replacement approval letter ""July 18, 2025"". EMA page shows ""Marketing authorisation issued: 17/12/2020"", no conditional/exceptional banner. EU authorisation preceded FDA by over 3 years."
Luxturna,voretigene neparvovec-rzyl,2017-12-19,traditional approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/luxturna,verified-from-source,,,,2018-11-22,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/luxturna,verified-from-source,2026-09-04,"Spark Therapeutics; biallelic RPE65 mutation-associated retinal dystrophy. FDA page shows the original ""December 19, 2017"" approval plus a later approval letter dated ""June 8, 2022"". EMA page states a marketing authorisation ""valid throughout the EU on 22 November 2018"" with opinion adopted 20/09/2018; no conditional/exceptional banner."
Lyfgenia,lovotibeglogene autotemcel,2023-12-08,traditional approval,https://www.fda.gov/vaccines-blood-biologics/lyfgenia,verified-from-source,"Boxed Warning for hematologic malignancy present in the label from initial approval (not a later addition)",2023-12-08,https://www.fda.gov/vaccines-blood-biologics/lyfgenia,not-applicable,,,https://www.ema.europa.eu/en/medicines/human/EPAR/,not-found,2026-09-04,"bluebird bio; sickle cell disease with history of vaso-occlusive events. FDA page shows ""December 8, 2023"". Boxed warning for hematologic malignancy is in the approved label; the FDA product page itself does not display warning text, so the boxed-warning detail is provisional. No EU marketing authorisation: no EPAR for lovotibeglogene autotemcel; searches restricted to ema.europa.eu return no medicine page (bluebird withdrew from the EU market - its Zynteglo EU MA was withdrawn 24/03/2022 and Skysona likewise). Lyfgenia holds EU orphan and PRIME designations only."
Otarmeni,lunsotogene parvec-cwha,2026-04-23,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/otarmeni,verified-from-source,,,,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/,not-found,2026-09-04,"Regeneron Pharmaceuticals. INN verified as ""lunsotogene parvec-cwha"" (US suffixed proper name; INN lunsotogene parvec) - not otoferlin-named. Indication: severe-to-profound and profound sensorineural hearing loss with biallelic OTOF variants, preserved outer hair cell function, no prior cochlear implant in the same ear. FDA page shows ""April 23, 2026""; Summary Basis for Regulatory Action dated April 22, 2026 (https://www.fda.gov/media/192364/download). Accelerated approval per FDA SBRA/press coverage, based on the phase 1/2 CHORD trial (n=20). No EU marketing authorisation yet: Regeneron announced EMA filing acceptance only; no EPAR page exists."
Papzimeos,zopapogene imadenovec-drba,2025-08-14,traditional approval (full approval),https://www.fda.gov/vaccines-blood-biologics/papzimeos,verified-from-source,"Later supplement approval letter (content not characterised on the FDA page)",2026-02-25,https://www.fda.gov/vaccines-blood-biologics/papzimeos,not-applicable,,,https://www.ema.europa.eu/en/medicines/human/EPAR/,not-found,2026-09-04,"Precigen, Inc.; recurrent respiratory papillomatosis in adults. FDA page lists an ""August 14, 2025"" approval letter and Summary Basis for Regulatory Action, plus a ""February 25, 2026"" approval letter (a supplement, not the first approval); content current as of 03/02/2026. CAUTION: a naive read of the page surfaces the 2026-02-25 letter first. Precigen's press release describes this as a FULL approval requiring no confirmatory trial, despite the BLA having been submitted under the accelerated approval pathway; secondary sources give the announcement date as 2025-08-15 vs the FDA letter date 2025-08-14. No EU marketing authorisation: no EPAR; zopapogene imadenovec appears only in EMA CAT/PRAC meeting agendas (early 2026) as a product under review."
