product,inn,fda_approval_date,fda_pathway,fda_source_url,fda_status,fda_post_approval_event,fda_event_date,fda_event_source_url,eu_authorisation_date,eu_authorisation_type,eu_withdrawn_date,eu_source_url,eu_status,fetched_date,notes
Amtagvi,lifileucel,2024-02-16,"accelerated approval (BLA; date string on FDA page: ""February 16, 2024 Approval Letter - AMTAGVI"")",https://www.fda.gov/vaccines-blood-biologics/approved-blood-products/amtagvi,verified-from-source,"no label restriction or withdrawal found; still accelerated approval pending confirmatory trial TILVANCE-301",,https://www.fda.gov/vaccines-blood-biologics/approved-blood-products/amtagvi,none,none - MAA withdrawn by applicant,,https://www.ema.europa.eu/en/medicines/human/EPAR/amtagvi,verified-from-source,2026-09-04,"EMA page read directly: status ""Application withdrawn""; ""The company withdrew the application on 22 July 2025"" (Iovance Biotherapeutics B.V.). FDA page carries boxed warning and accelerated-approval statement (""Continued approval ... may be contingent upon verification ... in a confirmatory trial(s)""); a Feb 15, 2024 Summary Basis for Regulatory Action is also listed."
Ryoncil,remestemcel-L-rknd,2024-12-19,"standard BLA approval (date string: ""December 19, 2024 Approval Letter - RYONCIL"")",https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/ryoncil,verified-from-source,none found,,,none,none - no EMA centrally authorised medicine,,https://www.ema.europa.eu/en/medicines/human/EPAR/ryoncil,not-found,2026-09-04,"FDA page content current as of 01/17/2025. EMA EPAR URL for ryoncil returns HTTP 404; no EMA medicine page found for remestemcel-L, so no EU marketing authorisation. Mesoblast, Inc. is the licence holder."
Omisirge,omidubicel-onlv,2023-04-17,"standard BLA approval (date string: ""April 17, 2023 Approval Letter - OMISIRGE""; ""April 17, 2023 Summary Basis for Regulatory Action - OMISIRGE"")",https://www.fda.gov/vaccines-blood-biologics/omisirge,verified-from-source,"no withdrawal or label restriction; indication EXPANDED - supplemental approvals dated December 5, 2025 (severe aplastic anemia) and February 11, 2026",2025-12-05,https://www.fda.gov/vaccines-blood-biologics/omisirge,none,none - no EMA centrally authorised medicine,,https://www.ema.europa.eu/en/medicines/human/EPAR/omisirge,not-found,2026-09-04,"Surprising: contrary to the assumption of a post-Gamida-Cell restriction, Omisirge was BROADENED. FDA page (content current 02/12/2026) lists three approval letters: 2023-04-17, 2025-12-05, 2026-02-11; indication now covers hematologic malignancies (>=12 y) plus severe aplastic anemia (>=6 y). Licence holder still listed as Gamida Cell Ltd.; Gamida Cell Inc. is now a subsidiary of Ayrmid Ltd., which announced the SAA approval on 2025-12-05. EMA EPAR URL returns HTTP 404."
Lantidra,donislecel-jujn,2023-06-28,"standard BLA approval (date string: ""June 28, 2023 Approval Letter - LANTIDRA""; ""June 28, 2023 Summary Basis for Regulatory Action - LANTIDRA"")",https://www.fda.gov/vaccines-blood-biologics/lantidra,verified-from-source,none found,,,none,none - no EMA centrally authorised medicine,,https://www.ema.europa.eu/en/medicines/human/EPAR/lantidra,not-found,2026-09-04,"EMA EPAR URL for lantidra returns HTTP 404; no EMA medicine page found for donislecel. CellTrans Inc. is the licence holder."
Provenge,sipuleucel-T,2010-04-29,"standard BLA approval, STN BL 125197 (date string: ""April 29, 2010 Approval Letter"")",http://wayback.archive-it.org/7993/20170722071307/https://www.fda.gov/BiologicsBloodVaccines/CellularGeneTherapyProducts/ApprovedProducts/ucm210012.htm,provisional-from-snippet,"none found (product remains licensed; Dendreon commercial history separate from label action)",,,2013-09-06,standard (ATMP),2015-05-06,https://www.ema.europa.eu/en/medicines/human/EPAR/provenge,verified-from-source,2026-09-04,"The LIVE fda.gov Provenge page (https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/provenge-sipuleucel-t, content current 05/28/2019) NO LONGER shows an approval date - only undated document links. The 2010-04-29 date was read on an Archive-It capture of the original FDA Provenge page (which lists ""April 29, 2010 Approval Letter"" and STN BL 125197); the FDA package insert (fda.gov/media/78511/download) states only ""Initial U.S. Approval: 2010"". Marked provisional because the live fda.gov page does not carry the date. EU: authorised 06/09/2013, withdrawn 06/05/2015 at the request of Dendreon UK Ltd for commercial reasons - the only Group 1 product that ever held an EU authorisation."
Glybera,alipogene tiparvovec,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,,,2012-10-25,exceptional circumstances,2017-10-28,https://www.ema.europa.eu/en/medicines/human/EPAR/glybera,verified-from-source,2026-09-04,"Never FDA approved; no US marketing application outcome found. EMA page read directly: ""Marketing authorisation issued: 25/10/2012""; authorised under exceptional circumstances ""because the applicant was unable to provide comprehensive data on the efficacy and safety of the medicine under normal conditions of use"". The authorisation EXPIRED (not withdrawn) on 28/10/2017 after uniQure biopharma B.V. chose not to apply for renewal, citing lack of demand. Note EMA also holds a 2011 Q&A on an earlier REFUSAL of the Glybera marketing authorisation before the 2012 grant."
Strimvelis,autologous CD34+ cells transduced to express ADA (ADA-SCID gene therapy),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,,,2016-05-26,standard (ATMP),,https://www.ema.europa.eu/en/medicines/human/EPAR/strimvelis,verified-from-source,2026-09-04,"Never FDA approved; no US marketing application found. EMA page read directly: ""Marketing authorisation issued: 26/05/2016""; status ""Authorised - This medicine is authorised for use in the European Union"". No ""conditional"" or ""exceptional circumstances"" wording appears on the page, so recorded as standard. STILL AUTHORISED as of the fetch date - the only Group 2 product not withdrawn/expired. Marketing authorisation holder transferred from GlaxoSmithKline/Orchard to Fondazione Telethon ETS, Via Varese 16/B, 00185 Rome, Italy."
Zalmoxis,nalotimagene carmaleucel (allogeneic T cells transduced with HSV-TK),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,,,2016-08-18,conditional,2019-10-09,https://www.ema.europa.eu/en/medicines/human/EPAR/zalmoxis,verified-from-source,2026-09-04,"Never FDA approved; no US marketing application found. EMA page read directly: ""Marketing authorisation issued: 18/08/2016""; ""This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need."" ""On 9 October 2019, the European Commission withdrew the marketing authorisation for Zalmoxis (nalotimagene carmaleucel) in the European Union (EU)"" - at the MAH's (MolMed S.p.A.) request for commercial reasons."
Alofisel,darvadstrocel,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,,,2018-03-23,standard (ATMP),2024-12-13,https://www.ema.europa.eu/en/medicines/human/EPAR/alofisel,verified-from-source,2026-09-04,"Never FDA approved; no US marketing application outcome found. EMA page read directly: ""Marketing authorisation issued: 23/03/2018""; page marked ""Withdrawn - This medicine's authorisation has been withdrawn""; ""On 13 December 2024, the European Commission withdrew the marketing authorisation for Alofisel (darvadstrocel) in the European Union (EU)"" at the request of MAH Takeda Pharma A/S, which permanently stopped marketing in the EU. No conditional/exceptional-circumstances wording on the page."
Ebvallo,tabelecleucel,not-applicable,not-applicable,not-applicable,not-applicable,"US BLA twice refused: FDA Complete Response Letter 2025-01-15 (third-party manufacturing facility observations; no new clinical trials requested), resubmitted BLA accepted with priority review July 2025 (PDUFA 2026-01-10), second CRL January 2026",2026-01,https://investors.atarabio.com/news-events/press-releases/detail/380/atara-biotherapeutics-provides-regulatory-and-business,2022-12-16,exceptional circumstances,,https://www.ema.europa.eu/en/medicines/human/EPAR/ebvallo,verified-from-source,2026-09-04,"EMA page read directly: authorisation issued ""16/12/2022"" under exceptional circumstances ""because the applicant was unable to provide comprehensive data on the efficacy and safety of the medicine under normal conditions of use"". US: there WAS a filing outcome - two FDA Complete Response Letters (Jan 2025 and Jan 2026), so never FDA approved; BLA was transferred from Atara Biotherapeutics to Pierre Fabre Pharmaceuticals in November 2025, which planned a Type A meeting. FDA CRL details are from company/trade-press sources (provisional), not an fda.gov page."
