product_key,nct,brief_title,official_title,start_date,status,study_type,phases,sponsor,interventions,matched_by
kymriah,NCT02624258,"Pilot Study of Non-Viral, RNA-Redirected Autologous T Cells in Patients With Refractory or Relapsed Hodgkin Lymphoma","Pilot Study of Non-Viral, RNA-Redirected Autologous T Cells Engineered to Contain Anti-CD19 Linked to TCR and 4-1BB Signaling Domains in Patients With Refractory or Relapsed Hodgkin Lymphoma",2015-11,TERMINATED,INTERVENTIONAL,EARLY_PHASE1,University of Pennsylvania,CD19 RNA redirected autologous T-cells (RNA CART19 cells),search
kymriah,NCT03568461,Efficacy and Safety of Tisagenlecleucel in Adult Patients With Refractory or Relapsed Follicular Lymphoma,"A Phase II, Single Arm, Multicenter Open Label Trial to Determine the Efficacy and Safety of Tisagenlecleucel (CTL019) in Adult Patients With Refractory or Relapsed Follicular Lymphoma",2018-11-12,COMPLETED,INTERVENTIONAL,PHASE2,Novartis Pharmaceuticals,tisagenlecleucel,search
kymriah,NCT01029366,CART19 to Treat B-Cell Leukemia or Lymphoma That Are Resistant or Refractory to Chemotherapy,Pilot Study of Redirected Autologous T-cells Engineered to Contain Anti-CD19 Attached to TCR and 4-1BB Signaling Domains in Patient With Chemotherapy Resistant or Refractory CD19+ Leukemia and Lymphoma,2010-03-17,COMPLETED,INTERVENTIONAL,PHASE1,University of Pennsylvania,CART-19,search
kymriah,NCT03570892,Tisagenlecleucel in Adult Patients With Aggressive B-cell Non-Hodgkin Lymphoma,"Tisagenlecleucel Versus Standard of Care in Adult Patients With Relapsed or Refractory Aggressive B-cell Non-Hodgkin Lymphoma: A Randomized, Open Label, Phase III Trial (BELINDA)",2019-05-09,COMPLETED,INTERVENTIONAL,PHASE3,Novartis Pharmaceuticals,Tisagenlecleucel after optional bridging and lymphodepleting chemotherapy|Platinum-based immunochemotherapy followed in responding patients with high dose chemotherapy and autologous hematopoietic stem cell transplant (HSCT),search
kymriah,NCT02135406,CART-19 for Multiple Myeloma,Pilot Study Of Redirected Autologous T Cells Engineered To Contain Anti-CD19 Attached To TCRζ And 4-1BB Signaling Domains Coupled With Salvage Autologous Stem-Cell Transplantation (ASCT) In Multiple Myeloma Patients With Early Relapse/Progression After Initial ASCT,2014-05,COMPLETED,INTERVENTIONAL,PHASE1,University of Pennsylvania,CART-19 T cells,search
kymriah,NCT06101381,CD19-directed CAR-T Cell Therapy for R/R Acute Leukemia and Lymphoma,CD19-directed CAR-T Cell Therapy for Refractory or Relapsed Acute Lymphoblastic Leukemia or Non-Hodgkin Lymphoma: a Multicenter Phase I/II Trial.,2024-03-21,RECRUITING,INTERVENTIONAL,PHASE1|PHASE2,University of Sao Paulo,CART-19,search
kymriah,NCT02167360,Study of Efficacy and Safety of CTL019 in Adult ALL Patients,"A Phase II, Single Arm, Multicenter Trial to Determine the Efficacy and Safety of CTL019 in Adult Patients With Relapsed and Refractory B-cell Acute Lymphoblastic Leukemia",2016-06,WITHDRAWN,INTERVENTIONAL,PHASE2,Abramson Cancer Center at Penn Medicine,CTL019,search
kymriah,NCT01747486,Dose Optimization Trial of CD19 Redirected Autologous T Cells,Dose Optimization Trial of Autologous T Cells Engineered to Express Anti-CD19 Chimeric Antigen Receptor (CART-19) in Patients With Relapsed or Refractory CD19+ Chronic Lymphocytic Leukemia (CLL),2013-01-02,COMPLETED,INTERVENTIONAL,PHASE2,University of Pennsylvania,CART-19,search
kymriah,NCT06408194,Autologous CD22 CAR T Cells Following Commercial CD19 CAR T Cells in B Cell Malignancies,Phase I/Ib Clinical Trial of Autologous CD22 Chimeric Antigen Receptor (CAR) T Cells Following Commercial CD19 CAR T Cells in Children and Young Adults With Recurrent or Refractory B Cell Malignancies,2024-05-13,RECRUITING,INTERVENTIONAL,PHASE1,Stanford University,CD22CART infusion|Tisagenlecleucel,search
kymriah,NCT05037669,Programmed Allogeneic CRISPR-edited T Cells Engineered to Express Anti-CD19 Chimeric Antigen Receptor (PACE CART19) in Patients With Relapsed Or Refractory CD19+ Leukemia and Lymphoma,"Phase I Trial of Programmed Allogeneic CRISPR-edited T Cells (PACE) Gene Edited to Eliminate Endogenous TCR, HLA-class I and HLA-class II and Engineered to Express Anti-CD19 Chimeric Antigen Receptor (PACE CART19) in Patients With Relapsed Or Refractory CD19+ Leukemia and Lymphoma",2022-07,WITHDRAWN,INTERVENTIONAL,PHASE1,University of Pennsylvania,PACE CART19,search
kymriah,NCT04855253,Ph I/II Study of E7777 Prior to CAR-T for R/R LBCL,Phase I/II Trial Using E7777 to Enhance Regulatory T-Cell Depletion Prior to CAR-T Therapy for Relapsed/Refractory Large B-Cell Lymphomas,2021-06-09,SUSPENDED,INTERVENTIONAL,PHASE1|PHASE2,"Masonic Cancer Center, University of Minnesota",E7777|Fludarabine|Cyclophosphamide|Tisagenlecleucel|Axicabtagene Ciloleucel|Lisocabtagene Maraleucel Intravenous Suspension,search
kymriah,NCT02810223,Efficacy of CART-19 Cell Therapy in B Cell Acute Lymphoblastic Leukemia,,2016-05,UNKNOWN,INTERVENTIONAL,PHASE1,"Beijing Sanwater Biological Technology Co., Ltd.",CART-19,search
kymriah,NCT05460533,A Second Infusion (Early Reinfusion) of Tisagenlecleucel in Children and Young Adults With B-Cell Acute Lymphoblastic Leukemia(B-ALL),Phase II Open Label Multicenter Study of Early REinFusion of Tisagenlecleucel to Promote DUrable B-CEll ApLasia in Pediatric and Young Adult Patients With Relapsed/Refractory CD19-Positive B-Cell Acute Lymphoblastic Leukemia (REFUEL),2022-07-12,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,Memorial Sloan Kettering Cancer Center,Tisagenlecleucel,search
kymriah,NCT03685786,CART19 Cells Treatment of MRD of B Cell Malignancies and Then Auto-HSCT,The Study of Autologous T Cells Expressing CD19 Chimeric Antigen Receptors Treatment of Minimal Residual Disease(MRD) of B Cell Malignancies and Then Autologous Hematopoietic Stem Cell Transplantation(Auto-HSCT),2018-06-01,UNKNOWN,INTERVENTIONAL,PHASE1,Shenzhen Second People's Hospital,CART19 cell and auto-HSCT,search
kymriah,NCT06839976,CD19-Directed Chimeric Antigen Receptor Autologous T Cells (CART19) for Lupus,CD19-Directed Chimeric Antigen Receptor Autologous T Cells (CART19) for Adolescents and Young Adults With Systemic Lupus Erythematosus (SLE),2025-05-06,RECRUITING,INTERVENTIONAL,PHASE1|PHASE2,Children's Hospital of Philadelphia,CART19,search
kymriah,NCT02030847,Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCR and 4-1BB Signaling Domains in Patients With Chemotherapy Resistant or Refractory Acute Lymphoblastic Leukemia,Phase II Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCR and 4-1BB Signaling Domains in Patients With Chemotherapy Resistant or RefractoryAcute Lymphoblastic Leukemia,2014-02-27,COMPLETED,INTERVENTIONAL,PHASE2,University of Pennsylvania,CART-19|CART-19|CART-19|CART-19,search
