source_id,source_title,geography,series,scenario,year,value_low,value_point,value_high,unit,verbatim_or_table,source_url,status,notes
S16,"Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues",US,bibliographic,base,,,,,,"Young CM, Quinn C, Trusheim MR. Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues. Drug Discov Today. 2022;27(1):17-30. doi:10.1016/j.drudis.2021.09.001. PMID 34537333. Published online 17 Sep 2021; print issue Jan 2022. Affiliation of all three authors: MIT NEWDIGS, 77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA. Open access CC-BY (hybrid) per OpenAlex and Semantic Scholar.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:10.1016/j.drudis.2021.09.001&resultType=core&format=json,verified-from-source,"Bibliographic record read at Europe PMC REST; journal landing page is https://www.sciencedirect.com/science/article/pii/S1359644621003901. Full text NOT read: ScienceDirect article page and /pdf URL returned HTTP 403 (bot challenge), r.jina.ai proxy hit the ScienceDirect CAPTCHA, web.archive.org is not fetchable by the tool, Unpaywall returned 422, OpenAlex lists no repository copy, not in PMC. Abstract-level numbers only."
S16,"Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues",US,approvals_cumulative,base,2030,54,63.5,74,cumulative US product-indication approvals through 2030 (mean; 5th to 95th percentile),a mean 63.5 (54-74 5th to 95th percentile range) cumulative US product-indication approvals through 2030,https://newdigs.tuftsmedicalcenter.org/durable-cell-and-gene-therapy-potential-patient-and-financial-impact-us-projections-of-product-approvals-patients-treated-and-product-revenues/,provisional-from-snippet,Abstract sentence as quoted on the NEWDIGS (Tufts) page for the article and in the Europe PMC record; identical in both. Product-indication approvals count each approved indication separately. Year-by-year series (paper figures) not accessed.
S16,"Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues",US,patients_new_per_year,base,2030,,93000,,"patients treated in the year 2030 (US, mean)","a mean 93,000 patients treated in 2030",https://newdigs.tuftsmedicalcenter.org/durable-cell-and-gene-therapy-potential-patient-and-financial-impact-us-projections-of-product-approvals-patients-treated-and-product-revenues/,provisional-from-snippet,Abstract wording 'patients treated in 2030' read as patients treated during 2030 (not cumulative). Cumulative and other years not accessed.
S16,"Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues",US,revenue_per_year,base,2030,17.0,24.4,35.0,USD billion list-price product revenue in 2030 (mean; range as stated in abstract),"generating a mean US$24.4 billion (US$17.0B-35.0B; US$73.0B at the extreme) list price product revenues, not including ancillary medical costs or cost offsets",https://newdigs.tuftsmedicalcenter.org/durable-cell-and-gene-therapy-potential-patient-and-financial-impact-us-projections-of-product-approvals-patients-treated-and-product-revenues/,provisional-from-snippet,US$73.0B is described as the extreme value; 17.0-35.0 is the stated range (percentiles not specified in abstract).
S16,"Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues",US,assumption,base,,,,,,Conclusion (abstract): the likely dozens of durable cell and gene therapies developed through 2030 are unlikely to threaten US health system financial sustainability. Context: 1000+ therapies in development.,https://newdigs.tuftsmedicalcenter.org/durable-cell-and-gene-therapy-potential-patient-and-financial-impact-us-projections-of-product-approvals-patients-treated-and-product-revenues/,provisional-from-snippet,
S16,"Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues",US,assumption,base,,,,,,"Specifications Table (Data in Brief companion): 'Markov chain Monte Carlo simulation of the productivity for the US through 2030 of the current durable cell and gene therapy development pipeline'. Data source location: Pharmaprojects|Informa 2021 database; Clinicaltrials.gov; AACT; SEER; academic and gray literature. 'Data were extracted manually from the Pharmaprojects, clinicaltrials.gov and SEER databases, using purpose written SQL code from the AACT database, and from both gray and academic literature.' Collection period 2018-2021.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8844867/fullTextXML,verified-from-source,Read in the Data in Brief companion (PMC8844867) full text at Europe PMC. Exact calendar date of the pipeline snapshot used in the DDT model is not stated in the Data in Brief summary; Mendeley dataset v1 published 10 Dec 2021 (doi 10.17632/djm65zrhmt.1).
S16,"Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues",US,assumption,base,,,,,,"Qualifying (durable) therapies: '(i) employ or modify DNA or RNA, (ii) are administered in a single course, and (iii) are expected to deliver at least 18 months average benefit'. Modalities: gene replacement therapies (in vivo/ex vivo, viral vectors); CAR-T cells and TCR-engineered immune cells; gene editing (ZFNs, TALENs, CRISPR-Cas9); long-acting DNA plasmids.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8844867/fullTextXML,verified-from-source,Data in Brief companion.
S16,"Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues",US,assumption,base,,,,,,"Table 1 (parameter estimation dataset, trials by phase and class): CAR-T&TCR 626; Other oncology 1243; Gene therapy 335; Cellular therapy 1024; total 3228. By phase: Early Phase 1 74; Phase 1 1202; Phase 1/2 850; Phase 2 814; Phase 2/3 32; Phase 3 190; Registration 38; Approval 28.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8844867/fullTextXML,verified-from-source,"Data in Brief companion Table 1; used to estimate phase durations and success probabilities (the probabilities themselves are in the Mendeley datasets PED1-PED4, not reproduced in the text)."
S16,"Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues",US,assumption,base,,,,,,"Table 4 (pricing assumptions, USD per treatment): Oncology 400000; Ultra Orphan 1500000; Orphan 800000; Higher prevalence 500000; Orphan Ophthalmology 800000; Unit elasticity (high) 100000; Unit elasticity (low) 50000. 'Ultra Orphan refers to indications with a US prevalence <10,000; Orphan indications have a US prevalence < 200,000.'",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8844867/fullTextXML,verified-from-source,Data in Brief companion Table 4.
S16,"Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues",US,assumption,base,,,,,,"Adoption: Bass diffusion model (parameters in dataset FD4 'Incidence, Prevalence, Adoption') incorporating disease severity, economics and friction between stakeholders. '20% of patients enrolled in acute lymphoblastic leukemia (ALL) and diffuse large B-cell lymphoma (DLBCL) late-stage trials did not receive an infusion' hence a peak adoption level of 75% applied to all oncology treatments, with an assumed time to peak of 2 years.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8844867/fullTextXML,verified-from-source,"Data in Brief companion. Forecasting datasets: FD1 Clinical Trials Data; FD2 Preclinical Data; FD3 Genes & Antigens; FD4 Incidence, Prevalence, Adoption."
