metric,technology_class,phase_from,phase_to,value,unit,n_programs,period_covered,comparator_value,comparator_label,verbatim,source_url,status,notes
bibliographic,durable CGT,,,,,,,,,"Phares S, Phillip K, Trusheim M. Clinical development success rates for durable cell and gene therapies. Nature Reviews Drug Discovery 24(5):329-330 (2025). Published online 27 February 2025; print issue May 2025. DOI 10.1038/d41573-025-00036-8. PMID 40016384. Affiliation (all three authors, per the Nature page): NEWDIGS, Tufts Medical Center, Boston, MA, USA. Article type: Biobusiness Brief (PubMed publication type 'News'). ISSN 1474-1776 / 1474-1784. Publisher Springer Nature. Supplementary information PDF: https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254",https://www.nature.com/articles/d41573-025-00036-8,verified-from-source,"Bibliographic fields verified across the Nature article page (title, authors, affiliation, date, DOI), PubMed efetch XML (PMID, volume/issue/pages, dates) and Crossref (online 27 Feb 2025, print May 2025). PubMed record notes Mark Trusheim's competing-interest affiliation with Co-Bio Consulting LLC. NEWDIGS announcement page (25 March 2025) states the research was supported by a grant from the Alliance for Regenerative Medicine. Data source: NEWDIGS FoCUS Pipeline Analysis Model (PAM) built from ClinicalTrials.gov, with trials first identified in Citeline PharmaProjects; comparators are BIO 'Clinical Development Success Rates and Contributing Factors 2011-2020' and IQVIA 'Global Trends in R&D 2024'. dCGT defined as products that use or modify DNA or RNA intended to give a durable effect from a single administration (CBER gene therapy definition plus durable benefit of at least 18 months): (i) gene replacement in vivo and ex vivo with viral vectors; (ii) TCR and CAR-engineered immune cells; (iii) gene editing (ZFN, TALEN, CRISPR-Cas9); (iv) long-acting DNA plasmids. Only two classes are reported numerically: rare disease (orphan) gene therapy and haematological CAR-T/TCR therapy. Only the paywalled two-page main text was not read; search snippets of it also mention a higher-than-average 'strategic' failure rate in 2022 and 2023 (no number seen)."
likelihood_of_approval,rare disease gene therapy,Phase I,Approval,18.5,percent,195,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),7.9,"BIO all therapeutic areas LOA from Phase I, 2011-2020","For rare disease gene therapies, the calculation is thus: 55.0% x 49.2% x 68.4% x 100% = 18.5%",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Composite LOA = Phase I rate x (Phase II + I/II rate) x (Phase III + II/III rate) x NDA/BLA rate. n_programs = 195 orphan gene therapy programmes 'Started' in the outcomes table. Other comparators in the same table: IQVIA all therapeutic areas 7.3%; BIO all oncology 5.3%; BIO haematological oncology 7.5%. Read in the article's Supplementary Information PDF (5 pp., file 41573_2025_CM50677208_MOESM1_ESM, 'In the format provided by the authors and unedited'), linked from the Nature page; main article text (pp. 329-330) is paywalled and was not read."
likelihood_of_approval,haematological CAR-T/TCR therapy,Phase I,Approval,7.6,percent,402,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),7.5,"BIO haematological oncology LOA from Phase I, 2011-2020","For haematological CAR-T/TCR therapies, the LOA calculation is: 26.3% x 38.7% x 75.0% x 100.0% = 7.6%",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"n_programs = 402 haematological CAR-T/TCR programmes 'Started'. Other comparators: BIO all oncology 5.3%; BIO all therapeutic areas 7.9%; IQVIA all therapeutic areas 7.3%. Note the 2025 value (7.6%) is much lower than the 17.2% in the predecessor NEWDIGS 2023 brief (1988-2020 cut), so news coverage quoting '3x the oncology average' refers to the 2023 brief, not this article. Read in the article's Supplementary Information PDF (5 pp., file 41573_2025_CM50677208_MOESM1_ESM, 'In the format provided by the authors and unedited'), linked from the Nature page; main article text (pp. 329-330) is paywalled and was not read."
transition_probability,rare disease gene therapy,Phase I,Phase II (next phase),55.0,percent,20,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),52.0,"BIO all therapeutic areas Phase I, 2011-2020",Phase I 55.0% 26.3% 52.0% 48.8% 50.1% 45% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"n_programs = 20 completed Phase 1 trials, of which 11 advanced (11/20 = 55.0%, reproduces the table). Other comparators: BIO all oncology 48.8%; BIO haematological oncology 50.1%; IQVIA all TAs 45%. Success rate = trials progressing to the next phase (incl. NDA/BLA submission or approval) / completed trials in that phase; a completed phase with no progression within eleven years, or a publicly announced discontinuation, counts as failure; trials still in progress excluded from numerator and denominator; unit of analysis is the product-indication programme; China-only developer trials without international partners excluded."
transition_probability,rare disease gene therapy,Phase II + Phase I/II,Phase III (next phase),49.2,percent,59,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),28.9,"BIO all therapeutic areas Phase II, 2011-2020",Phase II + Phase I/II 49.2% 38.7% 28.9% 24.6% 27.8% 36% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"n_programs = 45 completed Phase 1/2 + 14 completed Phase 2 trials; 22 + 7 = 29 advanced. Pooled 29/59 = 49.2% reproduces the table (the text calls this a 'simple average'; the unweighted mean of the two phase rates, 48.9% and 50.0%, would be 49.4%). Other comparators: BIO all oncology 24.6%; BIO haem onc 27.8%; IQVIA 36%."
transition_probability,rare disease gene therapy,Phase III + Phase II/III,NDA/BLA application (next phase),68.4,percent,20,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),57.8,"BIO all therapeutic areas Phase III, 2011-2020",Phase III + Phase II/III 68.4% 75.0% 57.8% 47.7% 60.0% 56% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"DISCREPANCY: the outcomes table shows 20 completed Phase 3 trials with 14 advanced (14/20 = 70.0%), whereas the stated rate 68.4% equals 13/19; the stated 68.4% is what enters the 18.5% LOA. Other comparators: BIO all oncology 47.7%; BIO haem onc 60.0%; IQVIA 56%. Search snippets of the main article describe late-phase dCGT success as '68-75%'."
transition_probability,rare disease gene therapy,NDA/BLA application,Approval,100.0,percent,12,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),90.6,"BIO all therapeutic areas NDA/BLA, 2011-2020",NDA/BLA Application 100.0% 100.0% 90.6% 92.0% 90.0% 81% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"12 completed registrations, 12 approvals (10 full, 2 accelerated). Search snippets of the main article: none of the dCGTs reaching submission were rejected by the FDA. Other comparators: BIO all oncology 92.0%; BIO haem onc 90.0%; IQVIA 81%."
transition_probability,haematological CAR-T/TCR therapy,Phase I,Phase II (next phase),26.3,percent,99,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),50.1,"BIO haematological oncology Phase I, 2011-2020",Phase I 55.0% 26.3% 52.0% 48.8% 50.1% 45% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"99 completed Phase 1 trials, 26 advanced (26/99 = 26.3%). Other comparators: BIO all TAs 52.0%; BIO all oncology 48.8%; IQVIA 45%. Success rate = trials progressing to the next phase (incl. NDA/BLA submission or approval) / completed trials in that phase; a completed phase with no progression within eleven years, or a publicly announced discontinuation, counts as failure; trials still in progress excluded from numerator and denominator; unit of analysis is the product-indication programme; China-only developer trials without international partners excluded."
transition_probability,haematological CAR-T/TCR therapy,Phase II + Phase I/II,Phase III (next phase),38.7,percent,75,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),27.8,"BIO haematological oncology Phase II, 2011-2020",Phase II + Phase I/II 49.2% 38.7% 28.9% 24.6% 27.8% 36% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,58 completed Phase 1/2 + 17 completed Phase 2; 18 + 11 = 29 advanced; pooled 29/75 = 38.7% reproduces the table (individual rates 31.0% and 64.7%). Other comparators: BIO all TAs 28.9%; BIO all oncology 24.6%; IQVIA 36%.
transition_probability,haematological CAR-T/TCR therapy,Phase III + Phase II/III,NDA/BLA application (next phase),75.0,percent,4,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),60.0,"BIO haematological oncology Phase III, 2011-2020",Phase III + Phase II/III 68.4% 75.0% 57.8% 47.7% 60.0% 56% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Only 4 completed Phase 3 trials, 3 advanced (3/4 = 75.0%); very small denominator. Other comparators: BIO all TAs 57.8%; BIO all oncology 47.7%; IQVIA 56%."
