comparison,cell_business,cell_n,cell_share,cell_ci,comparator_business,comparator_n,comparator_share,comparator_ci,difference,z,p_two_sided
all matched strata (business share of halts),81,126,0.643,0.56 to 0.72,225,378,0.595,0.55 to 0.64,0.048,0.95,0.3432
"all matched strata, rollover transfers excluded",81,126,0.643,0.56 to 0.72,225,375,0.6,0.55 to 0.65,0.043,0.85,0.3933
full cell of 144 against the comparator,95,144,0.66,0.58 to 0.73,225,378,0.595,0.55 to 0.64,0.064,1.35,0.1764
start 2015-2018,17,31,0.548,0.38 to 0.71,36,93,0.387,0.29 to 0.49,0.161,1.57,0.1159
start 2019-2021,22,41,0.537,0.39 to 0.68,78,123,0.634,0.55 to 0.71,-0.098,-1.11,0.2674
start 2022-2025,42,54,0.778,0.65 to 0.87,111,162,0.685,0.61 to 0.75,0.093,1.3,0.1948
stratum phase 1 x 2015-2018,5,12,0.417,0.19 to 0.68,19,36,0.528,0.37 to 0.68,-0.111,-0.67,0.505
stratum phase 1 x 2019-2021,11,23,0.478,0.29 to 0.67,46,69,0.667,0.55 to 0.77,-0.188,-1.61,0.107
stratum phase 1 x 2022-2025,20,29,0.69,0.51 to 0.83,62,87,0.713,0.61 to 0.80,-0.023,-0.24,0.8138
stratum phase 1/2 x 2015-2018,9,14,0.643,0.39 to 0.84,14,42,0.333,0.21 to 0.48,0.31,2.04,0.0415
stratum phase 1/2 x 2019-2021,7,13,0.538,0.29 to 0.77,25,39,0.641,0.48 to 0.77,-0.103,-0.66,0.5104
stratum phase 1/2 x 2022-2025,17,19,0.895,0.69 to 0.97,39,57,0.684,0.56 to 0.79,0.211,1.8,0.0711
stratum phase 2 or later x 2015-2018,3,5,0.6,0.23 to 0.88,3,15,0.2,0.07 to 0.45,0.4,1.69,0.091
stratum phase 2 or later x 2019-2021,4,5,0.8,0.38 to 0.96,7,15,0.467,0.25 to 0.70,0.333,1.3,0.1945
stratum phase 2 or later x 2022-2025,5,6,0.833,0.44 to 0.97,10,18,0.556,0.34 to 0.75,0.278,1.22,0.2235
CAR-T trials of the cell against all comparators,56,86,0.651,0.55 to 0.74,225,378,0.595,0.55 to 0.64,0.056,0.96,0.3382
