nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set
NCT02906670,Sym013 (Pan-HER) in Patients With Advanced Epithelial Malignancies,TERMINATED,2016-11-01,Business reasons,PHASE1|PHASE2,32,Symphogen A/S,INDUSTRY,Oncology,Sym013,2026-09-07,False,False
NCT06074705,A Study of DS-1471a In Subjects With Advanced Solid Tumors,TERMINATED,2023-08-04,The study was terminated by the sponsor due to a business decision.,PHASE1,17,"Daiichi Sankyo Co., Ltd.",INDUSTRY,Advanced Solid Tumor,DS-1471a,2026-09-07,False,False
NCT02904772,Alipogene Tiparvovec for the Treatment of LPLD Patients,WITHDRAWN,2016-10,"uniQure, has decided not to renew the Marketing Authorization of Glybera in the EU. This decision is not related to any safety, efficacy or quality issue",PHASE2,0,UniQure Biopharma B.V.,INDUSTRY,LPL Deficiency,alipogene tiparvovec|Prednisolone|Cyclosporins|Mycophenolate mofetil,2026-09-07,False,False
NCT02426021,Phase 1 Single Subcutaneous Dose Study of MLN1202,WITHDRAWN,2015-04,Business decision; No Safety or Efficacy Concerns,PHASE1,0,Takeda,INDUSTRY,Healthy Japanese and Caucasian Male Adults,MLN1202|MLN1202 Placebo,2026-09-07,False,False
NCT03291249,"Assessment of the Safety of Foralumab, an Oral Anti-CD3 Antibody, in Patients With NASH and T2DM",WITHDRAWN,2017-12-01,Due to MOH request.,PHASE2,0,Tiziana Life Sciences LTD,INDUSTRY,NASH - Nonalcoholic Steatohepatitis|NAFLD|T2DM (Type 2 Diabetes Mellitus),Foralumab|placebo|Omeprazole 20mg,2026-09-07,False,False
NCT05447663,A Study of Siremadlin Alone and in Combination With Donor Lymphocyte Infusion in Acute Myeloid Leukemia Post-allogeneic Stem Cell Transplant,TERMINATED,2023-02-23,Study has been stopped following the strategic decision from the Sponsor. Not based on any safety findings or safety concerns with siremadlin.,PHASE1|PHASE2,8,Novartis Pharmaceuticals,INDUSTRY,Acute Myeloid Leukemia|Allogeneic Stem Cell Transplantation,Siremadlin,2026-09-07,False,False
NCT05165771,"Study to Evaluate Safety, Tolerability, and Efficacy of GS-5718 in Participants With Active Rheumatoid Arthritis Who Have an Inadequate Response to Disease-modifying Antirheumatic Drug(s) (bDMARDs) Treatment",WITHDRAWN,2022-07,Sponsor decision to withdraw study.,PHASE2,0,Gilead Sciences,INDUSTRY,Rheumatoid Arthritis,GS-5718|GS-5718|Placebo to match GS-5718|Tofacitinib 5 mg|Placebo to match Tofacitinib,2026-09-07,False,False
NCT02405793,Meloxicam SoluMatrix® Capsules vs Meloxicam Tablets to Treat Osteoarthritis Pain,WITHDRAWN,2015-05,Internal business decision not to move forward with study,PHASE2,0,"Iroko Pharmaceuticals, LLC",INDUSTRY,Osteoarthritis,Meloxicam Test Capsules|Meloxicam Test Capsules|Meloxicam Tablets,2026-09-07,False,False
NCT05737706,Study of MRTX1133 in Patients With Advanced Solid Tumors Harboring a KRAS G12D Mutation,TERMINATED,2023-03-06,Formulation challenges,PHASE1,63,Mirati Therapeutics Inc.,INDUSTRY,Solid Tumor|Advanced Solid Tumor|Non-small Cell Lung Cancer|Colo-rectal Cancer|Pancreatic Adenocarcinoma,MRTX1133,2026-09-07,False,False
NCT05949632,A Study of INCB099280 in Combination With Axitinib in Adults With Advanced Solid Tumors,TERMINATED,2024-04-16,This was a strategic business decision. There were no safety concerns contributing to this decision.,PHASE1|PHASE2,5,Incyte Corporation,INDUSTRY,Advanced Solid Tumors,INCB099280|axitinib,2026-09-07,False,False
