platform,probe,nct,title,phase,status,start,sponsor,condition,interventions
BenevolentAI,BEN-2293,NCT04737304,A First-in-Human PoC Study With BEN2293 in Patients With Mild to Moderate Atopic Dermatitis,PHASE1|PHASE2,COMPLETED,2020-10-14,BenevolentAI Bio,Atopic Dermatitis,BEN2293 (0.25% or 1.0% w/w) or matching placebo
BenevolentAI,BEN-8744,NCT06118385,"Study Investigating the Safety, Tolerability, PK and Food Effect of BEN8744.",PHASE1,COMPLETED,2023-08-30,BenevolentAI Bio,Healthy Volunteer Study,BEN8744 / Matching Placebo
Exscientia,EXS-21546,NCT04727138,"3-part Study to Assess Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of EXS21546",PHASE1,COMPLETED,2020-12-08,Exscientia AI Limited,Oncology,EXS21546 Powder for Oral Suspension / EXS21546 Granule in Capsule / Midazolam / Food Effect / Placebo Powder for Oral Suspension
Exscientia,EXS-21546,NCT05920408,Study to Assess EXS21546 in Combination in Patients With Advanced Solid Tumours,PHASE1|PHASE2,TERMINATED,2023-04-11,Exscientia AI Limited,Advanced Solid Tumours,EXS21546
Exscientia,GTAEXS617,NCT05985655,Study to Assess GTAEXS617 in Participants With Advanced Solid Tumors,PHASE1|PHASE2,RECRUITING,2023-07-06,"Exscientia AI Ltd., a wholly owned subsidiary of Recursion Pharmaceuticals, Inc.","Head and Neck Squamous Cell Carcinoma (HNSCC); Pancreatic Adenocarcinoma; Non-small Cell Lung Cancer (NSCLC); Platinum-resistant High-grade Epithelial Ovarian, Primary Peritoneal, or Fallopian Tube Cancers (HGSOC); Hormone Receptor Positive [HR+] and Human Epidermal Growth Factor Receptor 2 Negative [HER2-] Breast Carcinoma; Triple Negative Breast Cancer (TNBC)",GTAEXS617 / SoC
Generate Biomedicines,GB-0669,NCT07050511,"Study to Investigate the Safety, Tolerability, and Pharmacokinetics of GB-0669 in Healthy Adult Participants",PHASE1,COMPLETED,2023-07-18,Generate Biomedicines,SARS CoV-2,GB-0669 / Placebo
Generate Biomedicines,GB-0895,NCT07116889,A Study to Investigate GB-0895 in Adults With Mild to Moderate Asthma or COPD,PHASE1,ACTIVE_NOT_RECRUITING,2023-12-12,Generate Biomedicines,Asthma; COPD (Chronic Obstructive Pulmonary Disease),GB-0895 (SC) / GB-0895 (SC) / Placebo (SC) / Placebo (SC)
Generate Biomedicines,GB-0895,NCT07276724,A Study to Investigate GB-0895 Adjunctive Therapy in Adults and Adolescents With Severe Uncontrolled Asthma (SOLAIRIA-1),PHASE3,RECRUITING,2025-12-03,Generate Biomedicines,Severe Asthma,GB-0895 / Placebo
Generate Biomedicines,GB-0895,NCT07359846,A Study to Investigate GB-0895 Adjunctive Therapy in Adults and Adolescents With Severe Uncontrolled Asthma (SOLAIRIA-2),PHASE3,RECRUITING,2026-01-20,Generate Biomedicines,Severe Asthma,GB-0895 / Placebo
Iambic Therapeutics,IAM1363,NCT06253871,A Phase 1/1b Study of IAM1363 in HER2 Cancers,PHASE1,RECRUITING,2024-03-25,"Iambic Therapeutics, Inc",HER2 Mutation-Related Tumors; HER2; HER2-positive Breast Cancer; HER2 + Breast Cancer; Brain Metastases From Solid Tumors; Brain Metastases From HER2 and Breast Cancer; CNS Metastases; HER2-Positive Solid Tumors; NSCLC (Non-small Cell Lung Cancer); HER2-positive Bladder Cancer; HER2-positive Colorectal Cancer; HER2 + Gastric Cancer; HER2-positive Gastroesophageal Cancer,IAM1363
Insilico Medicine,INS018_055,NCT05154240,"A Phase 1, Evaluate the Safety, Tolerability, and Pharmacokinetics of INS018_055 in Healthy Subjects",PHASE1,COMPLETED,2022-02-21,InSilico Medicine Hong Kong Limited,Idiopathic Pulmonary Fibrosis,INS018_055 / Placebo
Insilico Medicine,INS018_055,NCT05938920,Study Evaluating INS018_055 Administered Orally to Subjects With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,COMPLETED,2023-06-19,InSilico Medicine Hong Kong Limited,Idiopathic Pulmonary Fibrosis (IPF),INS018_055 / Placebo
Insilico Medicine,ISM5411,NCT06012578,Study Evaluating ISM5411 Administered Orally to Healthy Volunteers,PHASE1,COMPLETED,2023-11-08,InSilico Medicine Hong Kong Limited,Healthy Subjects,ISM5411 / Placebo
Insilico Medicine,INS018_055,NCT05975983,Study Evaluating INS018_055 Administered Orally to Subjects With Idiopathic Pulmonary Fibrosis,PHASE2,RECRUITING,2024-02-08,InSilico Medicine Hong Kong Limited,Idiopathic Pulmonary Fibrosis (IPF),INS018_055 / Placebo
Insilico Medicine,ISM8207,NCT06445517,Study Evaluating ISM8207 in Participants With Advanced Solid Tumors and Relapsed/Refractory B-Cell Lymphoma,PHASE1,RECRUITING,2024-04-25,InSilico Medicine Hong Kong Limited,Advanced Solid Tumors; Relapsed/Refractory B-cell Lymphoma,ISM8207
