year,AAV gene transfer,AI-originated drug candidates,AI/ML referenced in protocol,Affinity proteomics platforms,Base editing,Biobank-linked genomic cohorts,CRISPR nuclease editing,Clinical WGS/WES,Companion diagnostics,Engineered T-cell therapy (CAR-T),Epigenome editing,In vivo LNP genetic medicine,Lentiviral ex vivo gene therapy,Liquid biopsy / ctDNA,Mass-spec / general proteomics,N-of-1 / individualized genetic therapy,Pharmacogenomics,Polygenic risk scores,Prime editing,Single-cell omics,Spatial omics
2012,503,27,863,4,2,35,140,746,82,65,2,257,309,118,5644,1,810,15,0,3,2
2013,546,47,1210,4,1,25,321,1208,76,122,4,294,345,142,5783,0,852,31,0,12,0
2014,497,50,1507,10,2,46,668,1900,123,173,9,354,381,233,6258,0,1017,45,0,27,6
2015,604,88,1990,19,0,62,1308,2445,123,277,15,334,349,371,6493,4,964,62,0,54,5
2016,635,79,2692,30,4,60,2250,2950,134,404,26,462,338,616,6824,2,1029,99,0,140,8
2017,675,83,4249,49,43,84,3221,3481,122,644,46,444,360,914,6904,2,1085,143,0,261,11
2018,727,213,7871,66,99,116,4245,4179,91,931,69,408,383,1168,7175,2,1087,215,0,557,21
2019,869,344,13480,100,188,157,5271,4883,92,1256,74,454,342,1506,7836,2,1128,285,5,943,35
2020,989,427,21914,140,257,251,6177,5914,125,1923,64,587,323,1901,8759,4,1198,469,66,1767,90
2021,1126,680,33422,186,333,358,7060,7040,158,2459,70,842,319,2231,10014,6,1288,639,123,2950,201
2022,1263,850,44240,229,376,425,7686,7608,147,2715,78,1005,293,2357,10210,9,1210,782,165,3963,440
2023,1492,1079,51515,313,485,501,7822,7582,128,3013,86,1156,250,2515,10507,6,1066,920,201,5133,866
2024,1670,1380,64124,410,428,574,8279,8080,127,3580,125,1570,248,2660,11842,13,1064,1038,207,6613,1434
2025,2037,2107,89914,625,555,741,10231,9812,148,4641,168,2213,238,3472,15195,18,1328,1224,304,9842,2888
