code,descriptor_seed,descriptor_official,match,official_source_url,status,notes
0037U,"FoundationOne CDx (comprehensive genomic profiling, tissue)","Targeted genomic sequence analysis, solid organ neoplasm, dna analysis of 324 genes, interrogation for sequence variants, gene copy number amplifications, gene rearrangements, microsatellite instability and tumor mutational burden [CLFS short descriptor: Trgt gen seq dna 324 genes]",yes,https://www.cms.gov/files/zip/26clabq1.zip,verified-from-source,"Descriptor (324-gene DNA panel, solid organ tumour, MSI and TMB) is the FoundationOne CDx (F1CDx) PLA descriptor. Proprietary name is not printed in the CLFS file; the AMA PLA list, which carries it, returned HTTP 403 and the Wayback path guessed for its PDF was 404, so the name-to-code mapping rests on descriptor content. Source: CMS Clinical Laboratory Fee Schedule 2026 Q1 file (26CLABQ1, CLFS 2026 Q1V1.csv, columns YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDEDLONGDESC); descriptors identical in the 2025 Q4 file (25clabq4.zip)."
0239U,"FoundationOne Liquid CDx (verify) (liquid biopsy, comprehensive)","Targeted genomic sequence analysis panel, solid organ neoplasm, cell-free dna, analysis of 311 or more genes, interrogation for sequence variants, including substitutions, insertions, deletions, select rearrangements, and copy number variations [CLFS short descriptor: Trgt gen seq alys pnl 311+]",yes,https://www.cms.gov/files/zip/26clabq1.zip,verified-from-source,"Descriptor (cell-free DNA, 311 or more genes) is the FoundationOne Liquid CDx PLA descriptor; same caveat on proprietary name as 0037U. Seed ""verify"" flag can be cleared on descriptor content. Source: CMS Clinical Laboratory Fee Schedule 2026 Q1 file (26CLABQ1, CLFS 2026 Q1V1.csv, columns YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDEDLONGDESC); descriptors identical in the 2025 Q4 file (25clabq4.zip)."
0242U,"Guardant360 CDx (verify) (liquid biopsy, comprehensive)","Targeted genomic sequence analysis panel, solid organ neoplasm, cell-free circulating dna analysis of 55-74 genes, interrogation for sequence variants, gene copy number amplifications, and gene rearrangements [CLFS short descriptor: Trgt gen seq alys pnl 55-74]",yes,https://www.cms.gov/files/zip/26clabq1.zip,verified-from-source,"Descriptor (cell-free circulating DNA, 55-74 genes) is the Guardant360 CDx PLA descriptor; same caveat on proprietary name. Seed ""verify"" flag can be cleared on descriptor content. Source: CMS Clinical Laboratory Fee Schedule 2026 Q1 file (26CLABQ1, CLFS 2026 Q1V1.csv, columns YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDEDLONGDESC); descriptors identical in the 2025 Q4 file (25clabq4.zip)."
0340U,Signatera (verify) (molecular residual disease),"Oncology (pan-cancer), analysis of minimal residual disease (mrd) from plasma, with assays personalized to each patient based on prior next-generation sequencing of the patient's tumor and germline dna, reported as absence or presence of mrd, with disease-burden correlation, if appropriate [CLFS short descriptor: Onc pan ca alys mrd plasma]",yes,https://www.cms.gov/files/zip/26clabq1.zip,verified-from-source,"Descriptor (pan-cancer MRD from plasma, assays personalised from prior sequencing of the tumour and germline) is the Signatera PLA descriptor; same caveat on proprietary name. Source: CMS Clinical Laboratory Fee Schedule 2026 Q1 file (26CLABQ1, CLFS 2026 Q1V1.csv, columns YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDEDLONGDESC); descriptors identical in the 2025 Q4 file (25clabq4.zip)."
81225,"pharmacogenomics, single gene: CYP2C19","Cyp2c19 (cytochrome p450, family 2, subfamily c, polypeptide 19) (eg, drug metabolism), gene analysis, common variants (eg, *2, *3, *4, *8, *17) [CLFS short descriptor: Cyp2c19 gene com variants]",yes,https://www.cms.gov/files/zip/26clabq1.zip,verified-from-source,"CYP2C19 common variants; matches seed. Source: CMS Clinical Laboratory Fee Schedule 2026 Q1 file (26CLABQ1, CLFS 2026 Q1V1.csv, columns YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDEDLONGDESC); descriptors identical in the 2025 Q4 file (25clabq4.zip)."
81226,"pharmacogenomics, single gene: CYP2D6","Cyp2d6 (cytochrome p450, family 2, subfamily d, polypeptide 6) (eg, drug metabolism), gene analysis, common variants (eg, *2, *3, *4, *5, *6, *9, *10, *17, *19, *29, *35, *41, *1xn, *2xn, *4xn) [CLFS short descriptor: Cyp2d6 gene com variants]",yes,https://www.cms.gov/files/zip/26clabq1.zip,verified-from-source,"CYP2D6 common variants; matches seed. Source: CMS Clinical Laboratory Fee Schedule 2026 Q1 file (26CLABQ1, CLFS 2026 Q1V1.csv, columns YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDEDLONGDESC); descriptors identical in the 2025 Q4 file (25clabq4.zip)."
81227,"pharmacogenomics, single gene: CYP2C9","Cyp2c9 (cytochrome p450, family 2, subfamily c, polypeptide 9) (eg, drug metabolism), gene analysis, common variants (eg, *2, *3, *5, *6) [CLFS short descriptor: Cyp2c9 gene com variants]",yes,https://www.cms.gov/files/zip/26clabq1.zip,verified-from-source,"CYP2C9 common variants; matches seed. Source: CMS Clinical Laboratory Fee Schedule 2026 Q1 file (26CLABQ1, CLFS 2026 Q1V1.csv, columns YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDEDLONGDESC); descriptors identical in the 2025 Q4 file (25clabq4.zip)."
81228,"pharmacogenomics, single gene (seed range 81225-81231; prompt lists CYP2C19, CYP2D6, CYP2C9, VKORC1, CYP3A4, CYP3A5)","Cytogenomic (genome-wide) analysis for constitutional chromosomal abnormalities; interrogation of genomic regions for copy number variants, comparative genomic hybridization [cgh] microarray analysis [CLFS short descriptor: Cytog alys chrml abnr cgh]",no,https://www.cms.gov/files/zip/26clabq1.zip,verified-from-source,"MISMATCH: cytogenomic (genome-wide) constitutional chromosomal microarray, CGH. Not a pharmacogenomic gene. Exclude from the PGx family; the seeded range 81225-81231 is not contiguous PGx. Source: CMS Clinical Laboratory Fee Schedule 2026 Q1 file (26CLABQ1, CLFS 2026 Q1V1.csv, columns YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDEDLONGDESC); descriptors identical in the 2025 Q4 file (25clabq4.zip)."
81229,"pharmacogenomics, single gene (seed range 81225-81231; prompt lists CYP2C19, CYP2D6, CYP2C9, VKORC1, CYP3A4, CYP3A5)","Cytogenomic (genome-wide) analysis for constitutional chromosomal abnormalities; interrogation of genomic regions for copy number and single nucleotide polymorphism (snp) variants, comparative genomic hybridization (cgh) microarray analysis [CLFS short descriptor: Cytog alys chrml abnr snpcgh]",no,https://www.cms.gov/files/zip/26clabq1.zip,verified-from-source,"MISMATCH: cytogenomic (genome-wide) constitutional chromosomal microarray, CGH plus SNP. Not a pharmacogenomic gene. Exclude from the PGx family. Source: CMS Clinical Laboratory Fee Schedule 2026 Q1 file (26CLABQ1, CLFS 2026 Q1V1.csv, columns YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDEDLONGDESC); descriptors identical in the 2025 Q4 file (25clabq4.zip)."
81230,"pharmacogenomics, single gene: CYP3A4","Cyp3a4 (cytochrome p450 family 3 subfamily a member 4) (eg, drug metabolism), gene analysis, common variant(s) (eg, *2, *22) [CLFS short descriptor: Cyp3a4 gene common variants]",yes,https://www.cms.gov/files/zip/26clabq1.zip,verified-from-source,"CYP3A4 common variants; matches seed. Source: CMS Clinical Laboratory Fee Schedule 2026 Q1 file (26CLABQ1, CLFS 2026 Q1V1.csv, columns YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDEDLONGDESC); descriptors identical in the 2025 Q4 file (25clabq4.zip)."
