code,descriptor,year,allowed_services,allowed_charges_usd,payment_usd,beneficiaries,source_file,source_url,status,notes
0037U,"Targeted genomic sequence analysis, solid organ neoplasm, dna analysis of 324 genes, interrogation for sequence variants, gene copy number amplifications, gene rearrangements, microsatellite instability and tumor mutational burden",2024,13780,48230000,47103226.16,,"2024-part-b-national-summary-data-file.zip > National/Y2024_04) Path.Lab (80000 - 89999) and codes ending in U or M.xlsx (header row 5: DESCRIPTION, HCPCS, MODIFIER, ALLOWED SERVICES, ALLOWED CHARGES, PAYMENT)",https://www.cms.gov/files/zip/2024-part-b-national-summary-data-file.zip,verified-from-source,"TOTAL row (modifier breakdown, allowed services: OTHER 13780). File has no beneficiary count. Descriptor is the CMS CLFS 2026 Q1 extended long descriptor. Series URL pattern (host https://www.cms.gov): 2024 /files/zip/2024-part-b-national-summary-data-file.zip is the only year linked on the page now (page says contact CMS for previous years); earlier files are unlinked but still served (HEAD checks 2026-09-04 returned HTTP 200 for 2018, 2019, 2021, 2022): 2022 /files/zip/national2022zip.zip-0 (carrier file carrier2022zip.zip-0), 2019-2021 /files/zip/partbnational{YYYY}.zip, 2018 /sites/default/files/2019-11/PartBNational2018.zip, 2000-2017 /Research-Statistics-Data-and-Systems/Downloadable-Public-Use-Files/Part-B-National-Summary-Data-File/Downloads/PartBNational{YYYY}.zip; on the archived page (Wayback 2025-01-13 and 2025-08-19) each sits behind /apps/ama/license.asp?file=<path>. Format: CSV 2000-2009, Excel 2010 onward, one workbook per code range, Path/Lab range includes U and M codes. 2023 was never listed on any snapshot and 2023-part-b-national-summary-data-file.zip returns 404."
0239U,"Targeted genomic sequence analysis panel, solid organ neoplasm, cell-free dna, analysis of 311 or more genes, interrogation for sequence variants, including substitutions, insertions, deletions, select rearrangements, and copy number variations",2024,7181,25133500,24579903.24,,"2024-part-b-national-summary-data-file.zip > National/Y2024_04) Path.Lab (80000 - 89999) and codes ending in U or M.xlsx (header row 5: DESCRIPTION, HCPCS, MODIFIER, ALLOWED SERVICES, ALLOWED CHARGES, PAYMENT)",https://www.cms.gov/files/zip/2024-part-b-national-summary-data-file.zip,verified-from-source,"TOTAL row (modifier breakdown, allowed services: OTHER 7181). File has no beneficiary count. Descriptor is the CMS CLFS 2026 Q1 extended long descriptor. Series URL pattern (host https://www.cms.gov): 2024 /files/zip/2024-part-b-national-summary-data-file.zip is the only year linked on the page now (page says contact CMS for previous years); earlier files are unlinked but still served (HEAD checks 2026-09-04 returned HTTP 200 for 2018, 2019, 2021, 2022): 2022 /files/zip/national2022zip.zip-0 (carrier file carrier2022zip.zip-0), 2019-2021 /files/zip/partbnational{YYYY}.zip, 2018 /sites/default/files/2019-11/PartBNational2018.zip, 2000-2017 /Research-Statistics-Data-and-Systems/Downloadable-Public-Use-Files/Part-B-National-Summary-Data-File/Downloads/PartBNational{YYYY}.zip; on the archived page (Wayback 2025-01-13 and 2025-08-19) each sits behind /apps/ama/license.asp?file=<path>. Format: CSV 2000-2009, Excel 2010 onward, one workbook per code range, Path/Lab range includes U and M codes. 2023 was never listed on any snapshot and 2023-part-b-national-summary-data-file.zip returns 404."
0242U,"Targeted genomic sequence analysis panel, solid organ neoplasm, cell-free circulating dna analysis of 55-74 genes, interrogation for sequence variants, gene copy number amplifications, and gene rearrangements",2024,20208,101040000,98871755.11,,"2024-part-b-national-summary-data-file.zip > National/Y2024_04) Path.Lab (80000 - 89999) and codes ending in U or M.xlsx (header row 5: DESCRIPTION, HCPCS, MODIFIER, ALLOWED SERVICES, ALLOWED CHARGES, PAYMENT)",https://www.cms.gov/files/zip/2024-part-b-national-summary-data-file.zip,verified-from-source,"TOTAL row (modifier breakdown, allowed services: OTHER 20208). File has no beneficiary count. Descriptor is the CMS CLFS 2026 Q1 extended long descriptor. Series URL pattern (host https://www.cms.gov): 2024 /files/zip/2024-part-b-national-summary-data-file.zip is the only year linked on the page now (page says contact CMS for previous years); earlier files are unlinked but still served (HEAD checks 2026-09-04 returned HTTP 200 for 2018, 2019, 2021, 2022): 2022 /files/zip/national2022zip.zip-0 (carrier file carrier2022zip.zip-0), 2019-2021 /files/zip/partbnational{YYYY}.zip, 2018 /sites/default/files/2019-11/PartBNational2018.zip, 2000-2017 /Research-Statistics-Data-and-Systems/Downloadable-Public-Use-Files/Part-B-National-Summary-Data-File/Downloads/PartBNational{YYYY}.zip; on the archived page (Wayback 2025-01-13 and 2025-08-19) each sits behind /apps/ama/license.asp?file=<path>. Format: CSV 2000-2009, Excel 2010 onward, one workbook per code range, Path/Lab range includes U and M codes. 2023 was never listed on any snapshot and 2023-part-b-national-summary-data-file.zip returns 404."
0340U,"Oncology (pan-cancer), analysis of minimal residual disease (mrd) from plasma, with assays personalized to each patient based on prior next-generation sequencing of the patient's tumor and germline dna, reported as absence or presence of mrd, with disease-burden correlation, if appropriate",2024,25755,92473153.05,90508644.8,,"2024-part-b-national-summary-data-file.zip > National/Y2024_04) Path.Lab (80000 - 89999) and codes ending in U or M.xlsx (header row 5: DESCRIPTION, HCPCS, MODIFIER, ALLOWED SERVICES, ALLOWED CHARGES, PAYMENT)",https://www.cms.gov/files/zip/2024-part-b-national-summary-data-file.zip,verified-from-source,"TOTAL row (modifier breakdown, allowed services: OTHER 25755). File has no beneficiary count. Descriptor is the CMS CLFS 2026 Q1 extended long descriptor. Series URL pattern (host https://www.cms.gov): 2024 /files/zip/2024-part-b-national-summary-data-file.zip is the only year linked on the page now (page says contact CMS for previous years); earlier files are unlinked but still served (HEAD checks 2026-09-04 returned HTTP 200 for 2018, 2019, 2021, 2022): 2022 /files/zip/national2022zip.zip-0 (carrier file carrier2022zip.zip-0), 2019-2021 /files/zip/partbnational{YYYY}.zip, 2018 /sites/default/files/2019-11/PartBNational2018.zip, 2000-2017 /Research-Statistics-Data-and-Systems/Downloadable-Public-Use-Files/Part-B-National-Summary-Data-File/Downloads/PartBNational{YYYY}.zip; on the archived page (Wayback 2025-01-13 and 2025-08-19) each sits behind /apps/ama/license.asp?file=<path>. Format: CSV 2000-2009, Excel 2010 onward, one workbook per code range, Path/Lab range includes U and M codes. 2023 was never listed on any snapshot and 2023-part-b-national-summary-data-file.zip returns 404."
81225,"Cyp2c19 (cytochrome p450, family 2, subfamily c, polypeptide 19) (eg, drug metabolism), gene analysis, common variants (eg, *2, *3, *4, *8, *17)",2024,9034,2631418.37,2577012.98,,"2024-part-b-national-summary-data-file.zip > National/Y2024_04) Path.Lab (80000 - 89999) and codes ending in U or M.xlsx (header row 5: DESCRIPTION, HCPCS, MODIFIER, ALLOWED SERVICES, ALLOWED CHARGES, PAYMENT)",https://www.cms.gov/files/zip/2024-part-b-national-summary-data-file.zip,verified-from-source,"TOTAL row (modifier breakdown, allowed services: 26 N/A; GLOBL 9034). File has no beneficiary count. Descriptor is the CMS CLFS 2026 Q1 extended long descriptor. Series URL pattern (host https://www.cms.gov): 2024 /files/zip/2024-part-b-national-summary-data-file.zip is the only year linked on the page now (page says contact CMS for previous years); earlier files are unlinked but still served (HEAD checks 2026-09-04 returned HTTP 200 for 2018, 2019, 2021, 2022): 2022 /files/zip/national2022zip.zip-0 (carrier file carrier2022zip.zip-0), 2019-2021 /files/zip/partbnational{YYYY}.zip, 2018 /sites/default/files/2019-11/PartBNational2018.zip, 2000-2017 /Research-Statistics-Data-and-Systems/Downloadable-Public-Use-Files/Part-B-National-Summary-Data-File/Downloads/PartBNational{YYYY}.zip; on the archived page (Wayback 2025-01-13 and 2025-08-19) each sits behind /apps/ama/license.asp?file=<path>. Format: CSV 2000-2009, Excel 2010 onward, one workbook per code range, Path/Lab range includes U and M codes. 2023 was never listed on any snapshot and 2023-part-b-national-summary-data-file.zip returns 404."
81226,"Cyp2d6 (cytochrome p450, family 2, subfamily d, polypeptide 6) (eg, drug metabolism), gene analysis, common variants (eg, *2, *3, *4, *5, *6, *9, *10, *17, *19, *29, *35, *41, *1xn, *2xn, *4xn)",2024,13829,6225312.05,6094868.69,,"2024-part-b-national-summary-data-file.zip > National/Y2024_04) Path.Lab (80000 - 89999) and codes ending in U or M.xlsx (header row 5: DESCRIPTION, HCPCS, MODIFIER, ALLOWED SERVICES, ALLOWED CHARGES, PAYMENT)",https://www.cms.gov/files/zip/2024-part-b-national-summary-data-file.zip,verified-from-source,"TOTAL row (modifier breakdown, allowed services: 26 N/A; GLOBL 13829). File has no beneficiary count. Descriptor is the CMS CLFS 2026 Q1 extended long descriptor. Series URL pattern (host https://www.cms.gov): 2024 /files/zip/2024-part-b-national-summary-data-file.zip is the only year linked on the page now (page says contact CMS for previous years); earlier files are unlinked but still served (HEAD checks 2026-09-04 returned HTTP 200 for 2018, 2019, 2021, 2022): 2022 /files/zip/national2022zip.zip-0 (carrier file carrier2022zip.zip-0), 2019-2021 /files/zip/partbnational{YYYY}.zip, 2018 /sites/default/files/2019-11/PartBNational2018.zip, 2000-2017 /Research-Statistics-Data-and-Systems/Downloadable-Public-Use-Files/Part-B-National-Summary-Data-File/Downloads/PartBNational{YYYY}.zip; on the archived page (Wayback 2025-01-13 and 2025-08-19) each sits behind /apps/ama/license.asp?file=<path>. Format: CSV 2000-2009, Excel 2010 onward, one workbook per code range, Path/Lab range includes U and M codes. 2023 was never listed on any snapshot and 2023-part-b-national-summary-data-file.zip returns 404."
81227,"Cyp2c9 (cytochrome p450, family 2, subfamily c, polypeptide 9) (eg, drug metabolism), gene analysis, common variants (eg, *2, *3, *5, *6)",2024,3556,621624.36,609178.36,,"2024-part-b-national-summary-data-file.zip > National/Y2024_04) Path.Lab (80000 - 89999) and codes ending in U or M.xlsx (header row 5: DESCRIPTION, HCPCS, MODIFIER, ALLOWED SERVICES, ALLOWED CHARGES, PAYMENT)",https://www.cms.gov/files/zip/2024-part-b-national-summary-data-file.zip,verified-from-source,"TOTAL row (modifier breakdown, allowed services: GLOBL 3556). File has no beneficiary count. Descriptor is the CMS CLFS 2026 Q1 extended long descriptor. Series URL pattern (host https://www.cms.gov): 2024 /files/zip/2024-part-b-national-summary-data-file.zip is the only year linked on the page now (page says contact CMS for previous years); earlier files are unlinked but still served (HEAD checks 2026-09-04 returned HTTP 200 for 2018, 2019, 2021, 2022): 2022 /files/zip/national2022zip.zip-0 (carrier file carrier2022zip.zip-0), 2019-2021 /files/zip/partbnational{YYYY}.zip, 2018 /sites/default/files/2019-11/PartBNational2018.zip, 2000-2017 /Research-Statistics-Data-and-Systems/Downloadable-Public-Use-Files/Part-B-National-Summary-Data-File/Downloads/PartBNational{YYYY}.zip; on the archived page (Wayback 2025-01-13 and 2025-08-19) each sits behind /apps/ama/license.asp?file=<path>. Format: CSV 2000-2009, Excel 2010 onward, one workbook per code range, Path/Lab range includes U and M codes. 2023 was never listed on any snapshot and 2023-part-b-national-summary-data-file.zip returns 404."
81228,"Cytogenomic (genome-wide) analysis for constitutional chromosomal abnormalities; interrogation of genomic regions for copy number variants, comparative genomic hybridization [cgh] microarray analysis",2024,21,18749.52,18374.52,,"2024-part-b-national-summary-data-file.zip > National/Y2024_04) Path.Lab (80000 - 89999) and codes ending in U or M.xlsx (header row 5: DESCRIPTION, HCPCS, MODIFIER, ALLOWED SERVICES, ALLOWED CHARGES, PAYMENT)",https://www.cms.gov/files/zip/2024-part-b-national-summary-data-file.zip,verified-from-source,"TOTAL row (modifier breakdown, allowed services: GLOBL 21). Descriptor mismatch: this is a cytogenomic constitutional microarray code, not a pharmacogenomic gene; see medicare_code_check.csv. File has no beneficiary count. Descriptor is the CMS CLFS 2026 Q1 extended long descriptor. Series URL pattern (host https://www.cms.gov): 2024 /files/zip/2024-part-b-national-summary-data-file.zip is the only year linked on the page now (page says contact CMS for previous years); earlier files are unlinked but still served (HEAD checks 2026-09-04 returned HTTP 200 for 2018, 2019, 2021, 2022): 2022 /files/zip/national2022zip.zip-0 (carrier file carrier2022zip.zip-0), 2019-2021 /files/zip/partbnational{YYYY}.zip, 2018 /sites/default/files/2019-11/PartBNational2018.zip, 2000-2017 /Research-Statistics-Data-and-Systems/Downloadable-Public-Use-Files/Part-B-National-Summary-Data-File/Downloads/PartBNational{YYYY}.zip; on the archived page (Wayback 2025-01-13 and 2025-08-19) each sits behind /apps/ama/license.asp?file=<path>. Format: CSV 2000-2009, Excel 2010 onward, one workbook per code range, Path/Lab range includes U and M codes. 2023 was never listed on any snapshot and 2023-part-b-national-summary-data-file.zip returns 404."
81229,"Cytogenomic (genome-wide) analysis for constitutional chromosomal abnormalities; interrogation of genomic regions for copy number and single nucleotide polymorphism (snp) variants, comparative genomic hybridization (cgh) microarray analysis",2024,187,215328.55,209876.8,,"2024-part-b-national-summary-data-file.zip > National/Y2024_04) Path.Lab (80000 - 89999) and codes ending in U or M.xlsx (header row 5: DESCRIPTION, HCPCS, MODIFIER, ALLOWED SERVICES, ALLOWED CHARGES, PAYMENT)",https://www.cms.gov/files/zip/2024-part-b-national-summary-data-file.zip,verified-from-source,"TOTAL row (modifier breakdown, allowed services: 26 N/A; GLOBL 187). Descriptor mismatch: this is a cytogenomic constitutional microarray code, not a pharmacogenomic gene; see medicare_code_check.csv. File has no beneficiary count. Descriptor is the CMS CLFS 2026 Q1 extended long descriptor. Series URL pattern (host https://www.cms.gov): 2024 /files/zip/2024-part-b-national-summary-data-file.zip is the only year linked on the page now (page says contact CMS for previous years); earlier files are unlinked but still served (HEAD checks 2026-09-04 returned HTTP 200 for 2018, 2019, 2021, 2022): 2022 /files/zip/national2022zip.zip-0 (carrier file carrier2022zip.zip-0), 2019-2021 /files/zip/partbnational{YYYY}.zip, 2018 /sites/default/files/2019-11/PartBNational2018.zip, 2000-2017 /Research-Statistics-Data-and-Systems/Downloadable-Public-Use-Files/Part-B-National-Summary-Data-File/Downloads/PartBNational{YYYY}.zip; on the archived page (Wayback 2025-01-13 and 2025-08-19) each sits behind /apps/ama/license.asp?file=<path>. Format: CSV 2000-2009, Excel 2010 onward, one workbook per code range, Path/Lab range includes U and M codes. 2023 was never listed on any snapshot and 2023-part-b-national-summary-data-file.zip returns 404."
81230,"Cyp3a4 (cytochrome p450 family 3 subfamily a member 4) (eg, drug metabolism), gene analysis, common variant(s) (eg, *2, *22)",2024,13,2272.53,2227.03,,"2024-part-b-national-summary-data-file.zip > National/Y2024_04) Path.Lab (80000 - 89999) and codes ending in U or M.xlsx (header row 5: DESCRIPTION, HCPCS, MODIFIER, ALLOWED SERVICES, ALLOWED CHARGES, PAYMENT)",https://www.cms.gov/files/zip/2024-part-b-national-summary-data-file.zip,verified-from-source,"TOTAL row (modifier breakdown, allowed services: GLOBL 13). File has no beneficiary count. Descriptor is the CMS CLFS 2026 Q1 extended long descriptor. Series URL pattern (host https://www.cms.gov): 2024 /files/zip/2024-part-b-national-summary-data-file.zip is the only year linked on the page now (page says contact CMS for previous years); earlier files are unlinked but still served (HEAD checks 2026-09-04 returned HTTP 200 for 2018, 2019, 2021, 2022): 2022 /files/zip/national2022zip.zip-0 (carrier file carrier2022zip.zip-0), 2019-2021 /files/zip/partbnational{YYYY}.zip, 2018 /sites/default/files/2019-11/PartBNational2018.zip, 2000-2017 /Research-Statistics-Data-and-Systems/Downloadable-Public-Use-Files/Part-B-National-Summary-Data-File/Downloads/PartBNational{YYYY}.zip; on the archived page (Wayback 2025-01-13 and 2025-08-19) each sits behind /apps/ama/license.asp?file=<path>. Format: CSV 2000-2009, Excel 2010 onward, one workbook per code range, Path/Lab range includes U and M codes. 2023 was never listed on any snapshot and 2023-part-b-national-summary-data-file.zip returns 404."
