system,scenario,year,products_with_funded_access_p10,p50,p90,funded_today,share_funded_by_60_months,share_funded_plateau
United States,baseline,2027,27.0,29.0,32.0,25,1.0,1.0
United States,baseline,2028,33.0,37.0,41.0,25,1.0,1.0
United States,baseline,2029,39.0,44.0,49.0,25,1.0,1.0
United States,baseline,2030,45.0,51.0,56.0,25,1.0,1.0
United States,baseline,2031,50.0,56.0,63.0,25,1.0,1.0
United States,baseline,2032,55.0,61.0,68.0,25,1.0,1.0
United States,baseline,2033,59.0,66.0,73.0,25,1.0,1.0
United States,baseline,2034,63.0,70.0,77.0,25,1.0,1.0
United States,baseline,2035,66.0,73.0,81.0,25,1.0,1.0
United States,baseline,2036,69.0,77.0,85.0,25,1.0,1.0
Germany,baseline,2027,20.0,21.0,23.0,20,0.83,0.83
Germany,baseline,2028,23.0,26.0,30.0,20,0.83,0.83
Germany,baseline,2029,28.0,32.0,37.0,20,0.83,0.83
Germany,baseline,2030,33.0,38.0,43.09999999999991,20,0.83,0.83
Germany,baseline,2031,37.0,43.0,49.0,20,0.83,0.83
Germany,baseline,2032,42.0,48.0,54.0,20,0.83,0.83
Germany,baseline,2033,45.0,52.0,59.0,20,0.83,0.83
Germany,baseline,2034,48.0,56.0,63.0,20,0.83,0.83
Germany,baseline,2035,50.0,59.0,67.0,20,0.83,0.83
Germany,baseline,2036,53.0,62.0,70.0,20,0.83,0.83
Italy,baseline,2027,16.0,16.0,17.0,16,0.7,0.7
Italy,baseline,2028,17.0,18.0,21.0,16,0.7,0.7
Italy,baseline,2029,20.0,23.0,27.0,16,0.7,0.7
Italy,baseline,2030,23.0,28.0,33.0,16,0.7,0.7
Italy,baseline,2031,27.0,33.0,38.0,16,0.7,0.7
Italy,baseline,2032,31.0,37.0,43.0,16,0.7,0.7
Italy,baseline,2033,34.0,40.0,47.0,16,0.7,0.7
Italy,baseline,2034,36.0,44.0,51.0,16,0.7,0.7
Italy,baseline,2035,38.0,46.0,55.0,16,0.7,0.7
Italy,baseline,2036,41.0,49.0,58.0,16,0.7,0.7
England,baseline,2027,13.0,14.0,15.0,13,0.53,0.53
