block,year,class,p10,p50,p90,realised,cum_p10,cum_p50,cum_p90
"backcast uncalibrated: sponsor, US or EU site",2020,five projected classes,1.0,3.0,5.0,2.0,,,
"backcast uncalibrated: sponsor, US or EU site",2021,five projected classes,1.0,3.0,5.0,3.0,,,
"backcast uncalibrated: sponsor, US or EU site",2022,five projected classes,1.0,3.0,5.0,4.0,,,
"backcast uncalibrated: sponsor, US or EU site",2023,five projected classes,1.0,3.0,5.0,3.0,,,
"backcast uncalibrated: sponsor, US or EU site",2024,five projected classes,1.0,3.0,5.0,2.0,,,
"backcast uncalibrated: sponsor, US or EU site",2025,five projected classes,1.0,3.0,5.0,2.0,,,
"backcast uncalibrated: sponsor, US or EU site",2020-2025 cumulative,five projected classes,14.0,18.0,22.0,16.0,,,
"backcast uncalibrated: sponsor, US or EU site",2020-2025 cumulative,CAR-T,2.0,4.0,6.0,5.0,,,
"backcast uncalibrated: sponsor, US or EU site",2020-2025 cumulative,AAV,6.0,10.0,13.0,6.0,,,
"backcast uncalibrated: sponsor, US or EU site",2020-2025 cumulative,lentiviral ex vivo,1.0,2.0,4.0,4.0,,,
"backcast uncalibrated: sponsor, US or EU site",2020-2025 cumulative,CRISPR ex vivo,0.0,1.0,3.0,1.0,,,
"backcast uncalibrated: sponsor, US or EU site",2020-2025 cumulative,in vivo editing and LNP,0.0,1.0,1.0,0.0,,,
"backcast uncalibrated: construct, US or EU site",2020,five projected classes,2.0,4.0,7.0,2.0,,,
"backcast uncalibrated: construct, US or EU site",2021,five projected classes,2.0,4.0,7.0,3.0,,,
"backcast uncalibrated: construct, US or EU site",2022,five projected classes,2.0,4.0,7.0,4.0,,,
"backcast uncalibrated: construct, US or EU site",2023,five projected classes,2.0,4.0,7.0,3.0,,,
"backcast uncalibrated: construct, US or EU site",2024,five projected classes,2.0,4.0,7.0,2.0,,,
"backcast uncalibrated: construct, US or EU site",2025,five projected classes,2.0,4.0,7.0,2.0,,,
"backcast uncalibrated: construct, US or EU site",2020-2025 cumulative,five projected classes,21.0,26.0,33.0,16.0,,,
"backcast uncalibrated: construct, US or EU site",2020-2025 cumulative,CAR-T,3.0,6.0,8.0,5.0,,,
"backcast uncalibrated: construct, US or EU site",2020-2025 cumulative,AAV,11.0,16.0,20.0,6.0,,,
"backcast uncalibrated: construct, US or EU site",2020-2025 cumulative,lentiviral ex vivo,1.0,3.0,5.0,4.0,,,
"backcast uncalibrated: construct, US or EU site",2020-2025 cumulative,CRISPR ex vivo,0.0,1.0,3.0,1.0,,,
