region,year,cart_patients_p50,centres_at_european_trend,centres_at_us_trend,centres_needed_at_avg_throughput,centres_needed_at_max_throughput,capacity_at_european_trend_and_max_throughput,capacity_at_us_trend_and_max_throughput
US,2027,5364,192,173,245,145,7077,6385
US,2028,6210,215,175,284,168,7938,6462
US,2029,7363,241,177,337,200,8904,6539
US,2030,8764,271,179,401,238,9987,6618
US,2031,10239,304,182,468,277,11202,6697
US,2032,11657,341,184,533,316,12565,6778
US,2033,13025,382,186,595,353,14093,6859
US,2034,14184,428,188,648,384,15808,6941
US,2035,15100,481,190,690,409,17731,7025
US,2036,15996,539,193,731,434,19888,7109
Europe,2027,6615,392,288,302,179,14475,10631
Europe,2028,7400,440,292,338,201,16236,10759
Europe,2029,8695,494,295,397,236,18211,10888
Europe,2030,10241,554,299,468,278,20427,11019
Europe,2031,11912,621,302,544,323,22912,11151
Europe,2032,13806,696,306,631,374,25699,11285
Europe,2033,15652,781,310,715,424,28825,11420
Europe,2034,17329,876,313,792,470,32332,11557
Europe,2035,18853,983,317,862,511,36266,11696
Europe,2036,19976,1102,321,913,541,40678,11836
