family,level,product,n_products,n_points,p_innovation,q_imitation,c_ceiling_share,rmse_share,rmse_log,peak_year_of_adoption,flags,m_patients,m_p10,m_p90,boot_p_q_m
CAR-T,pooled,,7,153,0.27,0.4009,1.0,0.4924,0.676,0.59,; label-dated pool; worldwide series over a US flow; label-dated pool; worldwide series over a US flow; static pool,,,,
CAR-T,product (shrunk),abecma,1,19,2.0,2.5562,0.432,0.2371,0.522,0.05,label-dated pool,,,,
CAR-T,product (shrunk),aucatzyl,1,7,0.2383,0.6428,0.188,0.0042,0.168,1.13,worldwide series over a US flow; static pool,,,,
CAR-T,product (shrunk),breyanzi,1,21,0.2219,0.9793,1.0,1.007,0.62,1.24,label-dated pool,,,,
CAR-T,product (shrunk),carvykti,1,17,1.1731,0.3878,0.656,0.1945,0.307,0.0,label-dated pool,,,,
CAR-T,product (shrunk),kymriah,1,35,0.441,0.0904,0.819,0.1988,0.572,0.0,worldwide series over a US flow; label-dated pool,,,,
CAR-T,product (shrunk),tecartus,1,19,0.3152,1.2669,0.915,0.1447,0.174,0.88,label-dated pool,,,,
CAR-T,product (shrunk),yescarta,1,35,0.3049,0.5971,1.0,0.4202,0.338,0.75,label-dated pool,,,,
one-time,pooled,,10,146,0.0247,1.056,0.261,0.1846,1.474,3.48,; label-dated pool; ; static pool,,,,
one-time,product (shrunk),casgevy,1,8,0.008,1.7812,0.02,0.0001,0.13,3.02,label-dated pool,,,,
one-time,product (shrunk),elevidys,1,12,0.9166,0.2952,0.097,0.0352,0.558,0.0,label-dated pool,,,,
one-time,product (shrunk),hemgenix,1,12,0.0306,0.8369,0.369,0.0029,0.087,3.81,static pool,,,,
one-time,product (shrunk),lenmeldy,1,19,0.0282,0.2084,0.887,0.0126,0.141,8.45,static pool,,,,
one-time,product (shrunk),luxturna,1,34,0.0486,0.1021,0.328,0.017,0.283,4.93,static pool,,,,
one-time,product (shrunk),lyfgenia,1,3,0.017,1.3154,0.02,0.0,0.064,3.27,static pool,,,,
one-time,product (shrunk),roctavian,1,12,0.0221,1.3143,0.02,0.0009,0.231,3.06,static pool,,,,
one-time,product (shrunk),skysona,1,9,0.0736,0.3062,1.0,0.0186,0.179,3.76,static pool,,,,
