family,product,horizon_years,observed,predicted_from_others_pooled,log_error,others_p10,others_p90,covered_by_others_p10_p90
CAR-T,abecma,1,0.4934,0.2472,-0.691,0.1762,0.4413,False
CAR-T,abecma,2,0.7655,0.5397,-0.35,0.3037,0.6995,False
CAR-T,abecma,3,0.6659,0.7696,0.145,0.3868,0.8724,True
CAR-T,aucatzyl,1,0.0459,0.3735,2.097,0.3009,0.453,False
CAR-T,breyanzi,1,0.2153,0.2735,0.239,0.1767,0.453,True
CAR-T,breyanzi,2,0.5156,0.4949,-0.041,0.269,0.6904,True
CAR-T,breyanzi,3,1.0126,0.6606,-0.427,0.2892,0.8508,False
CAR-T,carvykti,1,0.4223,0.2515,-0.518,0.1762,0.4097,False
CAR-T,carvykti,2,1.1091,0.518,-0.761,0.269,0.6995,False
CAR-T,carvykti,3,0.5197,0.7297,0.339,0.2892,0.8724,True
CAR-T,kymriah,1,0.0926,0.2727,1.08,0.1762,0.453,False
CAR-T,kymriah,2,0.3157,0.561,0.575,0.269,0.6995,True
CAR-T,kymriah,3,0.7359,0.7753,0.052,0.2892,0.8724,True
CAR-T,tecartus,2,0.7206,0.5135,-0.339,0.269,0.6408,False
CAR-T,tecartus,3,0.9963,0.6982,-0.356,0.2892,0.8468,False
CAR-T,yescarta,1,0.3521,0.2718,-0.259,0.1762,0.453,True
CAR-T,yescarta,2,0.6375,0.518,-0.207,0.269,0.6995,True
CAR-T,yescarta,3,0.706,0.694,-0.017,0.2892,0.8724,True
one-time,casgevy,1,0.0006,0.0157,3.354,0.0008,0.0662,False
one-time,casgevy,2,0.0025,0.0476,2.959,0.0035,0.1721,False
one-time,elevidys,1,0.0217,0.0091,-0.871,0.0006,0.052,True
one-time,elevidys,2,0.0758,0.035,-0.773,0.0029,0.1721,True
one-time,elevidys,3,0.1384,0.0916,-0.413,0.0092,0.3133,True
one-time,hemgenix,1,0.014,0.0105,-0.28,0.0006,0.0662,True
one-time,hemgenix,2,0.0542,0.0374,-0.37,0.0029,0.1721,True
one-time,hemgenix,3,0.1058,0.0916,-0.144,0.0092,0.3133,True
one-time,lenmeldy,1,0.0315,0.0099,-1.156,0.0006,0.0662,True
one-time,lenmeldy,2,0.0528,0.0375,-0.344,0.0029,0.1721,True
one-time,lenmeldy,3,0.0774,0.0959,0.214,0.0092,0.3133,True
one-time,luxturna,1,0.0241,0.0103,-0.846,0.0006,0.0662,True
one-time,luxturna,2,0.0492,0.039,-0.233,0.0029,0.1721,True
one-time,luxturna,3,0.0492,0.1131,0.833,0.0092,0.3133,True
one-time,roctavian,1,0.001,0.0152,2.695,0.0006,0.0662,True
one-time,roctavian,2,0.0043,0.055,2.538,0.0029,0.1721,True
one-time,roctavian,3,0.0071,0.1243,2.869,0.0094,0.3133,False
one-time,skysona,1,0.0936,0.0088,-2.369,0.0006,0.048,False
one-time,skysona,2,0.1685,0.0338,-1.606,0.0029,0.1028,False
one-time,zolgensma,1,0.0629,0.0095,-1.886,0.0006,0.0662,True
one-time,zolgensma,2,0.1894,0.0311,-1.808,0.0029,0.1049,False
one-time,zolgensma,3,0.3544,0.0633,-1.723,0.0092,0.1486,False
one-time,zynteglo,1,0.0136,0.0112,-0.195,0.0006,0.0662,True
one-time,zynteglo,2,0.0404,0.039,-0.037,0.0029,0.1721,True
