family,product,platform_class,series_region,denominator_geography,quarter_end,t_years,pool,penetration,flag,fitted_product,fitted_pooled
CAR-T,abecma,autologous CAR-T,US,US,2021-06-30,0.249,1390,0.21663355842185233,; label-dated pool,0.20750827230763003,0.06817323743452028
CAR-T,abecma,autologous CAR-T,US,US,2021-09-30,0.501,1390,0.4105392933173748,; label-dated pool,0.3428599816785059,0.13849223282677112
CAR-T,abecma,autologous CAR-T,US,US,2021-12-31,0.753,1390,0.475174538282549,; label-dated pool,0.4010368943989775,0.20916416625782297
CAR-T,abecma,autologous CAR-T,US,US,2022-03-31,0.999,1360,0.49337747794816655,; label-dated pool,0.4213550920234457,0.2775339966755056
CAR-T,abecma,autologous CAR-T,US,US,2022-06-30,1.248,1390,0.5160654410320302,; label-dated pool,0.4282682401955155,0.3451865385408937
CAR-T,abecma,autologous CAR-T,US,US,2022-09-30,1.5,1390,0.6080699722183627,; label-dated pool,0.43053273728643177,0.4112002105496043
CAR-T,abecma,autologous CAR-T,US,US,2022-12-31,1.752,1390,0.6568053305140623,; label-dated pool,0.4312538705366793,0.4739957377101185
CAR-T,abecma,autologous CAR-T,US,US,2023-03-31,1.999,1360,0.7654665922211757,; label-dated pool,0.4314804553337069,0.5318478166182165
CAR-T,abecma,autologous CAR-T,US,US,2023-06-30,2.248,1390,0.855371707702326,; label-dated pool,0.4315543370490097,0.5860531992970845
CAR-T,abecma,autologous CAR-T,US,US,2023-09-30,2.5,1390,0.8499630610909967,; label-dated pool,0.43157825193962446,0.6364516393331261
CAR-T,abecma,autologous CAR-T,US,US,2023-12-31,2.752,1390,0.8156699400234207,; label-dated pool,0.4315858384202913,0.6822621074447679
CAR-T,abecma,autologous CAR-T,US,US,2024-03-31,3.001,1375,0.6659248498231947,; label-dated pool,0.431588229611907,0.7230537105307762
CAR-T,abecma,autologous CAR-T,US,US,2024-06-30,3.25,3179,0.22790593293086966,; label-dated pool,0.43158899857694594,0.7595373723212513
CAR-T,abecma,autologous CAR-T,US,US,2024-09-30,3.502,3259,0.23004077158629133,; label-dated pool,0.4315892474531548,0.7922974055461645
CAR-T,abecma,autologous CAR-T,US,US,2024-12-31,3.754,3259,0.23295617624220083,; label-dated pool,0.43158932640053793,0.8211513714573491
CAR-T,abecma,autologous CAR-T,US,US,2025-03-31,4.0,3188,0.2369640735155786,; label-dated pool,0.43158935112140556,0.8458545881032796
CAR-T,abecma,autologous CAR-T,US,US,2025-06-30,4.249,3259,0.2279539556220614,; label-dated pool,0.43158935923349806,0.867693777708757
CAR-T,abecma,autologous CAR-T,US,US,2025-09-30,4.501,3259,0.22564618267338354,; label-dated pool,0.43158936185898056,0.8868820919811301
