comparison,source,geography,year,projected,realised_genetic_only,realised_incl_nongenetic_cell,ratio_realised_genetic_to_projected,ratio_realised_all_to_projected,caveat,realised_us_cart_patients_cibmtr,projected_oncology_component,ratio_cart_to_oncology_component
cumulative US approvals of durable CGT,"NEWDIGS brief 2020F207 (S38), mean, pipeline at 31 Dec 2019",US,2019,6.0,5,6,0.83,1.0,projection counts product-indication approvals; realised counts first product approvals (Provenge 2010 included in the all-products count),,,
cumulative US approvals of durable CGT,"NEWDIGS brief 2020F207 (S38), mean, pipeline at 31 Dec 2019",US,2021,9.6,8,9,0.83,0.94,projection counts product-indication approvals; realised counts first product approvals (Provenge 2010 included in the all-products count),,,
cumulative US approvals of durable CGT,"NEWDIGS brief 2020F207 (S38), mean, pipeline at 31 Dec 2019",US,2022,13.0,13,14,1.0,1.08,projection counts product-indication approvals; realised counts first product approvals (Provenge 2010 included in the all-products count),,,
cumulative US approvals of durable CGT,"NEWDIGS brief 2020F207 (S38), mean, pipeline at 31 Dec 2019",US,2023,17.9,18,21,1.01,1.17,projection counts product-indication approvals; realised counts first product approvals (Provenge 2010 included in the all-products count),,,
cumulative US approvals of durable CGT,"NEWDIGS brief 2020F207 (S38), mean, pipeline at 31 Dec 2019",US,2025,31.9,28,33,0.88,1.03,projection counts product-indication approvals; realised counts first product approvals (Provenge 2010 included in the all-products count),,,
France approvals_per_year,"Lee et al. 2024 (S17), most expected scenario, pipeline Dec 2022",France,2023,3.0,,,,,realised French counts to come from the access layer (launches) and DESCAR-T (CAR-T patients),,,
France approvals_per_year,"Lee et al. 2024 (S17), most expected scenario, pipeline Dec 2022",France,2024,5.0,,,,,realised French counts to come from the access layer (launches) and DESCAR-T (CAR-T patients),,,
France approvals_per_year,"Lee et al. 2024 (S17), most expected scenario, pipeline Dec 2022",France,2025,5.0,,,,,realised French counts to come from the access layer (launches) and DESCAR-T (CAR-T patients),,,
France approvals_per_year,"Lee et al. 2024 (S17), most expected scenario, pipeline Dec 2022",France,2026,7.0,,,,,realised French counts to come from the access layer (launches) and DESCAR-T (CAR-T patients),,,
France approvals_per_year,"Lee et al. 2024 (S17), most expected scenario, pipeline Dec 2022",France,2027,8.0,,,,,realised French counts to come from the access layer (launches) and DESCAR-T (CAR-T patients),,,
