scenario,class,region,year,patients_p10,patients_p50,patients_p90
baseline,CAR-T,US,2027,4150,5364,7455
baseline,CAR-T,US,2028,4343,6210,9317
baseline,CAR-T,US,2029,4694,7363,11865
baseline,CAR-T,US,2030,5109,8764,14657
baseline,CAR-T,US,2031,5652,10239,17422
baseline,CAR-T,US,2032,6295,11657,20025
baseline,CAR-T,US,2033,6836,13025,22357
baseline,CAR-T,US,2034,7311,14184,24392
baseline,CAR-T,US,2035,7805,15100,26161
baseline,CAR-T,US,2036,8185,15996,27617
baseline,CAR-T,Europe,2027,5087,6615,8669
baseline,CAR-T,Europe,2028,5259,7400,10423
baseline,CAR-T,Europe,2029,5574,8695,13373
baseline,CAR-T,Europe,2030,6044,10241,16785
baseline,CAR-T,Europe,2031,6634,11912,20526
baseline,CAR-T,Europe,2032,7260,13806,24105
baseline,CAR-T,Europe,2033,7865,15652,27207
baseline,CAR-T,Europe,2034,8410,17329,30337
baseline,CAR-T,Europe,2035,9010,18853,32935
baseline,CAR-T,Europe,2036,9681,19976,35163
baseline,CAR-T,rest of world,2027,1424,2183,3353
baseline,CAR-T,rest of world,2028,1535,2464,3991
baseline,CAR-T,rest of world,2029,1673,2887,5067
baseline,CAR-T,rest of world,2030,1859,3393,6470
baseline,CAR-T,rest of world,2031,2070,3952,7831
baseline,CAR-T,rest of world,2032,2279,4497,9202
baseline,CAR-T,rest of world,2033,2472,4996,10344
baseline,CAR-T,rest of world,2034,2670,5486,11429
baseline,CAR-T,rest of world,2035,2838,5915,12404
baseline,CAR-T,rest of world,2036,2980,6273,13168
baseline,CAR-T,worldwide,2027,11690,14566,17755
baseline,CAR-T,worldwide,2028,12412,16318,21884
baseline,CAR-T,worldwide,2029,13402,18861,28800
baseline,CAR-T,worldwide,2030,14570,22364,36167
baseline,CAR-T,worldwide,2031,15988,26112,44607
baseline,CAR-T,worldwide,2032,17286,30004,51644
baseline,CAR-T,worldwide,2033,18789,33915,58277
baseline,CAR-T,worldwide,2034,20059,37487,64477
baseline,CAR-T,worldwide,2035,21379,40427,69562
baseline,CAR-T,worldwide,2036,22594,42647,73628
baseline,AAV,US,2027,783,931,1129
baseline,AAV,US,2028,467,685,1079
baseline,AAV,US,2029,588,954,1648
baseline,AAV,US,2030,754,1305,2245
baseline,AAV,US,2031,904,1530,2555
baseline,AAV,US,2032,971,1611,2632
baseline,AAV,US,2033,967,1610,2588
baseline,AAV,US,2034,951,1574,2533
