product_key,platform_class,first_in_human,first_approval,earliest_phase2_or_1_2_start,earliest_phase3_start,years_fih_to_approval,years_phase2_start_to_approval,years_phase3_start_to_approval,share_remaining_at_phase2,share_remaining_at_phase3,note
kymriah,autologous CAR-T,2010-03-17,2017-08-30,2011-08-01,2016-01-01,7.46,6.08,1.66,0.82,0.22,
yescarta,autologous CAR-T,2009-02-17,2017-10-18,2009-02-01,2018-01-01,8.67,8.71,-0.21,1.01,-0.02,phase-3 start after approval (approval on phase 1/2 data; confirmatory trial)
tecartus,autologous CAR-T,2015-11-09,2020-07-24,2015-11-01,,4.71,4.73,,1.0,,
breyanzi,autologous CAR-T,2016-01-06,2021-02-05,2017-11-01,2018-10-01,5.08,3.26,2.35,0.64,0.46,
abecma,autologous CAR-T,2015-12-22,2021-03-26,2017-12-01,2019-04-01,5.26,3.32,1.98,0.63,0.38,
carvykti,autologous CAR-T,2015-10-02,2022-02-28,2015-10-01,2020-06-01,6.41,6.41,1.74,1.0,0.27,
aucatzyl,autologous CAR-T,2016-04-01,2024-11-08,2020-06-01,,8.61,4.44,,0.52,,
luxturna,AAV subretinal,2007-09-01,2017-12-19,2010-11-01,2012-10-01,10.3,7.13,5.22,0.69,0.51,
zolgensma,AAV systemic,2014-05-05,2019-05-24,2017-10-01,2017-10-01,5.05,1.64,1.64,0.33,0.33,
itvisma,AAV intrathecal,2017-12-14,2025-11-24,2021-09-01,2021-09-01,7.95,4.23,4.23,0.53,0.53,
hemgenix,AAV systemic,2018-06-27,2022-11-22,2018-06-01,2018-06-01,4.41,4.48,4.48,1.02,1.02,
beqvez,AAV systemic,2015-11-18,2024-04-25,2015-11-01,2019-07-01,8.44,8.48,4.82,1.01,0.57,
roctavian,AAV systemic,2015-09-28,2022-08-24,2015-09-01,2017-12-01,6.9,6.98,4.73,1.01,0.68,
casgevy,CRISPR ex vivo,2018-09-14,2023-12-08,2018-09-01,2018-09-01,5.23,5.27,5.27,1.01,1.01,
lyfgenia,lentiviral ex vivo,2013-06-07,2023-12-08,2013-06-01,2016-08-01,10.5,10.52,7.35,1.0,0.7,
zynteglo,lentiviral ex vivo,2013-06-07,2019-05-29,2013-06-01,2016-08-01,5.97,5.99,2.82,1.0,0.47,
skysona,lentiviral ex vivo,2013-08-21,2021-07-16,2013-08-01,2013-08-01,7.9,7.96,7.96,1.01,1.01,
lenmeldy,lentiviral ex vivo,2010-04-09,2020-12-17,2010-04-01,2022-01-01,10.69,10.71,-1.04,1.0,-0.1,phase-3 start after approval (approval on phase 1/2 data; confirmatory trial)
kebilidi,AAV intraputaminal,2014-10-22,2022-07-18,2014-10-01,,7.74,7.79,,1.01,,
elevidys,AAV systemic,2018-01-04,2023-06-22,2018-01-01,2021-10-01,5.46,5.47,1.72,1.0,0.32,
vyjuvek,HSV topical,2018-05-06,2023-05-19,2018-05-01,2020-08-01,5.03,5.05,2.8,1.0,0.56,
