cls,sponsor,construct_key,n_trials,ncts,first_start,phase3_start,highest_phase_ever,phase_active_2026,phase_by_2019,first_start_by_2019,phase3_start_by_2019,has_us_or_eu_site,approved_product,approval_date
AAV,2A Pharma AB,unnamed,1,NCT03929172,2019.12,,1,,1.0,2019.12,,True,,
AAV,4D Molecular Therapeutics,unnamed,1,NCT04483440,2020.46,,1,1.0,,,,True,,
AAV,AO GENERIUM,gnr-097,1,NCT07673809,2025.71,,2,2.0,,,,False,,
AAV,ASC Therapeutics,asc618,1,NCT04676048,2022.62,,2,2.0,,,,True,,
AAV,AbbVie,rgx-314,1,NCT04832724,2021.12,,2,,,,,True,,
AAV,"Abeona Therapeutics, Inc",raav9.cmv.hnaglu,1,NCT03315182,2017.79,,2,,2.0,2017.79,,True,,
AAV,Adrenas Therapeutics Inc,bbp-631,1,NCT04783181,2021.54,,2,2.0,,,,True,,
AAV,"Adverum Biotechnologies, Inc.",advm-022,3,NCT03748784|NCT04418427|NCT05536973,2018.88,,2,2.0,1.0,2018.88,,True,,
AAV,"Adverum Biotechnologies, Inc.",advm-043,1,NCT02168686,2017.88,,2,,2.0,2017.88,,True,,
AAV,"Adverum Biotechnologies, Inc.",unnamed,3,NCT06856577|NCT07482176|NCT07630649,2025.12,2025.12,3,3.0,,,,True,,
AAV,Amsterdam Molecular Therapeutics,approved:glybera,1,NCT01109498,2007.62,2007.62,3,,3.0,2007.62,2007.62,False,glybera,2012-10-25
AAV,Arthrogen,i02,2,NCT02727764|NCT03445715,2017.29,,1,,1.0,2017.29,,True,,
AAV,"AskBio France, SAS, a subsidiary of AskBio Inc.",ab-1001,1,NCT05541627,2022.79,,2,2.0,,,,True,,
AAV,AskBio Inc,ab-1009,1,NCT07282847,2026.29,,2,2.0,,,,True,,
AAV,AskBio Inc,actus-101,1,NCT03533673,2018.96,,1,,1.0,2018.96,,True,,
AAV,Aspa Therapeutics,aav9,1,NCT04998396,2021.71,,2,2.0,,,,True,,
AAV,Astellas Gene Therapies,asp2957,1,NCT07052929,2025.96,,2,2.0,,,,True,,
AAV,Astellas Gene Therapies,at132,1,NCT03199469,2017.62,2017.62,3,3.0,3.0,2017.62,2017.62,True,,
AAV,Atamyo Therapeutics,ata-100,1,NCT05224505,2022.71,,1,1.0,,,,True,,
AAV,Audentes Therapeutics,at342,1,NCT03223194,2017.71,,1,,1.0,2017.71,,True,,
AAV,AviadoBio Ltd,avb-101,1,NCT06064890,2023.62,,2,2.0,,,,True,,
AAV,Avigen,target:factorix,1,NCT00076557,2004.04,,2,,2.0,2004.04,,True,,
AAV,Baxalta now part of Shire,askbio009,1,NCT01687608,2013.12,,2,2.0,2.0,2013.12,,True,,
AAV,Baxalta now part of Shire,bax-888,1,NCT03370172,2018.12,,2,,2.0,2018.12,,True,,
AAV,Baxalta now part of Shire,shp648,1,NCT04394286,2020.38,,2,,,,,True,,
AAV,Bayer,bay2599023,1,NCT03588299,2018.88,,2,2.0,2.0,2018.88,,True,,
AAV,Beacon Therapeutics,agtc-402,1,NCT02935517,2017.62,,2,,2.0,2017.62,,True,,
AAV,Beacon Therapeutics,raav1-cb-haat,1,NCT01054339,2010.46,,2,,2.0,2010.46,,True,,
AAV,Beacon Therapeutics,raav2-cb-hrpe65,1,NCT00749957,2009.46,,2,,2.0,2009.46,,True,,
AAV,Beacon Therapeutics,raav2tyf-cb-hrs1,1,NCT02416622,2015.38,,2,,2.0,2015.38,,True,,
AAV,Beacon Therapeutics,raav2tyf-grk1-hrpgrco,1,NCT04850118,2024.21,2024.21,3,3.0,,,,True,,
AAV,Beacon Therapeutics,raav2tyf-grk1-rpgr,2,NCT03316560|NCT06333249,2018.29,,2,2.0,2.0,2018.29,,True,,
AAV,Beacon Therapeutics,raav2tyf-pr1.7-hcngb3,1,NCT02599922,2016.29,,2,,2.0,2016.29,,True,,
AAV,Beacon Therapeutics,target:rpgr,1,NCT07174726,2025.71,,2,2.0,,,,True,,
AAV,Beacon Therapeutics,unnamed,1,NCT06275620,2023.88,,2,2.0,,,,True,,
