cls,sponsor,ph,as_of
AAV,4D Molecular Therapeutics,1.0,2026-09
AAV,AO GENERIUM,2.0,2026-09
AAV,ASC Therapeutics,2.0,2026-09
AAV,Adrenas Therapeutics Inc,2.0,2026-09
AAV,"Adverum Biotechnologies, Inc.",3.0,2026-09
AAV,"AskBio France, SAS, a subsidiary of AskBio Inc.",2.0,2026-09
AAV,AskBio Inc,2.0,2026-09
AAV,Aspa Therapeutics,2.0,2026-09
AAV,Astellas Gene Therapies,3.0,2026-09
AAV,Atamyo Therapeutics,1.0,2026-09
AAV,AviadoBio Ltd,2.0,2026-09
AAV,Baxalta now part of Shire,2.0,2026-09
AAV,Bayer,2.0,2026-09
AAV,Beacon Therapeutics,3.0,2026-09
AAV,"Belief BioMed (Beijing) Co., Ltd",2.0,2026-09
AAV,BioMarin Pharmaceutical,2.0,2026-09
AAV,Bionic Sight LLC,2.0,2026-09
AAV,BlackfinBio Ltd,2.0,2026-09
AAV,CSL Behring,3.0,2026-09
AAV,Celosia Therapeutics Pty Ltd,1.0,2026-09
AAV,"Chengdu Origen Biotechnology Co., Ltd.",2.0,2026-09
AAV,"Elisigen, Inc.",2.0,2026-09
AAV,Elpida Therapeutics SPC,3.0,2026-09
AAV,Encoded Therapeutics,2.0,2026-09
AAV,Excision BioTherapeutics,1.0,2026-09
AAV,"Forge Biologics, Inc",2.0,2026-09
AAV,Genascence Corporation,1.0,2026-09
AAV,GeneCradle Inc,3.0,2026-09
AAV,"Grace Science, LLC",3.0,2026-09
AAV,"Gritgen Therapeutics Co., Ltd.",3.0,2026-09
AAV,Guangzhou Jiayin Biotech Ltd,2.0,2026-09
AAV,"HuidaGene Therapeutics Co., Ltd.",1.0,2026-09
AAV,ICM Biotech Australia Pty Ltd.,2.0,2026-09
AAV,ICM Co. Ltd.,2.0,2026-09
AAV,Innopeutics Corporation,1.0,2026-09
AAV,Janssen Pharmaceutical K.K.,3.0,2026-09
AAV,"Janssen Research & Development, LLC",2.0,2026-09
AAV,"Kriya Therapeutics, Inc.",2.0,2026-09
AAV,Lexeo Therapeutics,2.0,2026-09
AAV,Life Biosciences Inc.,1.0,2026-09
AAV,Mahzi Therapeutics,2.0,2026-09
AAV,Medley Therapeutics,1.0,2026-09
AAV,Myrtelle Inc.,2.0,2026-09
AAV,Neurogene Inc.,3.0,2026-09
AAV,Ocugen,2.0,2026-09
AAV,"Opus Genetics, Inc",2.0,2026-09
AAV,Pfizer,3.0,2026-09
AAV,"Precision BioSciences, Inc.",2.0,2026-09
AAV,Prevail Therapeutics,2.0,2026-09
AAV,REGENXBIO Inc.,3.0,2026-09
AAV,RJK Biopharma Ltd,1.0,2026-09
AAV,Regeneron Pharmaceuticals,2.0,2026-09
AAV,Rocket Pharmaceuticals Inc.,2.0,2026-09
AAV,Sanofi,2.0,2026-09
AAV,Sardocor Corp.,1.0,2026-09
AAV,"Shanghai Vitalgen BioPharma Co., Ltd.",3.0,2026-09
AAV,"Shanghai Xinzhi BioMed Co., Ltd.",3.0,2026-09
AAV,Solid Biosciences Inc.,3.0,2026-09
AAV,"Spark Therapeutics, Inc.",3.0,2026-09
AAV,"Taysha Gene Therapies, Inc.",3.0,2026-09
AAV,Tenaya Therapeutics,2.0,2026-09
AAV,"Tern Therapeutics, LLC",2.0,2026-09
AAV,Trogenix ltd,2.0,2026-09
AAV,Ultragenyx Pharmaceutical Inc,3.0,2026-09
AAV,UniQure Biopharma B.V.,2.0,2026-09
AAV,Unlimited Biotechnology LLC,2.0,2026-09
AAV,VeonGen Therapeutics GmbH,1.0,2026-09
AAV,Voyager Therapeutics,1.0,2026-09
AAV,"iECURE, Inc.",3.0,2026-09
CAR-T,A2 Biotherapeutics Inc.,2.0,2026-09
CAR-T,"ARCE Therapeutics, Inc.",2.0,2026-09
CAR-T,AbClon,2.0,2026-09
CAR-T,AbbVie,1.0,2026-09
CAR-T,AbelZeta Inc.,2.0,2026-09
CAR-T,Adicet Therapeutics,2.0,2026-09
CAR-T,Advesya SAS,2.0,2026-09
CAR-T,"AffyImmune Therapeutics, Inc.",1.0,2026-09
CAR-T,"Alexion Pharmaceuticals, Inc.",2.0,2026-09
CAR-T,Allogene Therapeutics,2.0,2026-09
CAR-T,Allotera Therapeutics,2.0,2026-09
CAR-T,"Arcellx, Inc.",1.0,2026-09
CAR-T,"Arsenal Biosciences, Inc.",2.0,2026-09
CAR-T,AstraZeneca,3.0,2026-09
CAR-T,Autolus Limited,2.0,2026-09
CAR-T,AvenCell Europe GmbH,1.0,2026-09
CAR-T,"AvenCell Therapeutics, Inc.",2.0,2026-09
CAR-T,Beam Therapeutics Inc.,2.0,2026-09
CAR-T,Beijing Biotech,2.0,2026-09
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",2.0,2026-09
CAR-T,Beijing Yongtai Ruike Biotechnology Company Ltd,2.0,2026-09
CAR-T,BioNTech Cell & Gene Therapies GmbH,1.0,2026-09
CAR-T,Bioray Laboratories,1.0,2026-09
CAR-T,"BrainChild Bio, Inc",2.0,2026-09
CAR-T,"CARsgen Therapeutics Co., Ltd.",2.0,2026-09
CAR-T,CRISPR Therapeutics,1.0,2026-09
CAR-T,CRISPR Therapeutics AG,2.0,2026-09
CAR-T,CSL Behring,3.0,2026-09
CAR-T,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",1.0,2026-09
CAR-T,Cabaletta Bio,3.0,2026-09
CAR-T,Carbiogene Therapeutics Co. Ltd.,1.0,2026-09
CAR-T,"Caribou Biosciences, Inc.",1.0,2026-09
CAR-T,Carina Biotech Limited,2.0,2026-09
CAR-T,Cartesian Therapeutics,3.0,2026-09
CAR-T,"Celest Therapeutics (Shanghai) Co., Ltd.",1.0,2026-09
CAR-T,Celgene,3.0,2026-09
CAR-T,Cellectis S.A.,2.0,2026-09
CAR-T,Celyad Oncology SA,1.0,2026-09
CAR-T,"Chengdu Ucello Biotechnology Co., Ltd.",1.0,2026-09
CAR-T,Chimeric Therapeutics,2.0,2026-09
CAR-T,"Chongqing Precision Biotech Co., Ltd",2.0,2026-09
CAR-T,"Circunited BioPharma (Shenzhen) Co., Ltd.",1.0,2026-09
CAR-T,Curocell Inc.,2.0,2026-09
CAR-T,"CytoAgents, Inc.",2.0,2026-09
CAR-T,CytoCares Inc,1.0,2026-09
