nct,status,start_date,phases,sponsor,sponsor_class,intervention_names,intervention_other_names,n_sites,countries,has_us_or_eu_site,fetched_date
NCT01735604,UNKNOWN,2013-01,PHASE1|PHASE2,Chinese PLA General Hospital,OTHER,anti-CD20-CAR vector-transduced autologous T cells|genetically engineered lymphocyte therapy,|,1,China,False,2026-09-07
NCT01818323,UNKNOWN,2015-06,PHASE1,King's College London,OTHER,Intra-tumoral T4 immunotherapy,4ab T1E28z positive T-cells,1,United Kingdom,True,2026-09-07
NCT00718250,UNKNOWN,2008-05,PHASE1,King's College Hospital NHS Trust,OTHER,RFUSIN2-AML1|Donor leukocyte infusion (DLI)|RFUSIN2-AML1 and donor leukocyte infusion|RFUSIN2-AML1 and donor leukocyte infusion,|RFUSIN2-AML1|RFUSIN2-AML1|RFUSIN2-AML1,1,United Kingdom,True,2026-09-07
NCT00454818,COMPLETED,2007-03,PHASE1|PHASE2,Celladon Corporation,INDUSTRY,"MYDICAR Phase 1 (Open-label, Serial Dose-Escalation Study)|Placebo Infusion|MYDICAR Phase 2 (Placebo-controlled, Randomized Study)",AAV1/SERCA2a||AAV1/SERCA2a,22,United States,True,2026-09-07
NCT00902044,ACTIVE_NOT_RECRUITING,2010-02-11,PHASE1,Baylor College of Medicine,OTHER,Autologous HER2-specific T cells|Fludarabine|Cyclophosphamide|Autologous CAR Positive T cells,|Fludara|Cytoxan|,2,United States,True,2026-09-07
NCT01860937,ACTIVE_NOT_RECRUITING,2013-05,PHASE1,Memorial Sloan Kettering Cancer Center,OTHER,leukapheresis or collection of PBMCs|cyclophosphamide based chemotherapy regimens|modified T cells,||,2,United States,True,2026-09-07
NCT01029366,COMPLETED,2010-03-17,PHASE1,University of Pennsylvania,OTHER,CART-19,,1,United States,True,2026-09-07
NCT01976091,COMPLETED,2015-02-01,PHASE1|PHASE2,"Sarepta Therapeutics, Inc.",INDUSTRY,SRP-9004,patidistrogene bexoparvovec,0,,False,2026-09-07
NCT00516477,COMPLETED,2007-09,PHASE1,"Spark Therapeutics, Inc.",INDUSTRY,voretigene neparvovec-rzyl,AAV2-hRPE65v2,1,United States,True,2026-09-07
NCT00229736,COMPLETED,2004-11,PHASE1,"Genzyme, a Sanofi Company",INDUSTRY,AAV-hAADC-2|AAV-hAADC-2,|,1,United States,True,2026-09-07
NCT00979238,COMPLETED,2010-02-22,PHASE1,St. Jude Children's Research Hospital,OTHER,Gene Transfer|scAAV2/8-LP1-hFIXco,|vector,4,United Kingdom|United States,True,2026-09-07
