assumption,arm,value,approvals_2027_2036_all_genetic_p50,approvals_2027_2036_uncalibrated_p50,patients_worldwide_2031_p50,patients_worldwide_2036_p50,patients_worldwide_2036_p10,patients_worldwide_2036_p90,patients_us_2036_p50,cart_us_2036_p50,funded_products_germany_2036_p50,funded_products_england_2036_p50,base_patients_worldwide_2036_p50,base_approvals_2027_2036_p50
phase12_success_as,low,1,50,50,25364,33341,23023,46680,13518,10279,50,32,40885,62
phase12_success_as,high,2,62,62,28670,40885,27635,56916,16586,12802,61,39,40885,62
entry_multiplier,low,0.5,58,58,28379,38717,26783,54531,15862,12265,58,37,40885,62
entry_multiplier,high,1.5,67,67,28654,41637,28946,57727,17283,12891,64,41,40885,62
new_disease_share,low,0.1,62,62,24443,30890,21288,44501,12632,8612,61,39,40885,62
new_disease_share,high,0.4,62,62,32885,50500,36153,68250,20578,16567,61,39,40885,62
new_disease_pool,low,400.0,62,62,23190,27945,20217,38263,11496,7401,61,39,40885,62
new_disease_pool,high,9678.0,62,62,53514,100374,53467,158484,40411,36352,61,39,40885,62
eu_pop_ratio,low,1.2,62,62,27954,39240,26731,53575,16586,12802,61,39,40885,62
eu_pop_ratio,high,1.8,62,62,29437,42509,28642,59784,16586,12802,61,39,40885,62
row_share,low,0.1,62,62,27227,38753,26314,53974,16586,12802,61,39,40885,62
row_share,high,0.3,62,62,31327,44841,30070,62213,16586,12802,61,39,40885,62
us_share_gt,low,0.45,62,62,28458,40784,27588,56848,15732,12802,61,39,40885,62
us_share_gt,high,0.75,62,62,28900,41052,27827,56930,17602,12802,61,39,40885,62
count_basis,low,0.83,62,62,28556,40775,27525,56805,16519,12802,61,39,40885,62
count_basis,high,1.13,62,62,28758,40969,27719,57000,16636,12802,61,39,40885,62
centre_growth,low,0.012,62,62,28670,40885,27635,56916,16586,12802,61,39,40885,62
centre_growth,high,0.18,62,62,28670,40885,27635,56916,16586,12802,61,39,40885,62
us_centres_2026,low,150,62,62,28670,40885,27635,56916,16586,12802,61,39,40885,62
us_centres_2026,high,195,62,62,28670,40885,27635,56916,16586,12802,61,39,40885,62
throughput_max,low,21.87769784172662,62,62,28670,40885,27635,56916,16586,12802,61,39,40885,62
throughput_max,high,36.8974358974359,62,62,28670,40885,27635,56916,16586,12802,61,39,40885,62
access_scale,low,p10,62,62,28670,40885,27635,56916,16586,12802,56,33,40885,62
access_scale,high,p90,62,62,28670,40885,27635,56916,16586,12802,66,45,40885,62
