product_key,geography,family,indication_key,disease,low,high,n_verified_or_derived,estimate_years,measure_types,sources
abecma,France,annual,MM_3L,MM,1600.0,1600.0,1,2024,gatekeeper_eligible,"HAS Commission de la Transparence, Avis ABECMA extension d'i"
abecma,France,annual,MM_4L,MM,740.0,740.0,1,2021,gatekeeper_eligible,"HAS Commission de la Transparence, Avis ABECMA (idecabtagene"
abecma,Germany,annual,MM_3L,MM,4900.0,5250.0,1,2024,gatekeeper_eligible,G-BA Beschluss AM-RL Anlage XII: Idecabtagen vicleucel (Neub
abecma,Germany,annual,MM_4L,MM,1200.0,1300.0,1,2022,gatekeeper_eligible,G-BA Beschluss ueber eine Aenderung der Arzneimittel-Richtli
abecma,UK,annual,MM_3L,MM,914.0,2482.0,1,2022,annual_incident_eligible,"Fonseca R et al., Frontline treatment patterns and attrition"
abecma,UK,annual,MM_4L,MM,980.0,980.0,1,2022,annual_incident_eligible,"Yong K et al., Multiple myeloma: patient outcomes in real-wo"
abecma,US,annual,MM_3L,MM,8530.0,19620.0,1,2026,annual_incident_eligible,"Fonseca R et al., Frontline treatment patterns and attrition"
abecma,US,annual,MM_5L,MM,2880.0,10580.0,2,"2021,2026","annual_incident_eligible,gatekeeper_eligible","Fonseca R et al., Frontline treatment patterns and attrition | ICER, Anti B-Cell Maturation Antigen CAR T-cell and Antibody"
adstiladrin,US,annual,NMIBC_BCGunresp_CIS,NMIBC,2870.0,5740.0,2,2023,annual_incident_eligible,Derived from Ferring/NCI framing (row above) | Derived from Ferring/NCI framing and Ferring statement that 
alofisel,Germany,annual,CD_fistula,CD,90.0,230.0,1,2018,gatekeeper_eligible,"G-BA Beschluss, Darvadstrocel, 22 Nov 2018"
amtagvi,US,annual,MEL_postPD1,MEL,13000.0,13000.0,1,2026,annual_incident_eligible,Replimune Group Form 10-K for fiscal year ended 31 March 202
aucatzyl,England,annual,ALL_adult,ALL,50.0,50.0,1,2025,gatekeeper_eligible,NICE TA1116 resource impact summary report (11 December 2025
aucatzyl,US,annual,ALL_adult,ALL,3250.0,3250.0,1,2023,company_addressable,Autolus Therapeutics plc Form 10-K for FY2024
beqvez,US,prevalent,HemB_adult,HEMB,860.0,860.0,1,2022,gatekeeper_eligible,"ICER, Gene Therapy for Hemophilia B and An Update on Gene Th"
breyanzi,England,annual,LBCL_2L,LBCL,565.0,592.0,1,2025,gatekeeper_eligible,NICE TA1048 resource impact summary report (26 March 2025)
breyanzi,France,annual,LBCL_2L,LBCL,602.0,602.0,1,2024,gatekeeper_eligible,"HAS, BREYANZI (lisocabtagene maraleucel) LDGCB/LHGCB/LMPGCB/"
breyanzi,Germany,annual,FL_3L,FL,370.0,840.0,1,2025,gatekeeper_eligible,G-BA Beschluss über eine Änderung der Arzneimittel-Richtlini
breyanzi,Germany,annual,LBCL_2L,LBCL,1605.0,2353.0,2,2023,gatekeeper_eligible,"Derived from G-BA Tragende Gründe D-951 (16 Nov 2023), secti | G-BA Tragende Gründe zum Beschluss AM-RL Anlage XII: Lisocab"
breyanzi,Germany,annual,LBCL_3L,LBCL,1420.0,1980.0,1,2021,gatekeeper_eligible,"G-BA Tragende Gründe, Lisocabtagen maraleucel (Breyanzi), D-"
breyanzi,US,annual,LBCL_2L,LBCL,2984.0,5969.0,1,2024,annual_incident_eligible,Derived from Perales 2022 (Transplant Cell Ther) BIM inputs 
carvykti,France,annual,MM_2L,MM,1350.0,1350.0,1,2025,gatekeeper_eligible,"HAS CEESP, Avis economique CARVYKTI (ciltacabtagene autoleuc"
carvykti,Germany,annual,MM_2L,MM,1180.0,2460.0,1,2025,gatekeeper_eligible,G-BA Beschluss AM-RL Anlage XII: Ciltacabtagen autoleucel (n
carvykti,Germany,annual,MM_4L,MM,1210.0,1310.0,1,2023,gatekeeper_eligible,G-BA Tragende Gruende zum Beschluss AM-RL Anlage XII: Ciltac
carvykti,Germany,annual,MM_5L,MM,1100.0,1180.0,1,2025,gatekeeper_eligible,"G-BA Beschluss AM-RL Anlage XII: Ciltacabtagen autoleucel, B"
carvykti,UK,annual,MM_2L,MM,2090.0,3985.0,1,2022,annual_incident_eligible,"Fonseca R et al., Frontline treatment patterns and attrition"
carvykti,UK,annual,MM_4L,MM,980.0,980.0,1,2022,annual_incident_eligible,"Yong K et al., Multiple myeloma: patient outcomes in real-wo"
carvykti,US,annual,MM_2L,MM,15480.0,28440.0,1,2026,annual_incident_eligible,"Fonseca R et al., Frontline treatment patterns and attrition"
carvykti,US,annual,MM_5L,MM,2880.0,10580.0,2,"2021,2026","annual_incident_eligible,gatekeeper_eligible","Fonseca R et al., Frontline treatment patterns and attrition | ICER, Anti B-Cell Maturation Antigen CAR T-cell and Antibody"
casgevy,Canada,annual,TDT_12plus,TDT,1.0,15.0,1,2025,gatekeeper_eligible,"CDA-AMC Pharmacoeconomic Review, Exagamglogene Autotemcel (C"
casgevy,Canada,prevalent,SCD_VOC_12plus,SCD,1100.0,1200.0,1,2025,gatekeeper_eligible,"CDA-AMC Pharmacoeconomic Review, Exagamglogene Autotemcel (C"
casgevy,EU,prevalent,SCD_VOC_12plus,SCD,37000.0,37000.0,1,2025,company_addressable,"Vertex 8-K Ex-99.1, Vertex Reports Third Quarter 2025 Financ"
casgevy,England,prevalent,SCD_VOC_12plus,SCD,1750.0,1882.0,2,"2024,2025",gatekeeper_eligible,"NICE TA1044 Exagamglogene autotemcel for treating severe sic | NICE TA1044, section 3 Committee discussion (guidance publis"
casgevy,England,prevalent,TDT_12plus,TDT,475.0,498.0,1,2024,gatekeeper_eligible,NICE TA1003 Exagamglogene autotemcel for treating transfusio
