product,indication_key,indication_label,geography,measure_type,value_low,value_point,value_high,unit,estimate_year,as_of_date,verbatim,source_doc,source_url,status,notes,source_file,product_key,geography_norm,value_low_n,value_point_n,value_high_n,family,lo,hi,has_number,grade,excluded
Kymriah,ALL_ped,"Paediatric and young adult (up to 25 y) B-cell ALL refractory, in relapse post-transplant or in second or later relapse",US,gatekeeper_eligible,,400,,patients per year,2017,2018-03-23,Applying this estimate results in an annual eligible population for treatment with tisagenlecleucel of 400 patients.,"ICER, Chimeric Antigen Receptor T-Cell Therapy for B-Cell Cancers: Effectiveness and Value, Final Evidence Report, 23 March 2018",https://icer.org/wp-content/uploads/2020/10/ICER_CAR_T_Final_Evidence_Report_032318.pdf,verified-from-source,"Derivation (p.65-66): 2017 US ALL incidence 5,970 (SEER); under-25 cohort 3,651 (all under 20 plus 50% of 20-34); 82.5% B-ALL = 3,012; 3% refractory to initial therapy, 20% relapse; of relapsers 15% refractory to 2L and 36.5% relapse on 2L; result 400 per year.",eligible_E1a.csv,kymriah,US,,400.0,,annual,400.0,400.0,True,A,
Kymriah,ALL_ped,Paediatric and young adult r/r B-cell ALL (ICER executive summary budget-impact table),US,gatekeeper_eligible,,617,,patients per year,2017,2018-03-23,"Table ES21. Estimated Annualized Total Potential Budget Impact (BI) of Tisagenlecleucel Using Different Prices Over a Five-year Time Horizon, Assuming 617 Eligible Patients per Year","ICER, Chimeric Antigen Receptor T-Cell Therapy for B-Cell Cancers: Effectiveness and Value, Final Evidence Report, 23 March 2018",https://icer.org/wp-content/uploads/2020/10/ICER_CAR_T_Final_Evidence_Report_032318.pdf,verified-from-source,Internal inconsistency in the ICER report: executive-summary Table ES21 title assumes 617 eligible per year while the body text derives 400 per year. Treat 400-617 as the ICER range.,eligible_E1a.csv,kymriah,US,,617.0,,annual,617.0,617.0,True,A,
Kymriah,ALL_ped,"All ALL, US, all ages (denominator used by ICER)",US,incidence_rate,,5970,,"new cases per year (count, not rate)",2017,2018-03-23,"we first identified the estimated 2017 incidence of ALL in the US (5,970 patients), based on Surveillance, Epidemiology, and End Results (SEER) data.","ICER, Chimeric Antigen Receptor T-Cell Therapy for B-Cell Cancers: Effectiveness and Value, Final Evidence Report, 23 March 2018",https://icer.org/wp-content/uploads/2020/10/ICER_CAR_T_Final_Evidence_Report_032318.pdf,verified-from-source,"Count not rate. ICER then takes 3,651 under age 25 and 82.5% B-lineage = 3,012 B-ALL under 25 per year: 'Of the 3,651 remaining ALL patients, we estimated that 82.5% would have B-ALL (3,012 patients).'",eligible_E1a.csv,kymriah,US,,5970.0,,annual,5970.0,5970.0,False,A,
Kymriah,ALL_ped,"ALL diagnosed at age 20 and younger, US; share who could benefit from Kymriah",US,company_addressable,465,,620,patients per year,2017,2017-08-31,"roughly 3,100 patients age 20 and younger are diagnosed with ALL annually, and roughly 15% to 20% of them could benefit from Kymriah.","The Motley Fool, 'Novartis' $475,000 Price Tag Sets the Stage for a Price War With Gilead Sciences' (31 Aug 2017), reporting Novartis statements",https://www.fool.com/investing/2017/08/31/novartis-475000-price-tag-sets-the-stage-for-a-price-war-with-gilead-sciences.aspx,derived,"Arithmetic: 3,100 x 15% = 465; 3,100 x 20% = 620. The 3,100 and 15-20% are read in the secondary article (Novartis attribution); Novartis' own 30 Aug 2017 approval release (fetched) gives no patient count. A search summary also paraphrased 'about 600 would be considered candidates'.",eligible_E1a.csv,kymriah,US,465.0,,620.0,annual,465.0,620.0,True,A,
Kymriah,ALL_ped,"Relapsed or refractory B-cell ALL in people 25 years and under (NICE TA975, routine commissioning)",England,gatekeeper_eligible,,,100,patients per year,2024,2024-05-15,It is estimated that less than 100 children and young people in England are eligible for treatment with tisagenlecleucel.,NICE technology appraisal TA975 resource impact statement/summary report,https://www.nice.org.uk/guidance/ta975/resources/resource-impact-statement-13428537661,verified-from-source,"Upper bound only ('less than 100'). Page retrieved by curl (NICE returns 403 to the fetch tool). TA975 replaced TA554 (Dec 2018, CDF); TA554 resources page lists no resource impact document.",eligible_E1a.csv,kymriah,England,,,100.0,annual,,100.0,False,A,
Kymriah,ALL_ped,"Kinder, Jugendliche und junge erwachsene Patienten im Alter bis zu 25 Jahren mit refraktärer oder rezidivierter (Rezidiv nach Transplantation oder zweites oder späteres Rezidiv) akuter lymphatischer B-Zell-Leukämie (ALL)",Germany,gatekeeper_eligible,50,,65,"patients per year (GKV-insured target population, Germany)",2018,2019-03-07,ca. 50 – 65 Patienten,"G-BA Beschluss / Zusammenfassende Dokumentation, Tisagenlecleucel (ALL), D-376, Beschluss vom 7. März 2019",https://www.g-ba.de/downloads/40-268-5774/2019-03-07_AM-RL-XII_Tisagenlecleucel-ALL_D-376_ZD.pdf,verified-from-source,"Company dossier figure adopted by the G-BA; G-BA notes uncertainty (76% B-lineage share, relapse/refractory shares partly non-German). Same document records a stakeholder question citing 'jährliche Patientenzahlen von ca. 500 bis 770 Patienten' in the dossier, apparently across indications; not used.",eligible_E1a.csv,kymriah,Germany,50.0,,65.0,annual,50.0,65.0,True,A,
Kymriah,LBCL_3L,Adult r/r DLBCL after 2 or more lines of systemic therapy (ICER estimate made for axicabtagene ciloleucel; identical label population),US,gatekeeper_eligible,,5902,,patients per year,2016,2018-03-23,"In total, the annual eligible population for axicabtagene ciloleucel was estimated to be 5,902 patients.","ICER, Chimeric Antigen Receptor T-Cell Therapy for B-Cell Cancers: Effectiveness and Value, Final Evidence Report, 23 March 2018",https://icer.org/wp-content/uploads/2020/10/ICER_CAR_T_Final_Evidence_Report_032318.pdf,verified-from-source,"ICER modelled axi-cel but the population (r/r DLBCL after 2+ lines) is the Kymriah 2018 label population. See Yescarta rows for derivation (27,650 DLBCL incident 2016; 35% r/r = 9,678; transplant-ineligible 4,839 of which 49% = 2,371; transplant-eligible 4,839 of which 2,371 + 1,160).",eligible_E1a.csv,kymriah,US,,5902.0,,annual,5902.0,5902.0,True,A,
Kymriah,LBCL_3L,Erwachsene Patienten mit rezidiviertem oder refraktärem diffus großzelligem B-Zell-Lymphom (DLBCL) nach zwei oder mehr Linien einer systemischen Therapie,Germany,gatekeeper_eligible,440,,700,"patients per year (GKV-insured target population, Germany)",2018,2019-03-07,ca. 440 - 700 Patienten,"G-BA Beschluss, Tisagenlecleucel (DLBCL), D-375, Beschluss vom 7. März 2019",https://www.g-ba.de/downloads/39-261-3700/2019-03-07_AM-RL-XII_Tisagenlecleucel-DLBCL_D-375_BAnz.pdf,verified-from-source,Tragende Gründe (https://www.g-ba.de/downloads/40-268-5622/2019-03-07_AM-RL-XII_Tisagenlecleucel-DLBCL_D-375_TrG.pdf) say the company's incidence sources include other diffuse B-cell lymphoma forms and transferability to Germany is uncertain.,eligible_E1a.csv,kymriah,Germany,440.0,,700.0,annual,440.0,700.0,True,A,
Kymriah,LBCL_3L,"Erwachsenen Patienten mit rezidiviertem oder refraktärem diffus großzelligen B-Zell-Lymphom (DLBCL), nach zwei oder mehr Linien einer systemischen Therapie",Germany,gatekeeper_eligible,450,,720,"patients per year (GKV-insured target population, Germany)",2020,2020-09-17,ca. 450 – 720 Patienten,"G-BA Beschluss, Tisagenlecleucel (DLBCL, Neubewertung nach Fristablauf), D-530, Beschluss vom 17. September 2020",https://www.g-ba.de/downloads/39-261-4456/2020-09-17_AM-RL-XII_Tisagenlecleucel_DLBCL_D-530_BAnz.pdf,verified-from-source,Re-assessment after expiry of the 2019 decision; company dossier figure adopted.,eligible_E1a.csv,kymriah,Germany,450.0,,720.0,annual,450.0,720.0,True,A,
Kymriah,LBCL_3L,Diffuse large B-cell lymphoma after 2 or more systemic therapies (NICE TA567),England,gatekeeper_eligible,,,,patients per year,,2019-03-13,,NICE TA567 resources page,https://www.nice.org.uk/guidance/ta567/resources,not-found,"Resources page (retrieved by curl) lists no resource impact document for TA567, so no NICE eligible count is available for tisagenlecleucel in DLBCL. TA567 publication date from memory (March 2019), not verified.",eligible_E1a.csv,kymriah,England,,,,annual,,,False,X,
