product_key,system,body,indication_key,date_in_force,price,currency,price_basis,price_usd_at_ecb_annual_rate,us_launch_list_usd,ratio_to_us_launch_list,range_in_source,source_url
abecma,Canada,CADTH,MM_4L,2021-05-14,545000.0,CAD,"submitted list ($545,000 per infusion, target dose 450 x 10^6 CAR T cells)",,419500.0,,False,https://canjhealthtechnol.ca/index.php/cjht/article/view/pg0240
abecma,Canada,CADTH,MM_4L,2021-10-13,545000.0,CAD,"submitted list ($545,000 per infusion)",,419500.0,,False,https://canjhealthtechnol.ca/index.php/cjht/article/view/pg0240
abecma,France,CEPS (price),MM_4L,2024-11-13,240000.0,EUR,tarif de responsabilité,259771,419500.0,0.619,False,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000050489427
abecma,Germany,G-BA,MM_4L,2022-06-16,350000.0,EUR,Jahrestherapiekosten Beschluss,368567,419500.0,0.879,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/781/
abecma,Germany,G-BA,MM_3L,2024-09-19,240000.0,EUR,Jahrestherapiekosten Beschluss,259771,419500.0,0.619,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/1068/
abecma,Italy,AIFA,MM_4L,2024-02-08,350000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 577.644,41)",378833,419500.0,0.903,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2024-02-08&atto.codiceRedazionale=24A00637
abecma,Italy,AIFA,MM_3L,2026-05-20,350000.0,EUR,"ex-factory TrovaNormeFarmaco (prezzo al pubblico IVA inclusa EUR 577.644,41)",395494,419500.0,0.943,False,https://trovanorme.aifa.gov.it/tnf-service/determina/tnf/pubblicate/e053daa1-6624-4e63-a772-36d4cc86a888 | https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2026-05-20&atto.codiceRedazionale=26A02520
alofisel,England,NICE,CD_perianal_fistula,2019-01-09,54000.0,GBP,list,68870,,,False,https://www.nice.org.uk/guidance/ta556
alofisel,Germany,G-BA,CD_fistula,2018-11-22,71400.0,EUR,Jahrestherapiekosten Beschluss,84320,,,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/366/
aucatzyl,England,NICE,ALL_adult_26plus,2025-12-11,372000.0,GBP,list,490613,525000.0,0.935,False,https://www.nice.org.uk/guidance/ta1116
beqvez,Canada,CADTH,HEMB_adult,2023-12-20,4773595.2,CAD,"submitted list ($4,773,595.20 per administration per patient)",,,,False,https://www.ncbi.nlm.nih.gov/books/NBK602912/
breyanzi,Canada,CADTH,LBCL_3L,2022-04-13,501900.0,CAD,"submitted list ($501,900 per administration)",,410300.0,,False,https://www.ncbi.nlm.nih.gov/books/NBK603593/
breyanzi,Canada,CDA-AMC,LBCL_2L,2024-10-09,501900.0,CAD,"submitted list ($501,900.00 per patient per infusion)",,410300.0,,False,https://canjhealthtechnol.ca/index.php/cjht/article/view/PG0358
breyanzi,England,NICE,LBCL_2L_ASCT_suitable,2025-03-26,297000.0,GBP,list,391699,410300.0,0.955,False,https://www.nice.org.uk/guidance/ta1048
breyanzi,England,NICE,LBCL_3L,2026-06-03,297000.0,GBP,list,391699,410300.0,0.955,False,https://www.nice.org.uk/guidance/ta1159
breyanzi,France,CEPS (price),LBCL_2L,2024-07-11,345000.0,EUR,tarif de responsabilité,373421,410300.0,0.91,False,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000049939198
breyanzi,Germany,G-BA,LBCL_3L,2023-04-06,345000.0,EUR,Jahrestherapiekosten Beschluss,373038,410300.0,0.909,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/869/
breyanzi,Germany,G-BA,LBCL_2L,2023-11-16,345000.0,EUR,Jahrestherapiekosten Beschluss,373038,410300.0,0.909,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/960/
breyanzi,Germany,G-BA,FL_3L,2025-10-02,227500.0,EUR,Jahrestherapiekosten Beschluss,257071,410300.0,0.627,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/1200/
