product,platform_class,series_region,regimen,first_in_human,first_approval,fda_approval,clinical_stage_years,first_revenue_quarter_end,months_first_approval_to_first_revenue,months_fda_to_first_revenue,last_quarter_end,follow_up_years_from_first_approval,cumulative_patients_low,cumulative_patients_central,denominator_geography,denominator_family,prevalent_low,prevalent_high,annual_low,annual_high,pool_at_last_quarter_low,pool_at_last_quarter_high,penetration_low,penetration_high,runrate_penetration_low,runrate_penetration_high,months_to_quarter_of_pool_conservative,status_quarter_conservative,months_to_quarter_of_pool_optimistic,status_quarter_optimistic,months_to_half_of_pool_conservative,status_half_conservative,months_to_half_of_pool_optimistic,status_half_optimistic,h1_reading,flags,pool_basis
abecma,autologous CAR-T,US,one-time,2015-12-22,2021-03-26,2021-03-26,5.26,2021-06-30,3.2,3.2,2025-12-31,4.77,3013,3965,US,annual,,,8530,19620,23597,66221,0.046,0.168,0.025,0.077,57.2,censored,18.2,reached,57.2,censored,57.2,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,US revenue series over a US denominator,label-dated: US:MM_3L
amtagvi,tumour-infiltrating lymphocytes,US,one-time,2015-09-24,2024-02-16,2024-02-16,8.4,2024-06-30,4.4,4.4,2026-06-30,2.37,923,1214,US,annual,,,13000.0,13000.0,29221,29221,0.032,0.042,0.041,0.054,28.4,censored,28.4,censored,28.4,censored,28.4,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,US revenue series over a US denominator,"static: all indications with a range, from launch"
aucatzyl,autologous CAR-T,Total,one-time,2016-04-01,2024-11-08,2024-11-08,8.61,2025-03-31,4.7,4.7,2026-06-30,1.64,278,366,US,annual,,,3250.0,3250.0,4849,4849,0.057,0.076,0.068,0.09,19.7,censored,19.7,censored,19.7,censored,19.7,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,annual: worldwide revenue over a US-only denominator (no EU range): penetration overstated,"static: all indications with a range, from launch"
breyanzi,autologous CAR-T,US,one-time,2016-01-06,2021-02-05,2021-02-05,5.08,2021-06-30,4.8,4.8,2026-06-30,5.4,6749,8880,US,annual,,,2984,5969,19313,36006,0.187,0.46,0.481,1.267,64.8,censored,49.8,reached,64.8,censored,64.8,censored,half of eligible not reached and follow-up already exceeds clinical stage: post-approval stage is the longer one,"label indication US:CLL in force has no eligible row (first seen 2024-03-31): pool understated; label indication US:MCL in force has no eligible row (first seen 2024-06-30): pool understated; label indication US:FL_3L in force has no eligible row (first seen 2024-06-30): pool understated; label indication US:MZL_3L in force has no eligible row (first seen 2025-12-31): pool understated; annual range for US:LBCL_3L borrowed from kymriah,yescarta; US revenue series over a US denominator",label-dated: US:CLL US:FL_3L US:LBCL_2L US:MCL US:MZL_3L
carvykti,autologous CAR-T,US,one-time,2015-10-02,2022-02-28,2022-02-28,6.41,2022-06-30,4.0,4.0,2026-06-30,4.33,8318,10945,US,annual,,,15480,28440,40530,85148,0.098,0.27,0.13,0.314,52.0,censored,19.0,reached,52.0,censored,52.0,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,US revenue series over a US denominator,label-dated: US:MM_2L
casgevy,CRISPR ex vivo,Total,one-time,2018-09-14,2023-12-08,2023-12-08,5.23,2024-09-30,9.8,9.8,2026-06-30,2.56,111,147,US+EU,prevalent,57000,62000,,,57000,62000,0.002,0.003,,,30.7,censored,30.7,censored,30.7,censored,30.7,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,label indication US:TDT_12plus in force has no eligible row (first seen 2024-03-31): pool understated; label indication EU:TDT_12plus in force has no eligible row (first seen 2024-03-31): pool understated,label-dated: EU:SCD_VOC_12plus EU:TDT_12plus US:SCD_VOC_12plus US:TDT_12plus
elevidys,AAV systemic,US,one-time,2018-01-04,2023-06-22,2023-06-22,5.46,2023-09-30,3.3,3.3,2026-06-30,3.02,662,872,US,prevalent,2657,8895,364,557,3752,10571,0.063,0.232,0.248,0.498,36.3,censored,36.3,censored,36.3,censored,36.3,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,US revenue series over a US denominator,label-dated: US:DMD_4plus US:DMD_4plus_amb
hemgenix,AAV systemic,Total,one-time,2018-06-27,2022-11-22,2022-11-22,4.41,2023-09-30,10.2,10.2,2026-06-30,3.6,69,91,US,prevalent,860.0,860.0,,,860,860,0.08,0.106,,,43.2,censored,43.2,censored,43.2,censored,43.2,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,prevalent: worldwide revenue over a US-only denominator (no EU range): penetration overstated,"static: all indications with a range, from launch"
kymriah,autologous CAR-T,Total,one-time,2010-03-17,2017-08-30,2017-08-30,7.46,2017-12-31,4.0,4.0,2026-06-30,8.83,7150,9407,US,annual,,,6302,6522,51840,53770,0.133,0.181,0.113,0.154,106.0,censored,7.0,reached,106.0,censored,106.0,censored,half of eligible not reached and follow-up already exceeds clinical stage: post-approval stage is the longer one,worldwide revenue over a US-only denominator (no EU range): penetration overstated; label indication US:FL_3L in force has no eligible row (first seen 2022-06-30): pool understated,label-dated: US:ALL_ped US:FL_3L US:LBCL_3L
lenmeldy,lentiviral ex vivo,Total,one-time,2010-04-09,2020-12-17,2024-03-18,10.69,2022-03-31,15.4,-23.6,2026-06-30,5.53,29,38,US+EU,annual,,,14.0,124.0,63,557,0.052,0.601,0.089,1.021,66.4,censored,15.4,reached,66.4,censored,63.4,reached,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,,"static: all indications with a range, from launch"
