product,in_scope,us_quarters,asp_quarters,wac_years,last_quarter,cumulative_central_main,cumulative_variant,variant_over_main
abecma,True,19,12,2021 2022 2023 2024 2025,2025Q4,5825,4620,0.793
amtagvi,False,9,0,2024,2026Q2,1214,1214,
aucatzyl,False,0,0,2024,2026Q2,366,366,
breyanzi,True,21,13,2021 2022 2023 2024 2025,2026Q2,11651,8336,0.715
carvykti,True,17,13,2022 2023 2024 2025,2026Q2,13404,9822,0.733
casgevy,False,0,0,2023,2026Q2,147,147,
elevidys,False,12,0,2023,2026Q2,872,872,
hemgenix,False,0,0,2022 2024,2026Q2,91,91,
kresladi,False,0,0,,2026Q2,,0,
kymriah,False,5,12,2017 2018 2022 2023 2024 2025,2026Q2,9407,9407,
lenmeldy,False,0,0,,2026Q2,38,38,
luxturna,False,0,0,2018,2026Q2,323,323,
lyfgenia,False,6,0,2023,2025Q1,10,10,
omisirge,False,0,0,2023,2024Q1,10,10,
papzimeos,False,0,0,,2026Q2,103,103,
provenge,False,0,33,2010,2016Q4,23385,23385,
roctavian,False,0,0,2023,2026Q2,37,37,
ryoncil,False,0,4,2025,2026Q2,114,114,
skysona,False,9,0,2022,2025Q1,10,10,
tecartus,True,24,14,2020 2021 2022 2023 2024 2025,2026Q2,6279,5024,0.8
tecelra,False,0,5,,2025Q2,30,30,
tudriqev,False,0,0,,2026Q2,,0,
vyjuvek,False,6,10,,2026Q2,2014,2014,
yescarta,True,35,14,2017 2022 2023 2024 2025,2026Q2,29589,24414,0.825
zevaskyn,False,0,0,,2026Q2,10,10,
zolgensma,False,0,0,2019 2023 2025,2026Q2,5157,5157,
zynteglo,False,9,0,2022,2025Q1,50,50,
