product,quarter,europe_revenue_usd_m,class_factor_price_usd,german_price_in_force_usd,french_tarif_in_force_usd,patients_class_factor,patients_german_price,cumulative_class_factor,cumulative_german_price
yescarta,2018Q1,0.0,283480,435621,,0.0,0.0,0,0
yescarta,2018Q2,0.0,283480,435621,,0.0,0.0,0,0
yescarta,2018Q3,0.0,283480,435621,,0.0,0.0,0,0
yescarta,2018Q4,1.0,283480,435621,,3.5,2.3,4,2
yescarta,2019Q1,6.0,283480,435621,,21.2,13.8,25,16
yescarta,2019Q2,21.0,283480,435621,,74.1,48.2,99,64
yescarta,2019Q3,32.0,283480,435621,366068,112.9,73.5,212,138
yescarta,2019Q4,24.0,283480,435621,366068,84.7,55.1,296,193
yescarta,2020Q1,37.0,283480,435621,366068,130.5,84.9,427,278
yescarta,2020Q2,56.0,283480,435621,366068,197.5,128.6,624,406
yescarta,2020Q3,51.0,283480,435621,366068,179.9,117.1,804,523
yescarta,2020Q4,47.0,283480,435621,366068,165.8,107.9,970,631
yescarta,2021Q1,61.0,283480,435621,366068,215.2,140.0,1185,771
yescarta,2021Q2,61.0,283480,435621,366068,215.2,140.0,1400,911
yescarta,2021Q3,66.0,283480,435621,366068,232.8,151.5,1633,1063
yescarta,2021Q4,65.0,283480,435621,366068,229.3,149.2,1863,1212
yescarta,2022Q1,77.0,283480,435621,366068,271.6,176.8,2134,1389
yescarta,2022Q2,85.0,283480,435621,366068,299.8,195.1,2434,1584
yescarta,2022Q3,91.0,283480,435621,366068,321.0,208.9,2755,1793
yescarta,2022Q4,103.0,283480,296960,366068,363.3,346.8,3118,2140
yescarta,2023Q1,121.0,283480,296960,366068,426.8,407.5,3545,2547
yescarta,2023Q2,133.0,283480,296960,366068,469.2,447.9,4014,2995
yescarta,2023Q3,154.0,283480,296960,366068,543.2,518.6,4558,3514
yescarta,2023Q4,140.0,283480,294105,366068,493.9,476.0,5051,3990
yescarta,2024Q1,158.0,283480,294105,366068,557.4,537.2,5609,4527
yescarta,2024Q2,169.0,283480,294105,366068,596.2,574.6,6205,5101
yescarta,2024Q3,182.0,283480,294105,366068,642.0,618.8,6847,5720
yescarta,2024Q4,156.0,283480,294407,366068,550.3,529.9,7397,6250
yescarta,2025Q1,149.0,283480,294407,366068,525.6,506.1,7923,6756
yescarta,2025Q2,154.0,283480,294407,366068,543.2,523.1,8466,7279
yescarta,2025Q3,151.0,283480,294407,366068,532.7,512.9,8999,7792
yescarta,2025Q4,143.0,283480,294407,366068,504.4,485.7,9503,8278
yescarta,2026Q1,146.0,283480,294407,366068,515.0,495.9,10018,8774
yescarta,2026Q2,139.0,283480,294407,366068,490.3,472.1,10508,9246
tecartus,2020Q3,4.0,283480,425787,,14.1,9.4,14,9
tecartus,2020Q4,5.0,283480,425787,,17.6,11.7,32,21
tecartus,2021Q1,4.0,283480,425787,,14.1,9.4,46,31
tecartus,2021Q2,9.0,283480,425787,,31.7,21.1,78,52
tecartus,2021Q3,12.0,283480,425787,,42.3,28.2,120,80
tecartus,2021Q4,15.0,283480,425787,,52.9,35.2,173,115
tecartus,2022Q1,15.0,283480,425787,,52.9,35.2,226,150
tecartus,2022Q2,20.0,283480,425787,,70.6,47.0,296,197
tecartus,2022Q3,20.0,283480,425787,379098,70.6,47.0,367,244
tecartus,2022Q4,19.0,283480,425787,379098,67.0,44.6,434,289
tecartus,2023Q1,27.0,283480,304918,379098,95.2,88.5,529,377
tecartus,2023Q2,29.0,283480,304918,379098,102.3,95.1,631,473
tecartus,2023Q3,27.0,283480,304918,379098,95.2,88.5,726,561
tecartus,2023Q4,27.0,283480,304918,379098,95.2,88.5,822,650
tecartus,2024Q1,36.0,283480,304918,379098,127.0,118.1,949,768
tecartus,2024Q2,37.0,283480,304918,379098,130.5,121.3,1079,889
tecartus,2024Q3,29.0,283480,304918,293325,102.3,95.1,1182,984
tecartus,2024Q4,36.0,283480,304918,293325,127.0,118.1,1308,1102
tecartus,2025Q1,31.0,283480,304918,293325,109.4,101.7,1418,1204
tecartus,2025Q2,41.0,283480,304918,293325,144.6,134.5,1562,1338
tecartus,2025Q3,35.0,283480,304918,293325,123.5,114.8,1686,1453
tecartus,2025Q4,51.0,283480,304918,293325,179.9,167.3,1866,1620
tecartus,2026Q1,37.0,283480,304918,293325,130.5,121.3,1996,1742
tecartus,2026Q2,34.0,283480,304918,293325,119.9,111.5,2116,1853
breyanzi,2021Q2,0.0,311828,373038,,0.0,0.0,0,0
breyanzi,2021Q3,1.0,311828,373038,,3.2,2.7,3,3
breyanzi,2021Q4,2.0,311828,373038,,6.4,5.4,10,8
breyanzi,2022Q1,3.0,311828,373038,,9.6,8.0,19,16
breyanzi,2022Q2,6.0,311828,373038,,19.2,16.1,38,32
breyanzi,2022Q3,9.0,311828,373038,,28.9,24.1,67,56
breyanzi,2022Q4,13.0,311828,373038,,41.7,34.8,109,91
breyanzi,2023Q1,13.0,311828,373038,,41.7,34.8,151,126
breyanzi,2023Q2,17.0,311828,373038,,54.5,45.6,205,172
breyanzi,2023Q3,15.0,311828,373038,,48.1,40.2,253,212
breyanzi,2023Q4,16.0,311828,373038,,51.3,42.9,305,255
breyanzi,2024Q1,20.0,311828,373038,,64.1,53.6,369,308
breyanzi,2024Q2,31.0,311828,373038,,99.4,83.1,468,391
breyanzi,2024Q3,51.0,311828,373038,373421,163.6,136.7,632,528
breyanzi,2024Q4,54.0,311828,373038,373421,173.2,144.8,805,673
breyanzi,2025Q1,60.0,311828,373038,373421,192.4,160.8,997,834
breyanzi,2025Q2,88.0,311828,373038,373421,282.2,235.9,1280,1070
breyanzi,2025Q3,109.0,311828,373038,373421,349.6,292.2,1629,1362
breyanzi,2025Q4,107.0,311828,257071,373421,343.1,416.2,1972,1778
breyanzi,2026Q1,120.0,311828,257071,373421,384.8,466.8,2357,2245
breyanzi,2026Q2,131.0,311828,253681,373421,420.1,516.4,2777,2761
abecma,2021Q2,0.0,318820,368567,,0.0,0.0,0,0
abecma,2021Q3,4.0,318820,368567,,12.5,10.9,12,11
abecma,2021Q4,2.0,318820,368567,,6.3,5.4,19,16
abecma,2022Q1,11.0,318820,368567,,34.5,29.8,53,46
abecma,2022Q2,17.0,318820,368567,,53.3,46.1,107,92
abecma,2022Q3,32.0,318820,368567,,100.4,86.8,207,179
abecma,2022Q4,31.0,318820,368567,,97.2,84.1,304,263
abecma,2023Q1,29.0,318820,368567,,91.0,78.7,395,342
abecma,2023Q2,17.0,318820,368567,,53.3,46.1,448,388
abecma,2023Q3,24.0,318820,368567,,75.3,65.1,524,453
abecma,2023Q4,44.0,318820,368567,,138.0,119.4,662,572
abecma,2024Q1,30.0,318820,368567,,94.1,81.4,756,654
abecma,2024Q2,41.0,318820,368567,,128.6,111.2,884,765
abecma,2024Q3,47.0,318820,259771,,147.4,180.9,1032,946
abecma,2024Q4,46.0,318820,259771,259771,144.3,177.1,1176,1123
abecma,2025Q1,45.0,318820,259771,259771,141.1,173.2,1317,1296
abecma,2025Q2,40.0,318820,259771,259771,125.5,154.0,1443,1450
abecma,2025Q3,86.0,318820,259771,259771,269.7,331.1,1712,1781
abecma,2025Q4,49.0,318820,259771,259771,153.7,188.6,1866,1970
carvykti,2023Q1,2.0,353400,454133,,5.7,4.4,6,4
carvykti,2023Q2,3.0,353400,454133,,8.5,6.6,14,11
carvykti,2023Q3,12.0,353400,454133,,34.0,26.4,48,37
carvykti,2023Q4,13.0,353400,454133,,36.8,28.6,85,66
carvykti,2024Q1,16.0,353400,454133,,45.3,35.2,130,101
carvykti,2024Q2,20.0,353400,454133,,56.6,44.0,187,145
carvykti,2024Q3,27.0,353400,454133,,76.4,59.5,263,205
carvykti,2024Q4,31.0,353400,454133,,87.7,68.3,351,273
carvykti,2025Q1,51.0,353400,454133,,144.3,112.3,495,385
carvykti,2025Q2,81.0,353400,322045,,229.2,251.5,724,637
carvykti,2025Q3,128.0,353400,322045,,362.2,397.5,1087,1034
carvykti,2025Q4,135.0,353400,322045,,382.0,419.2,1469,1454
carvykti,2026Q1,164.0,353400,322045,,464.1,509.2,1933,1963
carvykti,2026Q2,185.0,353400,322045,,523.5,574.5,2456,2537
