product,quarter,revenue_total_usd_m,revenue_us_usd_m,launch_list_price_usd,us_price_in_force_usd,price_basis,patients_us_at_price_in_force,patients_ex_us_at_factor,patients_variant,cumulative_variant,patients_central_main,cumulative_central_main,in_scope
abecma,2021Q2,24.0,24.0,419500.0,419500,WAC 2021,57.2,0.0,57.2,57.2,75.3,75.3,True
abecma,2021Q3,71.0,67.0,419500.0,419500,WAC 2021,159.7,12.5,172.3,229.5,222.7,298.0,True
abecma,2021Q4,69.0,67.0,419500.0,419500,WAC 2021,159.7,6.3,166.0,395.5,216.4,514.4,True
abecma,2022Q1,67.0,56.0,419500.0,419500,WAC 2022,133.5,34.5,168.0,563.5,210.1,724.5,True
abecma,2022Q2,89.0,72.0,419500.0,419500,WAC 2022,171.6,53.3,225.0,788.4,279.2,1003.7,True
abecma,2022Q3,107.0,75.0,419500.0,419500,WAC 2022,178.8,100.4,279.2,1067.6,335.6,1339.3,True
abecma,2022Q4,125.0,94.0,419500.0,419500,WAC 2022,224.1,97.2,321.3,1388.9,392.1,1731.4,True
abecma,2023Q1,147.0,118.0,419500.0,457255,WAC 2023,258.1,91.0,349.0,1737.9,461.1,2192.5,True
abecma,2023Q2,132.0,115.0,419500.0,456088,implied ASP (CMS payment limit / 1.06),252.1,53.3,305.5,2043.4,414.0,2606.5,True
abecma,2023Q3,93.0,69.0,419500.0,457255,implied ASP (CMS payment limit / 1.06),150.9,75.3,226.2,2269.5,291.7,2898.2,True
abecma,2023Q4,100.0,56.0,419500.0,457255,implied ASP (CMS payment limit / 1.06),122.5,138.0,260.5,2530.0,313.7,3211.8,True
abecma,2024Q1,82.0,52.0,419500.0,474957,implied ASP (CMS payment limit / 1.06),109.5,94.1,203.6,2733.6,257.2,3469.0,True
abecma,2024Q2,95.0,54.0,419500.0,496781,implied ASP (CMS payment limit / 1.06),108.7,128.6,237.3,2970.9,298.0,3767.0,True
abecma,2024Q3,124.0,77.0,419500.0,498408,implied ASP (CMS payment limit / 1.06),154.5,147.4,301.9,3272.8,388.9,4156.0,True
abecma,2024Q4,105.0,59.0,419500.0,497757,implied ASP (CMS payment limit / 1.06),118.5,144.3,262.8,3535.6,329.3,4485.3,True
abecma,2025Q1,103.0,59.0,419500.0,510623,implied ASP (CMS payment limit / 1.06),115.5,138.0,253.6,3789.2,323.1,4808.4,True
abecma,2025Q2,87.0,47.0,419500.0,525772,implied ASP (CMS payment limit / 1.06),89.4,125.5,214.9,4004.0,272.9,5081.2,True
abecma,2025Q3,137.0,51.0,419500.0,526492,implied ASP (CMS payment limit / 1.06),96.9,269.7,366.6,4370.6,429.7,5510.9,True
abecma,2025Q4,100.0,52.0,419500.0,528095,implied ASP (CMS payment limit / 1.06),98.5,150.6,249.0,4619.7,313.7,5824.6,True
amtagvi,2024Q1,0.0,,515000.0,515000,not in scope: class factor central kept,,,0.0,0.0,0.0,0.0,False
amtagvi,2024Q2,12.8,12.8,515000.0,515000,not in scope: class factor central kept,,,32.7,32.7,32.7,32.7,False
amtagvi,2024Q3,42.1,42.1,515000.0,515000,not in scope: class factor central kept,,,107.6,140.3,107.6,140.3,False
amtagvi,2024Q4,48.7,48.7,515000.0,515000,not in scope: class factor central kept,,,124.4,264.7,124.4,264.7,False
amtagvi,2025Q1,43.6,43.6,515000.0,515000,not in scope: class factor central kept,,,111.4,376.1,111.4,376.1,False
amtagvi,2025Q2,54.1,54.1,515000.0,515000,not in scope: class factor central kept,,,138.2,514.3,138.2,514.3,False
amtagvi,2025Q3,58.0,58.0,515000.0,515000,not in scope: class factor central kept,,,148.2,662.5,148.2,662.5,False
amtagvi,2025Q4,65.0,65.0,515000.0,515000,not in scope: class factor central kept,,,166.1,828.6,166.1,828.6,False
amtagvi,2026Q1,60.0,60.0,515000.0,515000,not in scope: class factor central kept,,,153.3,981.9,153.3,981.9,False
amtagvi,2026Q2,91.0,91.0,515000.0,515000,not in scope: class factor central kept,,,232.5,1214.4,232.5,1214.4,False
aucatzyl,2024Q4,0.0,,525000.0,525000,not in scope: class factor central kept,,,0.0,0.0,0.0,0.0,False
aucatzyl,2025Q1,9.0,,525000.0,525000,not in scope: class factor central kept,,,22.6,22.6,22.6,22.6,False
aucatzyl,2025Q2,20.9,,525000.0,525000,not in scope: class factor central kept,,,52.4,75.0,52.4,74.9,False
aucatzyl,2025Q3,21.1,,525000.0,525000,not in scope: class factor central kept,,,52.9,127.9,52.9,127.8,False
