product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes,product_key
Casgevy,list_price,2023-12-08,US,2200000,USD per treatment,Vertex set the list price for Casgevy at $2.2 million,"BioPharma Dive, ""CRISPR therapy for sickle cell approved by FDA in gene editing milestone"" (2023-12-08)",https://www.biopharmadive.com/news/crispr-fda-approval-sickle-cell-gene-editing-vertex-casgevy/701522/,provisional-from-snippet,"$2.2M is the wholesale acquisition cost (WAC) of the drug product only; excludes myeloablative conditioning, transplant hospitalisation and ATC fees. Vertex has never published the WAC in an SEC filing or its own press release - it was given to media (Bloomberg/BioPharma Dive/Reuters) on approval day.",casgevy
Casgevy,list_price,2023-12-08,US,2200000,USD per treatment,Wholesale Acquisition Cost For Casgevy In U.S. At $2.2m,Bloomberg via StreetInsider (2023-12-08),https://www.streetinsider.com/Rumors/Vertex+Pharma+(VRTX):+Wholesale+Acquisition+Cost+For+Casgevy+In+U.S.+At+$2.2m+-+Bloomberg/22507869.html,provisional-from-snippet,Corroborating secondary source for the same WAC figure.,casgevy
Casgevy,list_price,2025-02-04,England (NHS),1650000,GBP per treatment,The listed price for a single dose of Casgevy is £1.65 million; the NHS has agreed a confidential discount,NICE TA1044 / NICE TA1017 coverage; NHS England managed access agreement,https://www.nice.org.uk/guidance/ta1044,provisional-from-snippet,"NICE guidance page returned HTTP 403 to direct fetch; figure taken from multiple secondary reports of the NICE appraisals (TDT recommended Aug/Sep 2024, SCD Jan/Feb 2025). Actual NHS price is confidential under a Commercial Access Agreement via the Innovative Medicines Fund, so net revenue per English patient is unknown and below list.",casgevy
Casgevy,list_price,2024-01-16,Saudi Arabia / Bahrain / UAE,,USD per treatment,"Reimbursement agreements have been established with Bahrain, the Kingdom of Saudi Arabia, and the United Arab Emirates","Secondary press (Pharmaceutical Technology, The National); Vertex quarterly releases confirm reimbursed access",https://www.pharmaceutical-technology.com/analyst-comment/casgevy-launch-crispr-therapy/,provisional-from-snippet,"No public per-patient price for KSA, Bahrain, UAE, Qatar or Kuwait. Gulf contracts are confidential. GAP for the revenue-per-patient calculation.",casgevy
Casgevy,centres,2023-12-31,US / EU / KSA,16,authorized treatment centres,Vertex has activated 12 authorized treatment centers (ATCs) in the U.S. and three in the EU ... Vertex has also activated one of two planned ATCs in KSA.,"Vertex 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results (2024-02-05)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000012/ex-991_q42023.htm,verified-from-source,"12 US + 3 EU + 1 KSA = 16 total, summed by analyst.",casgevy
Casgevy,centres,2024-04-15,Global,25,authorized treatment centres,"As of mid-April, Vertex has activated more than 25 authorized treatment centers (ATCs) globally and multiple patients across all regions have initiated cell collection.","Vertex 8-K Ex-99.1, First Quarter 2024 Financial Results (2024-05-06)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000137/ex-991_q12024.htm,verified-from-source,"Value is a floor (""more than 25""). As-of date is mid-April 2024, not quarter end.",casgevy
Casgevy,patients_cell_collection,2024-04-15,Global,,patients,multiple patients across all regions have initiated cell collection,"Vertex 8-K Ex-99.1, First Quarter 2024 Financial Results (2024-05-06)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000137/ex-991_q12024.htm,verified-from-source,Qualitative only - no number given.,casgevy
Casgevy,centres,2024-07-15,Global,35,authorized treatment centres,"As of mid-July, Vertex has activated more than 35 authorized treatment centers (ATCs) globally and increasing numbers of patients across all regions have initiated cell collection.","Vertex 8-K Ex-99.1, Second Quarter 2024 Financial Results (2024-08-01)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000193/ex-991_q22024.htm,verified-from-source,"Value is a floor (""more than 35"").",casgevy
Casgevy,centres,2024-10-15,Global,45,authorized treatment centres,"As of mid-October, Vertex has activated 45 authorized treatment centers (ATCs) globally and increasing numbers of patients across all regions have initiated cell collection.","Vertex 8-K Ex-99.1, Third Quarter 2024 Financial Results (2024-11-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000221/ex-991_q32024.htm,verified-from-source,"Exact figure, not a floor.",casgevy
Casgevy,patients_infused,2024-09-30,Global,1,patients,"In the third quarter of 2024, Vertex's product revenue included revenue from the first patient infused with CASGEVY.","Vertex 8-K Ex-99.1, Third Quarter 2024 Financial Results (2024-11-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000221/ex-991_q32024.htm,verified-from-source,"KEY: establishes that revenue recognition is triggered by infusion. Q3 2024 revenue $2.0M against ""the first patient infused"" - implies more than one infusion recognised or ex-US pricing differences; treat count of 1 as a floor for cumulative infusions at 2024-09-30.",casgevy
