product,quarter_end,keys_in_force,prevalent_low,prevalent_high,inflow_low,inflow_high,pool_low,pool_high,counting_inflow
abecma,2021-06-30,US:MM_5L,0,0,725.4,2664.9,725,2665,True
abecma,2021-09-30,US:MM_5L,0,0,725.4,2664.9,1451,5330,True
abecma,2021-12-31,US:MM_5L,0,0,725.4,2664.9,2176,7995,True
abecma,2022-03-31,US:MM_5L,0,0,709.7,2607.0,2886,10602,True
abecma,2022-06-30,US:MM_5L,0,0,725.4,2664.9,3611,13267,True
abecma,2022-09-30,US:MM_5L,0,0,725.4,2664.9,4337,15932,True
abecma,2022-12-31,US:MM_5L,0,0,725.4,2664.9,5062,18596,True
abecma,2023-03-31,US:MM_5L,0,0,709.7,2607.0,5772,21203,True
abecma,2023-06-30,US:MM_5L,0,0,725.4,2664.9,6497,23868,True
abecma,2023-09-30,US:MM_5L,0,0,725.4,2664.9,7223,26533,True
abecma,2023-12-31,US:MM_5L,0,0,725.4,2664.9,7948,29198,True
abecma,2024-03-31,US:MM_5L,0,0,717.5,2635.9,8666,31834,True
abecma,2024-06-30,US:MM_3L,0,0,2086.7,4842.9,10752,36677,True
abecma,2024-09-30,US:MM_3L,0,0,2148.6,4941.9,12901,41619,True
abecma,2024-12-31,US:MM_3L,0,0,2148.6,4941.9,15049,46561,True
abecma,2025-03-31,US:MM_3L,0,0,2101.8,4834.5,17151,51395,True
abecma,2025-06-30,US:MM_3L,0,0,2148.6,4941.9,19300,56337,True
abecma,2025-09-30,US:MM_3L,0,0,2148.6,4941.9,21448,61279,True
abecma,2025-12-31,US:MM_3L,0,0,2148.6,4941.9,23597,66221,True
breyanzi,2021-06-30,US:LBCL_3L,0,0,1486.6,2437.7,1487,2438,True
breyanzi,2021-09-30,US:LBCL_3L,0,0,1486.6,2437.7,2973,4875,True
breyanzi,2021-12-31,US:LBCL_3L,0,0,1486.6,2437.7,4460,7313,True
breyanzi,2022-03-31,US:LBCL_3L,0,0,1454.3,2384.7,5914,9698,True
breyanzi,2022-06-30,US:LBCL_2L,0,0,1430.7,2366.6,7345,12065,True
breyanzi,2022-09-30,US:LBCL_2L,0,0,751.6,1503.5,8096,13568,True
breyanzi,2022-12-31,US:LBCL_2L,0,0,751.6,1503.5,8848,15071,True
breyanzi,2023-03-31,US:LBCL_2L,0,0,735.3,1470.8,9583,16542,True
breyanzi,2023-06-30,US:LBCL_2L,0,0,751.6,1503.5,10335,18046,True
breyanzi,2023-09-30,US:LBCL_2L,0,0,751.6,1503.5,11087,19549,True
breyanzi,2023-12-31,US:LBCL_2L,0,0,751.6,1503.5,11838,21053,True
breyanzi,2024-03-31,US:CLL US:LBCL_2L,0,0,743.4,1487.1,12582,22540,True
breyanzi,2024-06-30,US:CLL US:FL_3L US:LBCL_2L US:MCL,0,0,751.6,1503.5,13333,24043,True
breyanzi,2024-09-30,US:CLL US:FL_3L US:LBCL_2L US:MCL,0,0,751.6,1503.5,14085,25547,True
breyanzi,2024-12-31,US:CLL US:FL_3L US:LBCL_2L US:MCL,0,0,751.6,1503.5,14836,27050,True
breyanzi,2025-03-31,US:CLL US:FL_3L US:LBCL_2L US:MCL,0,0,735.3,1470.8,15572,28521,True
breyanzi,2025-06-30,US:CLL US:FL_3L US:LBCL_2L US:MCL,0,0,751.6,1503.5,16323,30025,True
breyanzi,2025-09-30,US:CLL US:FL_3L US:LBCL_2L US:MCL,0,0,751.6,1503.5,17075,31528,True
breyanzi,2025-12-31,US:CLL US:FL_3L US:LBCL_2L US:MCL US:MZL_3L,0,0,751.6,1503.5,17827,33032,True
breyanzi,2026-03-31,US:CLL US:FL_3L US:LBCL_2L US:MCL US:MZL_3L,0,0,735.3,1470.8,18562,34502,True
breyanzi,2026-06-30,US:CLL US:FL_3L US:LBCL_2L US:MCL US:MZL_3L,0,0,751.6,1503.5,19313,36006,True
carvykti,2022-06-30,US:MM_5L,0,0,725.4,2664.9,725,2665,True
carvykti,2022-09-30,US:MM_5L,0,0,725.4,2664.9,1451,5330,True
carvykti,2022-12-31,US:MM_5L,0,0,725.4,2664.9,2176,7995,True
carvykti,2023-03-31,US:MM_5L,0,0,709.7,2607.0,2886,10602,True
carvykti,2023-06-30,US:MM_5L,0,0,725.4,2664.9,3611,13267,True
carvykti,2023-09-30,US:MM_5L,0,0,725.4,2664.9,4337,15932,True
carvykti,2023-12-31,US:MM_5L,0,0,725.4,2664.9,5062,18596,True
carvykti,2024-03-31,US:MM_5L,0,0,717.5,2635.9,5780,21232,True
carvykti,2024-06-30,US:MM_2L,0,0,3726.7,6919.0,9506,28151,True
carvykti,2024-09-30,US:MM_2L,0,0,3899.1,7163.5,13406,35315,True
carvykti,2024-12-31,US:MM_2L,0,0,3899.1,7163.5,17305,42479,True
carvykti,2025-03-31,US:MM_2L,0,0,3814.4,7007.8,21119,49486,True
carvykti,2025-06-30,US:MM_2L,0,0,3899.1,7163.5,25018,56650,True
carvykti,2025-09-30,US:MM_2L,0,0,3899.1,7163.5,28917,63813,True
carvykti,2025-12-31,US:MM_2L,0,0,3899.1,7163.5,32816,70977,True
carvykti,2026-03-31,US:MM_2L,0,0,3814.4,7007.8,36631,77985,True
carvykti,2026-06-30,US:MM_2L,0,0,3899.1,7163.5,40530,85148,True
casgevy,2023-12-31,US:SCD_VOC_12plus,20000,25000,0.0,0.0,20000,25000,False
casgevy,2024-03-31,EU:SCD_VOC_12plus EU:TDT_12plus US:SCD_VOC_12plus US:TDT_12plus,57000,62000,0.0,0.0,57000,62000,False
casgevy,2024-06-30,EU:SCD_VOC_12plus EU:TDT_12plus US:SCD_VOC_12plus US:TDT_12plus,57000,62000,0.0,0.0,57000,62000,False
casgevy,2024-09-30,EU:SCD_VOC_12plus EU:TDT_12plus US:SCD_VOC_12plus US:TDT_12plus,57000,62000,0.0,0.0,57000,62000,True
casgevy,2024-12-31,EU:SCD_VOC_12plus EU:TDT_12plus US:SCD_VOC_12plus US:TDT_12plus,57000,62000,0.0,0.0,57000,62000,True
casgevy,2025-03-31,EU:SCD_VOC_12plus EU:TDT_12plus US:SCD_VOC_12plus US:TDT_12plus,57000,62000,0.0,0.0,57000,62000,True
casgevy,2025-06-30,EU:SCD_VOC_12plus EU:TDT_12plus US:SCD_VOC_12plus US:TDT_12plus,57000,62000,0.0,0.0,57000,62000,True
casgevy,2025-09-30,EU:SCD_VOC_12plus EU:TDT_12plus US:SCD_VOC_12plus US:TDT_12plus,57000,62000,0.0,0.0,57000,62000,True
casgevy,2025-12-31,EU:SCD_VOC_12plus EU:TDT_12plus US:SCD_VOC_12plus US:TDT_12plus,57000,62000,0.0,0.0,57000,62000,True
casgevy,2026-03-31,EU:SCD_VOC_12plus EU:TDT_12plus US:SCD_VOC_12plus US:TDT_12plus,57000,62000,0.0,0.0,57000,62000,True
casgevy,2026-06-30,EU:SCD_VOC_12plus EU:TDT_12plus US:SCD_VOC_12plus US:TDT_12plus,57000,62000,0.0,0.0,57000,62000,True
elevidys,2023-09-30,US:DMD_4plus US:DMD_4to5_amb,728,1114,91.7,140.3,820,1254,True
elevidys,2023-12-31,US:DMD_4plus US:DMD_4to5_amb,728,1114,91.7,140.3,911,1395,True
elevidys,2024-03-31,US:DMD_4plus US:DMD_4to5_amb,728,1114,90.7,138.8,1002,1533,True
elevidys,2024-06-30,US:DMD_4plus US:DMD_4plus_amb US:DMD_4plus_nonamb,4449,14895,91.7,140.3,4815,15455,True
elevidys,2024-09-30,US:DMD_4plus US:DMD_4plus_amb US:DMD_4plus_nonamb,4449,14895,91.7,140.3,4906,15595,True
elevidys,2024-12-31,US:DMD_4plus US:DMD_4plus_amb US:DMD_4plus_nonamb,4449,14895,91.7,140.3,4998,15735,True
elevidys,2025-03-31,US:DMD_4plus US:DMD_4plus_amb US:DMD_4plus_nonamb,4449,14895,89.7,137.2,5088,15873,True
elevidys,2025-06-30,US:DMD_4plus US:DMD_4plus_amb US:DMD_4plus_nonamb,4449,14895,91.7,140.3,5179,16013,True
elevidys,2025-09-30,US:DMD_4plus US:DMD_4plus_amb US:DMD_4plus_nonamb,4449,14895,91.7,140.3,5271,16153,True
elevidys,2025-12-31,US:DMD_4plus US:DMD_4plus_amb,2657,8895,91.7,140.3,3571,10293,True
elevidys,2026-03-31,US:DMD_4plus US:DMD_4plus_amb,2657,8895,89.7,137.2,3661,10431,True
