product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Abecma,list_price,2021-03-26,US,419500,USD per treatment,"Table 1 (Abecma, Idecabtagene vicleucel): market date 2021-03-26; WAC (launch) $419,500; WAC 2022 $419,500; WAC 2023 $457,255; WAC 2024 $498,408; WAC 2025 $528,312; CAGR 6.31%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. Launch WAC. USD 419,500 is the launch WAC stated by BMS/bluebird bio at approval (26 Mar 2021) and reported by trade press; no BMS or 2seventy filing read here states the price."
Abecma,list_price,2022,US,419500,USD per treatment,"Table 1 (Abecma, Idecabtagene vicleucel): market date 2021-03-26; WAC (launch) $419,500; WAC 2022 $419,500; WAC 2023 $457,255; WAC 2024 $498,408; WAC 2025 $528,312; CAGR 6.31%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 419,500 is the launch WAC stated by BMS/bluebird bio at approval (26 Mar 2021) and reported by trade press; no BMS or 2seventy filing read here states the price."
Abecma,list_price,2023,US,457255,USD per treatment,"Table 1 (Abecma, Idecabtagene vicleucel): market date 2021-03-26; WAC (launch) $419,500; WAC 2022 $419,500; WAC 2023 $457,255; WAC 2024 $498,408; WAC 2025 $528,312; CAGR 6.31%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 419,500 is the launch WAC stated by BMS/bluebird bio at approval (26 Mar 2021) and reported by trade press; no BMS or 2seventy filing read here states the price."
Abecma,list_price,2024,US,498408,USD per treatment,"Table 1 (Abecma, Idecabtagene vicleucel): market date 2021-03-26; WAC (launch) $419,500; WAC 2022 $419,500; WAC 2023 $457,255; WAC 2024 $498,408; WAC 2025 $528,312; CAGR 6.31%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 419,500 is the launch WAC stated by BMS/bluebird bio at approval (26 Mar 2021) and reported by trade press; no BMS or 2seventy filing read here states the price."
Abecma,list_price,2025,US,528312,USD per treatment,"Table 1 (Abecma, Idecabtagene vicleucel): market date 2021-03-26; WAC (launch) $419,500; WAC 2022 $419,500; WAC 2023 $457,255; WAC 2024 $498,408; WAC 2025 $528,312; CAGR 6.31%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 419,500 is the launch WAC stated by BMS/bluebird bio at approval (26 Mar 2021) and reported by trade press; no BMS or 2seventy filing read here states the price."
Abecma,statement,2021-03-31,US,,,"In March, the company and bluebird bio, Inc. (NASDAQ: BLUE) announced that the FDA has approved Abecma (idecabtagene vicleucel; ide-cel) as the first B-cell maturation antigen (BCMA)-directed chimeric antigen receptor (CAR) T cell immunotherapy for the treatment of adult patients with relapsed or refractory multiple myeloma after four or more prior lines of therapy, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody.","Bristol Myers Squibb Reports First Quarter Financial Results for 2021 (press release, Form 8-K exhibit 99.1, 29 Apr 2021)",https://www.sec.gov/Archives/edgar/data/14272/000001427221000124/q12021ex991.htm,verified-from-source,"Abecma has no row in the Q1 2021 product revenue table; first revenue reported in Q2 2021 (USD 24m, all U.S.). bluebird bio's oncology business (including the Abecma US 50/50 share) was spun out as 2seventy bio in Nov 2021."
Abecma,statement,2024-12-31,US,242,USD million,"Revenue from sales of Abecma in the United States in 2024 equaled $242 million, which is shared equally between us and BMS along with the related cost of sales and other commercialization costs.","2seventy bio, Inc. Form 10-K for fiscal year 2024 (filed 25 Mar 2025)",https://www.sec.gov/Archives/edgar/data/1860782/000186078225000024/tsvt-20241231.htm,verified-from-source,"2seventy bio's statement of U.S. Abecma revenue for FY2024 equals BMS's reported U.S. figure (USD 242m), so no US-revenue discrepancy between the partners for 2024. 2seventy shares U.S. profit/loss 50/50 with BMS; ex-US is BMS only (royalty to 2seventy)."
Abecma,statement,2025-03-10,US,,,"On March 10, 2025, we entered into the BMS Merger Agreement, pursuant to which, and upon the terms and subject to the conditions thereof, a wholly-owned subsidiary of BMS will commence a tender offer to purchase all of our outstanding common stock at a cash price of $5.00 per share, less any applicable withholding taxes and without interest.","2seventy bio, Inc. Form 10-K for fiscal year 2024 (filed 25 Mar 2025)",https://www.sec.gov/Archives/edgar/data/1860782/000186078225000024/tsvt-20241231.htm,verified-from-source,"BMS acquired 2seventy bio; the Q2 2026 BMS 10-Q states 'On May 13, 2025, BMS completed the acquisition of 2seventy bio'. After this date there is no independent partner disclosure of U.S. Abecma revenue."
Abecma,statement,2024-03-31,US,,,The FDA approved Abecma for the treatment of adult patients with relapsed or refractory multiple myeloma,"Bristol Myers Squibb Reports First Quarter Financial Results for 2024 (press release, Form 8-K exhibit 99.1, 25 Apr 2024)",https://www.sec.gov/Archives/edgar/data/14272/000001427224000094/q12024ex991-filing.htm,verified-from-source,"Earlier-line (after two or more prior lines, KarMMa-3) US approval April 2024 and EC approval reported in the Q1 2024 release. U.S. revenue nevertheless fell 44% in Q1 2024 (competition from Carvykti and bispecifics)."
Abecma,statement,2025-06-30,US,,,The FDA approved label updates for CAR T cell therapies Breyanzi and Abecma that reduce certain patient monitoring requirements and remove the Risk Evaluation and Mitigation Strategy (REMS) programs that were in place since each product was initially approved.,"Bristol Myers Squibb Reports Second Quarter Financial Results for 2025 (press release, Form 8-K exhibit 99.1, 31 Jul 2025)",https://www.sec.gov/Archives/edgar/data/14272/000001427225000129/a2025q2ex991-filing.htm,verified-from-source,REMS removal (June 2025).
