product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Amtagvi,list_price,2024-02-16,US,515000,USD per treatment,"Amtagvi will be sold in the U.S. at a list price of $515,000 per patient, interim CEO Frederick Vogt said on a conference call.","Reuters (2024-02-17), as shown in Brave search results; corroborated by Fierce Pharma (2024-02-20): 'Iovance prices Amtagvi ... at a wholesale acquisition cost of $515,000 per patient', BioPharma Dive (2024-02-20) and NCI Cancer Currents ('According to the company, a single treatment with lifileucel will cost $515,000')",https://search.brave.com/search?q=Iovance+Amtagvi+lifileucel+price+%24515%2C000+wholesale+acquisition+cost&source=web,provisional-from-snippet,"WAC of the Amtagvi product only; excludes lymphodepletion, Proleukin (IL-2), hospitalisation and ATC fees. Stated by Iovance on its approval-day call (2024-02-16); none of the eight Iovance 8-K earnings exhibits read for this batch states the price. Article URLs not captured from the results page."
Amtagvi,centres,2024-05-09,US,40,authorized treatment centres,Onboarding is complete at more than 40 U.S. ATCs,"Iovance 8-K Ex-99.1, First Quarter 2024 Financial Results and Corporate Updates (2024-05-09)",https://www.sec.gov/Archives/edgar/data/1425205/000110465924059322/tm2413980d1_ex99-1.htm,verified-from-source,Floor ('more than 40'). Release adds expectations of approximately 50 ATCs by end of May 2024 and more than 70 by end of 2024.
Amtagvi,patients_enrolled,2024-05-09,US,100,patients enrolled (cumulative),more than 100 patients have enrolled for Amtagvi therapy,"Iovance 8-K Ex-99.1, First Quarter 2024 Financial Results and Corporate Updates (2024-05-09)",https://www.sec.gov/Archives/edgar/data/1425205/000110465924059322/tm2413980d1_ex99-1.htm,verified-from-source,"Enrolment (treatment initiated/scheduled), not infusion; floor. First commercial infusion occurred in April 2024."
Amtagvi,statement,2024-05-09,US,34,days manufacturing turnaround,approximately 34 days from inbound to return shipment to ATCs,"Iovance 8-K Ex-99.1, First Quarter 2024 Financial Results and Corporate Updates (2024-05-09)",https://www.sec.gov/Archives/edgar/data/1425205/000110465924059322/tm2413980d1_ex99-1.htm,verified-from-source,Manufacturing turnaround at launch; by Aug 2026 stated as '31 days or less'.
Amtagvi,statement,2024-11-07,US,NA,revenue recognition basis,"Amtagvi launch, with revenue recognized upon patient infusion","Iovance 8-K Ex-99.1, Third Quarter and Year to Date 2024 Financial Results (2024-11-07)",https://www.sec.gov/Archives/edgar/data/1425205/000110465924115300/tm2427769d1_ex99-1.htm,verified-from-source,"KEY: Amtagvi revenue is recognised on infusion, so quarterly revenue divided by net price approximates patients infused in the quarter. Same release: 'Proleukin revenue is recognized upon delivery to distributors and ATCs'. Reiterated in the Q4 2024 release: 'Amtagvi revenue is recognized upon patient infusion'."
Amtagvi,patients_cumulative,2024-11-07,US,146,patients infused (cumulative since launch),A total of 146 patients have been infused with Amtagvi since the first commercial infusion in April 2024,"Iovance 8-K Ex-99.1, Third Quarter and Year to Date 2024 Financial Results (2024-11-07)",https://www.sec.gov/Archives/edgar/data/1425205/000110465924115300/tm2427769d1_ex99-1.htm,verified-from-source,"As of the release date (2024-11-07), not quarter end. Cross-check: Amtagvi revenue through 2024-09-30 was 54.9 (about 110-120 patients at 465-500k net per patient), so 146 by early November is consistent."
Amtagvi,centres,2024-11-07,US,56,authorized treatment centres,Onboarding is complete at 56 U.S. ATCs across 29 states,"Iovance 8-K Ex-99.1, Third Quarter and Year to Date 2024 Financial Results (2024-11-07)",https://www.sec.gov/Archives/edgar/data/1425205/000110465924115300/tm2427769d1_ex99-1.htm,verified-from-source,Exact figure.
Amtagvi,centres,2025-02-27,US,70,authorized treatment centres,Approximately 70 U.S. ATCs are active across 32 states,"Iovance 8-K Ex-99.1, Fourth Quarter and Full Year 2024 Financial Results (2025-02-27)",https://www.sec.gov/Archives/edgar/data/1425205/000110465925018212/tm257755d1_ex99-1.htm,verified-from-source,"Approximate. Same release: '64% infused one or more patients, and 13% infused more than 10 patients' (share of ATCs). Also: 'A total of 15 active ATCs are targeted by year-end to support initial launch' (ex-US, Canada/UK)."
Amtagvi,statement,2025-02-27,US,NA,revenue guidance,Total product revenue guidance within the range of $450 to $475 million for 2025,"Iovance 8-K Ex-99.1, Fourth Quarter and Full Year 2024 Financial Results (2025-02-27)",https://www.sec.gov/Archives/edgar/data/1425205/000110465925018212/tm257755d1_ex99-1.htm,verified-from-source,Guidance later cut: Aug 2025 and Nov 2025 releases reiterate 'within the range of $250 to $300 million in the first full calendar year of Amtagvi sales'. Actual FY2025 total product revenue ~264.
Amtagvi,patients_period,2025-06-30,US,102,patients treated in quarter,"Product revenue from U.S. Amtagvi sales was $54.1 million, representing 102 commercial patients treated.","Iovance 8-K Ex-99.1, Second Quarter and First Half 2025 Financial Results (2025-08-07)",https://www.sec.gov/Archives/edgar/data/1425205/000110465925075175/tm2522769d1_ex99-1.htm,verified-from-source,"KEY calibration point: 54.1 / 102 = 0.530 million net revenue per patient in Q2 2025 (above the 2024 WAC of 0.515, implying a WAC increase before Q2 2025)."
