product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Aucatzyl,list_price,2024-11-08,US,525000,USD per treatment (WAC),"$525,000 WAC","Autolus Therapeutics 8-K Ex-99.2, AUCATZYL FDA approval conference call presentation (filed 2024-11-12)",https://www.sec.gov/Archives/edgar/data/1730463/000173046324000129/autlex-992cp111124.htm,verified-from-source,"Company statement on the FDA-approval conference call slides: wholesale acquisition cost before discounts, rebates or price concessions; single treatment course given as two split doses."
Aucatzyl,centres,2024-11-08,US,30,key centres targeted for activation,"30 key centers primed for activation covering ~ 60% of r/r B-ALL target population with ~30 additional centers to follow by end 2025","Autolus Therapeutics 8-K Ex-99.2, AUCATZYL FDA approval conference call presentation (filed 2024-11-12)",https://www.sec.gov/Archives/edgar/data/1730463/000173046324000129/autlex-992cp111124.htm,verified-from-source,"Plan at approval, not an activated count."
Aucatzyl,centres,2025-05-07,US,39,centres fully activated,"The Company has 39 centers fully activated in the U.S. as of May 7, 2025.","Autolus Therapeutics 8-K Ex-99.1, First Quarter 2025 Financial Results and Business Updates (2025-05-08)",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000032/autlex-991pr080525.htm,verified-from-source,""
Aucatzyl,statement,2025-05-08,US,,payer coverage,"Patient access to AUCATZYL continues to increase, with coverage secured for approximately 90% of total U.S. medical lives.","Autolus Therapeutics 8-K Ex-99.1, First Quarter 2025 Financial Results and Business Updates (2025-05-08)",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000032/autlex-991pr080525.htm,verified-from-source,""
Aucatzyl,centres,2025-08-12,US,46,centres fully activated,"The Company has 46 centers fully activated in the U.S. as of August 12, 2025.","Autolus Therapeutics 8-K Ex-99.1, Second Quarter 2025 Financial Results and Business Updates (2025-08-12)",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000064/autlex-991pr120825.htm,verified-from-source,"Coverage 'greater than 90% of total U.S. medical lives'."
Aucatzyl,statement,2025-08-12,Europe,,regulatory / reimbursement,"On April 25, 2025, the UK Medicines and Healthcare products Regulatory Agency (MHRA) granted conditional marketing authorization for AUCATZYL ... On July 17, 2025, the European Commission (EC) granted conditional marketing authorization for AUCATZYL in adult patients (age 26 and older) with r/r B-ALL. ... the National Institute for Health and Care Excellence (NICE) issued a preliminary Appraisal Consultation Decision (ACD) recommending against funding for AUCATZYL.","Autolus Therapeutics 8-K Ex-99.1, Second Quarter 2025 Financial Results and Business Updates (2025-08-12)",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000064/autlex-991pr120825.htm,verified-from-source,"Three sentences joined. NICE later recommended it (UK launch December 2025 / January 2026)."
Aucatzyl,centres,2025-11-12,US,60,centres fully activated,"The Company has 60 centers fully activated in the U.S. as of November 12, 2025","Autolus Therapeutics 8-K Ex-99.1, Third Quarter 2025 Financial Results and Business Updates (2025-11-12)",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000081/autlex-991pr121125.htm,verified-from-source,"'achieving the target of 60 activated centers prior to year-end'."
Aucatzyl,statement,2025-09-30,US,,revenue recognition,"Deferred revenue balance at September 30, 2025, was $7.6 million, representing product that was shipped and received by centers but not yet dosed","Autolus Therapeutics 8-K Ex-99.1, Third Quarter 2025 Financial Results and Business Updates (2025-11-12)",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000081/autlex-991pr121125.htm,verified-from-source,"KEY: revenue is recognised on dosing, not on shipment; deferred balance is a leading indicator of next-quarter infusions."
Aucatzyl,centres,2026-01-12,US,60,centres offering treatment,"more than 60 centers offering treatment","Autolus Therapeutics 8-K Ex-99.1, Preliminary Unaudited Fourth Quarter and Full Year 2025 Net Product Revenue, Pipeline Advancements and Outlook for 2026 (2026-01-12)",https://www.sec.gov/Archives/edgar/data/1730463/000173046326000012/autlex-991pr120126.htm,verified-from-source,"Floor."
Aucatzyl,statement,2026-01-12,Europe,,UK launch,"initiating our commercial launch in the UK in December under routine commissioning - a first for a CAR T therapy in the UK","Autolus Therapeutics 8-K Ex-99.1, Preliminary Unaudited Fourth Quarter and Full Year 2025 Net Product Revenue, Pipeline Advancements and Outlook for 2026 (2026-01-12)",https://www.sec.gov/Archives/edgar/data/1730463/000173046326000012/autlex-991pr120126.htm,verified-from-source,"First ex-US market; no ex-US revenue split disclosed."
Aucatzyl,statement,2026-03-27,US,,revenue recognition / reporting change,"*Net product revenue reflects year-end refinement of revenue recognition timing upon second dose administration only.","Autolus Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial Results and Business Updates (2026-03-27)",https://www.sec.gov/Archives/edgar/data/1730463/000173046326000032/autlex-991pr270326.htm,verified-from-source,"Footnote to the FY2025 revenue table: revenue now recognised only when the second (final) split dose is administered."
Aucatzyl,statement,2026-03-27,Europe,,UK launch,"Following a successful National Institute for Health and Care Excellence (NICE) evaluation, AUCATZYL launched in the UK in January 2026","Autolus Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial Results and Business Updates (2026-03-27)",https://www.sec.gov/Archives/edgar/data/1730463/000173046326000032/autlex-991pr270326.htm,verified-from-source,""
Aucatzyl,patients_cumulative,2026-01-31,US,,patients,"ROCCA consortium registry covered approximately 60% of US commercial patients at a data cutoff of January 2026.","Autolus Therapeutics 8-K Ex-99.1, First Quarter 2026 Financial Results and Business Updates (2026-05-14)",https://www.sec.gov/Archives/edgar/data/1730463/000173046326000058/autlex-991pr140526.htm,not-disclosed,"No absolute count of patients treated or infused appears in any Autolus release read (Q1 2025 to Q2 2026, JPM 2026, approval call). Analyst estimate only: FY2025 revenue $74.3M at ~$0.45-0.50M net per patient implies roughly 150-165 patients dosed in 2025 - not company data."
