product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Aucatzyl,2024Q4,Total,0.0,USD,"Autolus Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial Results and Business Updates (2026-03-27)",https://www.sec.gov/Archives/edgar/data/1730463/000173046326000032/autlex-991pr270326.htm,verified-from-source,"FDA approval 2024-11-08; Q4 2024 and FY2024 comparatives show no product revenue. Zero inferred from the nil comparative."
Aucatzyl,2025Q1,Total,9.0,USD,"Autolus Therapeutics 8-K Ex-99.1, First Quarter 2025 Financial Results and Business Updates (2025-05-08)",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000032/autlex-991pr080525.htm,verified-from-source,"First commercial quarter: 'Product revenue, net for the three months ended March 31, 2025 was $9.0 million.' All US (UK launch only from December 2025); no geographic split in any release read."
Aucatzyl,2025Q2,Total,20.9,USD,"Autolus Therapeutics 8-K Ex-99.1, Second Quarter 2025 Financial Results and Business Updates (2025-08-12)",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000064/autlex-991pr120825.htm,verified-from-source,"'Product revenue, net for the three months ended June 30, 2025 was $20.9 million.'"
Aucatzyl,2025H1,Total,29.9,USD,"Autolus Therapeutics 8-K Ex-99.1, Second Quarter 2025 Financial Results and Business Updates (2025-08-12)",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000064/autlex-991pr120825.htm,verified-from-source,"Half-year aggregate - do not double count. Release: '$29.9 for the first six months of 2025'; statement of operations (per Q2 2026 comparative) 29,905 thousand."
Aucatzyl,2025Q3,Total,21.1,USD,"Autolus Therapeutics 8-K Ex-99.1, Third Quarter 2025 Financial Results and Business Updates (2025-11-12)",https://www.sec.gov/Archives/edgar/data/1730463/000173046325000081/autlex-991pr121125.htm,verified-from-source,"Nine months 2025 = 51.049 (statement: 51,049 thousand). Deferred revenue $7.6 million at 2025-09-30 for product shipped to centres but not yet dosed."
Aucatzyl,2025Q4,Total,23.3,USD,"Autolus Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial Results and Business Updates (2026-03-27)",https://www.sec.gov/Archives/edgar/data/1730463/000173046326000032/autlex-991pr270326.htm,verified-from-source,"Preliminary 'approximately $24 million' announced 2026-01-12; final 23.3 after 'year-end refinement of revenue recognition timing upon second dose administration only'."
Aucatzyl,2025FY,Total,74.3,USD,"Autolus Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial Results and Business Updates (2026-03-27)",https://www.sec.gov/Archives/edgar/data/1730463/000173046326000032/autlex-991pr270326.htm,verified-from-source,"Annual aggregate row - do not double count (9.0 + 20.9 + 21.1 + 23.3). Preliminary figure was 'approximately $75 million'."
Aucatzyl,2026Q1,Total,26.2,USD,"Autolus Therapeutics 8-K Ex-99.1, First Quarter 2026 Financial Results and Business Updates (2026-05-14)",https://www.sec.gov/Archives/edgar/data/1730463/000173046326000058/autlex-991pr140526.htm,verified-from-source,"'net product revenue of $26.2 million for the first quarter of 2026' vs $9.0 million Q1 2025. UK launch (January 2026) included but not split out."
Aucatzyl,2026Q2,Total,45.7,USD,"Autolus Therapeutics 8-K Ex-99.1, Second Quarter 2026 Financial Results and Business Updates (2026-08-11)",https://www.sec.gov/Archives/edgar/data/1730463/000173046326000119/autlex-991pr110826a01.htm,verified-from-source,"Latest reported quarter as of 2026-09-04. '+119% year-over-year'. FY2026 guidance raised to $140-150 million (from $120-135 million in January 2026)."
Aucatzyl,2026H1,Total,71.9,USD,"Autolus Therapeutics 8-K Ex-99.1, Second Quarter 2026 Financial Results and Business Updates (2026-08-11)",https://www.sec.gov/Archives/edgar/data/1730463/000173046326000119/autlex-991pr110826a01.htm,verified-from-source,"Half-year aggregate - do not double count. Statement: 71,890 thousand."
