product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Breyanzi,list_price,2021-02-05,US,410300,USD per treatment,"Table 1 (Breyanzi, Lisocabtagene maraleucel): market date 2021-02-05; WAC (launch) $410,300; WAC 2022 $410,300; WAC 2023 $447,227; WAC 2024 $487,477; WAC 2025 $531,350; CAGR 6.85%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. Launch WAC. USD 410,300 is the launch WAC stated by BMS at approval (5 Feb 2021) and reported by trade press; no BMS filing read here states the price."
Breyanzi,list_price,2022,US,410300,USD per treatment,"Table 1 (Breyanzi, Lisocabtagene maraleucel): market date 2021-02-05; WAC (launch) $410,300; WAC 2022 $410,300; WAC 2023 $447,227; WAC 2024 $487,477; WAC 2025 $531,350; CAGR 6.85%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 410,300 is the launch WAC stated by BMS at approval (5 Feb 2021) and reported by trade press; no BMS filing read here states the price."
Breyanzi,list_price,2023,US,447227,USD per treatment,"Table 1 (Breyanzi, Lisocabtagene maraleucel): market date 2021-02-05; WAC (launch) $410,300; WAC 2022 $410,300; WAC 2023 $447,227; WAC 2024 $487,477; WAC 2025 $531,350; CAGR 6.85%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 410,300 is the launch WAC stated by BMS at approval (5 Feb 2021) and reported by trade press; no BMS filing read here states the price."
Breyanzi,list_price,2024,US,487477,USD per treatment,"Table 1 (Breyanzi, Lisocabtagene maraleucel): market date 2021-02-05; WAC (launch) $410,300; WAC 2022 $410,300; WAC 2023 $447,227; WAC 2024 $487,477; WAC 2025 $531,350; CAGR 6.85%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 410,300 is the launch WAC stated by BMS at approval (5 Feb 2021) and reported by trade press; no BMS filing read here states the price."
Breyanzi,list_price,2025,US,531350,USD per treatment,"Table 1 (Breyanzi, Lisocabtagene maraleucel): market date 2021-02-05; WAC (launch) $410,300; WAC 2022 $410,300; WAC 2023 $447,227; WAC 2024 $487,477; WAC 2025 $531,350; CAGR 6.85%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 410,300 is the launch WAC stated by BMS at approval (5 Feb 2021) and reported by trade press; no BMS filing read here states the price."
Breyanzi,statement,2021-03-31,US,,,"In February, the company announced that the FDA has approved Breyanzi (lisocabtagene maraleucel: liso-cel), a CD19-directed CAR T cell therapy for the treatment of adult patients with relapsed or refractory (R/R) large B-cell lymphoma (LBCL) after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B-cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B.","Bristol Myers Squibb Reports First Quarter Financial Results for 2021 (press release, Form 8-K exhibit 99.1, 29 Apr 2021)",https://www.sec.gov/Archives/edgar/data/14272/000001427221000124/q12021ex991.htm,verified-from-source,"Breyanzi has no row in the Q1 2021 product revenue table; first revenue reported in Q2 2021 (USD 17m, all U.S.)."
Breyanzi,statement,2022-06-30,US,,,The FDA approved Breyanzi for the treatment of adult patients with relapsed or refractory large B-cell lymphoma,"Bristol Myers Squibb Reports Second Quarter Financial Results for 2022 (press release, Form 8-K exhibit 99.1, 27 Jul 2022)",https://www.sec.gov/Archives/edgar/data/14272/000001427222000164/q22022ex991.htm,verified-from-source,"Second-line LBCL approval (June 2022), headline: 'Strengthens Cell Therapy Franchise with Broadest Label for Breyanzi in Relapsed or Refractory Large B-cell Lymphoma after One Prior Therapy'. EC approval of the third-line indication was reported in the Q1 2022 release."
Breyanzi,statement,2024-06-30,US,,,U.S. Approval of Breyanzi in Both Follicular Lymphoma and Mantle Cell Lymphoma,"Bristol Myers Squibb Reports Second Quarter Financial Results for 2024 (press release, Form 8-K exhibit 99.1, 26 Jul 2024)",https://www.sec.gov/Archives/edgar/data/14272/000001427224000121/q22024ex991-filing.htm,verified-from-source,Label expansions in Q2 2024 (FL and MCL); CLL accelerated approval reported in the Q1 2024 release. These coincide with the step-up in 2024 revenue.
Breyanzi,statement,2025-06-30,US,,,The FDA approved label updates for CAR T cell therapies Breyanzi and Abecma that reduce certain patient monitoring requirements and remove the Risk Evaluation and Mitigation Strategy (REMS) programs that were in place since each product was initially approved.,"Bristol Myers Squibb Reports Second Quarter Financial Results for 2025 (press release, Form 8-K exhibit 99.1, 31 Jul 2025)",https://www.sec.gov/Archives/edgar/data/14272/000001427225000129/a2025q2ex991-filing.htm,verified-from-source,REMS removal (June 2025) relevant to site expansion / access.
Breyanzi,statement,2026-01-31,US,,,The FDA approved Breyanzi as the first and only CAR T treatment for adult patients with relapsed or refractory marginal zone lymphoma who have received at least two prior lines.,"Bristol Myers Squibb Reports Fourth Quarter and Full-Year Financial Results for 2025 (press release, Form 8-K exhibit 99.1, 5 Feb 2026)",https://www.sec.gov/Archives/edgar/data/14272/000001427226000002/a2025q4ex991.htm,verified-from-source,"Reported in the Q4 2025 release (5 Feb 2026). No BMS press release read gives patients treated, treatment-centre counts or manufacturing capacity for Breyanzi; none found within the fetch budget."
