registry,geography,year,product_or_class,count,count_type,per_10m_population,verbatim,source_doc,source_url,status,notes
EBMT activity survey,Europe (EBMT survey area),2024,CAR-T all,6090,patients,,"Europe 688 centres: 43791 (47204) 19900/23891, 6090 (6204) 45/6045","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Appendix header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. Count = total 1st CAR-T across 688 reporting centres; total all CAR-T 6204; allogeneic 1st CAR-T 45 / autologous 1st CAR-T 6045. Paper body gives 6082 first infusions and 6196 therapies (appendix totals differ slightly: 6090/6204); fetched 2026-09-05"
EBMT activity survey,Europe (EBMT survey area),2024,CAR-T all,6204,infusions,,"Europe 688 centres: 43791 (47204) 19900/23891, 6090 (6204) 45/6045","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,Total all CAR-T (first plus additional infusions) from appendix Europe line; see notes on the patients row; fetched 2026-09-05
EBMT activity survey,Algeria,2024,CAR-T all,0,patients,,"Algeria: (2 centres: 383 (383) 195/188), (0 (0) 0/0)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 0 (all CAR-T 0), allogeneic 1st 0 / autologous 1st 0. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: 0 of 2 reporting centres list >=1 first CAR-T in 2024 (all 2 centre lines parsed, sums reconcile); fetched 2026-09-05"
EBMT activity survey,Armenia,2024,CAR-T all,0,patients,,"Armenia: (1 centres: 59 (59) 9/50), (0 (0) 0/0)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 0 (all CAR-T 0), allogeneic 1st 0 / autologous 1st 0. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: 0 of 1 reporting centres list >=1 first CAR-T in 2024 (all 1 centre lines parsed, sums reconcile); fetched 2026-09-05"
EBMT activity survey,Austria,2024,CAR-T all,89,patients,97.17,"Austria: (13 centres: 542 (591) 250/292), (89 (118) 0/89)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 89 (all CAR-T 118), allogeneic 1st 0 / autologous 1st 89. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: 6 of 13 reporting centres list >=1 first CAR-T in 2024 (all 13 centre lines parsed, sums reconcile); 2024 rate 97,17 per 10 million from Supplementary Table 2 of the same paper; fetched 2026-09-05"
EBMT activity survey,Austria,2024,CAR-T all,118,infusions,,"Austria: (13 centres: 542 (591) 250/292), (89 (118) 0/89)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,Total all CAR-T (first plus additional infusions) for Austria; first CAR-T 89; fetched 2026-09-05
EBMT activity survey,Azerbaijan,2024,CAR-T all,0,patients,,"Azerbaijan: (1 centres: 32 (32) 30/2), (0 (0) 0/0)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 0 (all CAR-T 0), allogeneic 1st 0 / autologous 1st 0. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); fetched 2026-09-05"
EBMT activity survey,Belarus,2024,CAR-T all,0,patients,,"Belarus: (2 centres: 259 (262) 67/192), (0 (0) 0/0)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 0 (all CAR-T 0), allogeneic 1st 0 / autologous 1st 0. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); fetched 2026-09-05"
EBMT activity survey,Belgium,2024,CAR-T all,159,patients,134.55,"Belgium: (16 centres: 904 (983) 436/468), (159 (164) 0/159)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 159 (all CAR-T 164), allogeneic 1st 0 / autologous 1st 159. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: at least 8 centres list >=1 first CAR-T in 2024 (only 15 of 16 centre lines parsed cleanly, so this is a lower bound); 2024 rate 134,55 per 10 million from Supplementary Table 2 of the same paper; fetched 2026-09-05"
EBMT activity survey,Belgium,2024,CAR-T all,164,infusions,,"Belgium: (16 centres: 904 (983) 436/468), (159 (164) 0/159)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,Total all CAR-T (first plus additional infusions) for Belgium; first CAR-T 159; fetched 2026-09-05
