registry,geography,year,product_or_class,count,count_type,per_10m_population,verbatim,source_doc,source_url,status,notes
EBMT activity survey,Europe (EBMT survey area),2018,CAR-T all,301,patients,,Continued increase in the use of CAR-T therapy despite the SAR-CoV2 pandemic: 2018 n=301 to 2022 n=3 205: total 9 039,"EBMT Activity Survey Poster 2022 (Baldomero H, Passweg JR; Activity Survey Office, Basel)",https://www.ebmt.org/sites/default/files/2024-09/Activity%20survey%20Poster%202022.pdf,verified-from-source,Same series printed in Passweg et al. 2024 (PMC11161408) and Passweg et al. 2025 (2018: 301).
EBMT activity survey,Europe (EBMT survey area),2019,CAR-T all,1134,patients,,"Main increase by disease is myeloma/others, increasing from 56 in 2019 to 566 in 2022, followed by NHL, increasing from 826 to 2 259 and ALL, increasing from 252 to 380","EBMT Activity Survey Poster 2022 (Baldomero H, Passweg JR; Activity Survey Office, Basel)",https://www.ebmt.org/sites/default/files/2024-09/Activity%20survey%20Poster%202022.pdf,verified-from-source,"Total 1134 = 826 NHL + 252 ALL + 56 myeloma/other as printed on the poster; Passweg et al. 2024 (PMC11161408) and 2025 list 2019: 1,134."
EBMT activity survey,Europe (EBMT survey area),2020,CAR-T all,1875,patients,,"2020: 1,875 (year series as extracted by fetch tool from Passweg et al. 2024)","Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2022. CAR-T activity continues to grow; transplant activity has slowed: a report from the EBMT. Bone Marrow Transplant 2024 (doi 10.1038/s41409-024-02248-9; PMC11161408)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11161408/,verified-from-source,"The 2021 report (PMC9987384) gives 1,874 for 2020 (+34.7% to 2,524 in 2021); the 2022 and 2023 reports give 1,875. Paraphrase, not a verbatim sentence."
EBMT activity survey,Europe (EBMT survey area),2021,CAR-T all,2524,patients,,2524 CAR-T cellular therapies in 2021 ... 197 centers in 24 countries,"Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2021. The second year of the SARS-CoV-2 pandemic. A Report from the EBMT Activity Survey. Bone Marrow Transplant 2023;58:647-658 (PMC9987384)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9987384/,verified-from-source,"+34.7% vs 2020. Median patients per country 30; median CAR-T rate 29.3 per 10 million; range 2.0 (Ireland) to 142 (Israel) per 10 million. Median rate 6.98 in countries with GNI < 40,000 USD vs 47.3 with GNI > 40,000 USD."
EBMT activity survey,Europe (EBMT survey area),2021,Lymphoma (HL/NHL),1851,patients,,"Lymphoma (HL/NHL): 1,851 patients (99% autologous) (Table 2, as extracted)","Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2021. The second year of the SARS-CoV-2 pandemic. A Report from the EBMT Activity Survey. Bone Marrow Transplant 2023;58:647-658 (PMC9987384)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9987384/,verified-from-source,Table 2 of the 2021 report.
EBMT activity survey,Europe (EBMT survey area),2021,ALL,379,patients,,"Acute Lymphatic Leukemia (ALL): 379 patients (89% autologous) (Table 2, as extracted)","Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2021. The second year of the SARS-CoV-2 pandemic. A Report from the EBMT Activity Survey. Bone Marrow Transplant 2023;58:647-658 (PMC9987384)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9987384/,verified-from-source,
EBMT activity survey,Europe (EBMT survey area),2021,"Other (myeloma, autoimmune, other)",294,patients,,"Other malignancies (myeloma, autoimmune disease): 294 patients (95% autologous) (Table 2, as extracted)","Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2021. The second year of the SARS-CoV-2 pandemic. A Report from the EBMT Activity Survey. Bone Marrow Transplant 2023;58:647-658 (PMC9987384)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9987384/,verified-from-source,
EBMT activity survey,Europe (EBMT survey area),2022,CAR-T all,3205,patients,,214 centers in 28 countries reported 3205 CAR-T cellular therapies in 2022,"Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2022. CAR-T activity continues to grow; transplant activity has slowed: a report from the EBMT. Bone Marrow Transplant 2024 (doi 10.1038/s41409-024-02248-9; PMC11161408)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11161408/,verified-from-source,Median patients per country 28 (range 1-221 as printed; the upper bound conflicts with Germany's 659 in the DRST/EBMT survey) and median CAR-T rate 33.1 per 10 million. 52 allogeneic CAR-T patients in 17 centres in 12 countries; 3153 autologous (98.4%). Poster: 3 205 reported by 214 centres in 28 countries.
EBMT activity survey,Europe (EBMT survey area),2022,Lymphoma (HL/NHL),2259,patients,,"Lymphoma (n=2259; 70.5%), myeloma (n=470; 14.7%), ALL (n=380; 11.8%), and other malignancies (n=96; 3.0%)","EBMT Activity Survey Poster 2022 (Baldomero H, Passweg JR; Activity Survey Office, Basel)",https://www.ebmt.org/sites/default/files/2024-09/Activity%20survey%20Poster%202022.pdf,verified-from-source,
EBMT activity survey,Europe (EBMT survey area),2022,Myeloma,470,patients,,"Lymphoma (n=2259; 70.5%), myeloma (n=470; 14.7%), ALL (n=380; 11.8%), and other malignancies (n=96; 3.0%)","EBMT Activity Survey Poster 2022 (Baldomero H, Passweg JR; Activity Survey Office, Basel)",https://www.ebmt.org/sites/default/files/2024-09/Activity%20survey%20Poster%202022.pdf,verified-from-source,
