product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Carvykti,2022Q2,US,24,USD,"Johnson & Johnson Supplementary Sales Data, second quarter and six months 2023 (Form 8-K exhibit 99.2, 20 Jul 2023)",https://www.sec.gov/Archives/edgar/data/200406/000020040623000073/a2023q2exhibit992.htm,verified-from-source,"Prior-year comparative column (Q2 2022) of the Pharmaceutical segment sales table, Oncology. FDA approval 28 Feb 2022; FY2022 (133) equals Q2 + Q3 + Q4 (24 + 55 + 54), so no Q1 2022 sales were reported. J&J's own 2022 supplementary schedules did not list CARVYKTI separately; the 2023 schedules supply the 2022 comparatives. Region labels in source: US / Intl / WW (Worldwide)."
Carvykti,2022Q2,International,,USD,"Johnson & Johnson Supplementary Sales Data, second quarter and six months 2023 (Form 8-K exhibit 99.2, 20 Jul 2023)",https://www.sec.gov/Archives/edgar/data/200406/000020040623000073/a2023q2exhibit992.htm,verified-from-source,reported as dash (nil)
Carvykti,2022Q2,Total,24,USD,"Johnson & Johnson Supplementary Sales Data, second quarter and six months 2023 (Form 8-K exhibit 99.2, 20 Jul 2023)",https://www.sec.gov/Archives/edgar/data/200406/000020040623000073/a2023q2exhibit992.htm,verified-from-source,
Carvykti,2022Q3,US,55,USD,"Johnson & Johnson Supplementary Sales Data, third quarter and nine months 2023 (Form 8-K exhibit 99.2, 17 Oct 2023)",https://www.sec.gov/Archives/edgar/data/200406/000020040623000094/a2023q3exhibit992.htm,verified-from-source,Prior-year comparative column (Q3 2022); nine months 2022 = 79 = 24 + 55. Region labels in source: US / Intl / WW (Worldwide).
Carvykti,2022Q3,International,,USD,"Johnson & Johnson Supplementary Sales Data, third quarter and nine months 2023 (Form 8-K exhibit 99.2, 17 Oct 2023)",https://www.sec.gov/Archives/edgar/data/200406/000020040623000094/a2023q3exhibit992.htm,verified-from-source,reported as dash (nil)
Carvykti,2022Q3,Total,55,USD,"Johnson & Johnson Supplementary Sales Data, third quarter and nine months 2023 (Form 8-K exhibit 99.2, 17 Oct 2023)",https://www.sec.gov/Archives/edgar/data/200406/000020040623000094/a2023q3exhibit992.htm,verified-from-source,
Carvykti,2022Q4,US,54,USD,"Johnson & Johnson Supplementary Sales Data, fourth quarter and twelve months 2023 (Form 8-K exhibit 99.2, 23 Jan 2024)",https://www.sec.gov/Archives/edgar/data/200406/000020040624000004/a2023q4exhibit992.htm,verified-from-source,"Prior-year comparative column (Q4 2022); twelve months 2022 = 133 (US 133, Intl dash). Region labels in source: US / Intl / WW (Worldwide)."
Carvykti,2022Q4,International,,USD,"Johnson & Johnson Supplementary Sales Data, fourth quarter and twelve months 2023 (Form 8-K exhibit 99.2, 23 Jan 2024)",https://www.sec.gov/Archives/edgar/data/200406/000020040624000004/a2023q4exhibit992.htm,verified-from-source,reported as dash (nil)
Carvykti,2022Q4,Total,54,USD,"Johnson & Johnson Supplementary Sales Data, fourth quarter and twelve months 2023 (Form 8-K exhibit 99.2, 23 Jan 2024)",https://www.sec.gov/Archives/edgar/data/200406/000020040624000004/a2023q4exhibit992.htm,verified-from-source,
Carvykti,2023Q1,US,70,USD,"Johnson & Johnson Supplementary Sales Data, first quarter 2024 (Form 8-K exhibit 99.2, 16 Apr 2024)",https://www.sec.gov/Archives/edgar/data/200406/000020040624000031/a2024q1exhibit992.htm,verified-from-source,Prior-year comparative column (Q1 2023). Region labels in source: US / Intl / WW (Worldwide).
Carvykti,2023Q1,International,2,USD,"Johnson & Johnson Supplementary Sales Data, first quarter 2024 (Form 8-K exhibit 99.2, 16 Apr 2024)",https://www.sec.gov/Archives/edgar/data/200406/000020040624000031/a2024q1exhibit992.htm,verified-from-source,
Carvykti,2023Q1,Total,72,USD,"Johnson & Johnson Supplementary Sales Data, first quarter 2024 (Form 8-K exhibit 99.2, 16 Apr 2024)",https://www.sec.gov/Archives/edgar/data/200406/000020040624000031/a2024q1exhibit992.htm,verified-from-source,
