product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Casgevy,list_price,2023-12-08,US,2200000,USD per treatment,"Vertex set the list price for Casgevy at $2.2 million","BioPharma Dive, ""CRISPR therapy for sickle cell approved by FDA in gene editing milestone"" (2023-12-08)",https://www.biopharmadive.com/news/crispr-fda-approval-sickle-cell-gene-editing-vertex-casgevy/701522/,provisional-from-snippet,"$2.2M is the wholesale acquisition cost (WAC) of the drug product only; excludes myeloablative conditioning, transplant hospitalisation and ATC fees. Vertex has never published the WAC in an SEC filing or its own press release - it was given to media (Bloomberg/BioPharma Dive/Reuters) on approval day."
Casgevy,list_price,2023-12-08,US,2200000,USD per treatment,"Wholesale Acquisition Cost For Casgevy In U.S. At $2.2m","Bloomberg via StreetInsider (2023-12-08)",https://www.streetinsider.com/Rumors/Vertex+Pharma+(VRTX):+Wholesale+Acquisition+Cost+For+Casgevy+In+U.S.+At+$2.2m+-+Bloomberg/22507869.html,provisional-from-snippet,"Corroborating secondary source for the same WAC figure."
Casgevy,list_price,2025-02-04,England (NHS),1650000,GBP per treatment,"The listed price for a single dose of Casgevy is £1.65 million; the NHS has agreed a confidential discount","NICE TA1044 / NICE TA1017 coverage; NHS England managed access agreement","https://www.nice.org.uk/guidance/ta1044",provisional-from-snippet,"NICE guidance page returned HTTP 403 to direct fetch; figure taken from multiple secondary reports of the NICE appraisals (TDT recommended Aug/Sep 2024, SCD Jan/Feb 2025). Actual NHS price is confidential under a Commercial Access Agreement via the Innovative Medicines Fund, so net revenue per English patient is unknown and below list."
Casgevy,list_price,2024-01-16,"Saudi Arabia / Bahrain / UAE",NA,USD per treatment,"Reimbursement agreements have been established with Bahrain, the Kingdom of Saudi Arabia, and the United Arab Emirates","Secondary press (Pharmaceutical Technology, The National); Vertex quarterly releases confirm reimbursed access",https://www.pharmaceutical-technology.com/analyst-comment/casgevy-launch-crispr-therapy/,provisional-from-snippet,"No public per-patient price for KSA, Bahrain, UAE, Qatar or Kuwait. Gulf contracts are confidential. GAP for the revenue-per-patient calculation."
Casgevy,centres,2023-12-31,"US / EU / KSA",16,authorized treatment centres,"Vertex has activated 12 authorized treatment centers (ATCs) in the U.S. and three in the EU ... Vertex has also activated one of two planned ATCs in KSA.","Vertex 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results (2024-02-05)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000012/ex-991_q42023.htm,verified-from-source,"12 US + 3 EU + 1 KSA = 16 total, summed by analyst."
Casgevy,centres,2024-04-15,Global,25,authorized treatment centres,"As of mid-April, Vertex has activated more than 25 authorized treatment centers (ATCs) globally and multiple patients across all regions have initiated cell collection.","Vertex 8-K Ex-99.1, First Quarter 2024 Financial Results (2024-05-06)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000137/ex-991_q12024.htm,verified-from-source,"Value is a floor (""more than 25""). As-of date is mid-April 2024, not quarter end."
Casgevy,patients_cell_collection,2024-04-15,Global,NA,patients,"multiple patients across all regions have initiated cell collection","Vertex 8-K Ex-99.1, First Quarter 2024 Financial Results (2024-05-06)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000137/ex-991_q12024.htm,verified-from-source,"Qualitative only - no number given."
Casgevy,centres,2024-07-15,Global,35,authorized treatment centres,"As of mid-July, Vertex has activated more than 35 authorized treatment centers (ATCs) globally and increasing numbers of patients across all regions have initiated cell collection.","Vertex 8-K Ex-99.1, Second Quarter 2024 Financial Results (2024-08-01)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000193/ex-991_q22024.htm,verified-from-source,"Value is a floor (""more than 35"")."
Casgevy,centres,2024-10-15,Global,45,authorized treatment centres,"As of mid-October, Vertex has activated 45 authorized treatment centers (ATCs) globally and increasing numbers of patients across all regions have initiated cell collection.","Vertex 8-K Ex-99.1, Third Quarter 2024 Financial Results (2024-11-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000221/ex-991_q32024.htm,verified-from-source,"Exact figure, not a floor."
Casgevy,patients_infused,2024-09-30,Global,1,patients,"In the third quarter of 2024, Vertex's product revenue included revenue from the first patient infused with CASGEVY.","Vertex 8-K Ex-99.1, Third Quarter 2024 Financial Results (2024-11-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532024000221/ex-991_q32024.htm,verified-from-source,"KEY: establishes that revenue recognition is triggered by infusion. Q3 2024 revenue $2.0M against ""the first patient infused"" - implies more than one infusion recognised or ex-US pricing differences; treat count of 1 as a floor for cumulative infusions at 2024-09-30."
Casgevy,centres,2024-12-31,Global,50,authorized treatment centres,"Vertex has activated more than 50 authorized treatment centers (ATCs) globally","Vertex 8-K Ex-99.1, Fourth Quarter and Full Year 2024 Financial Results (2025-02-10)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000029/ex-991_q42024.htm,verified-from-source,"Value is a floor (""more than 50"")."
Casgevy,patients_cell_collection,2024-12-31,Global,50,patients,"more than 50 patients have initiated cell collection","Vertex 8-K Ex-99.1, Fourth Quarter and Full Year 2024 Financial Results (2025-02-10)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000029/ex-991_q42024.htm,verified-from-source,"Cumulative since launch, floor. Q3 2025 call later stated the full-year 2024 first-cell-collection total was 55 (""110 in the first 9 months of 2025, double our full year 2024 total"")."
Casgevy,centres,2025-05-01,Global,65,authorized treatment centres,"Since launch through May 1st, Vertex has activated more than 65 authorized treatment centers (ATCs) globally and approximately 90 patients have had their first cell collection.","Vertex 8-K Ex-99.1, First Quarter 2025 Financial Results (2025-05-05)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000171/ex-991_q12025.htm,verified-from-source,"Floor. As-of 1 May 2025, not quarter end."
Casgevy,patients_cell_collection,2025-05-01,Global,90,patients,"Since launch through May 1st, Vertex has activated more than 65 authorized treatment centers (ATCs) globally and approximately 90 patients have had their first cell collection.","Vertex 8-K Ex-99.1, First Quarter 2025 Financial Results (2025-05-05)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000171/ex-991_q12025.htm,verified-from-source,"Cumulative since launch, approximate. No infusion count disclosed for Q1 2025."
Casgevy,centres,2025-06-30,Global,75,authorized treatment centres,"Vertex has met its goal of activating more than 75 authorized treatment centers (ATCs) globally.","Vertex 8-K Ex-99.1, Second Quarter 2025 Financial Results (2025-08-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000213/ex-991_q22025.htm,verified-from-source,"Floor. Last quarter in which Vertex gave a global ATC count."
Casgevy,patients_cell_collection,2025-06-30,Global,115,patients,"Globally, since launch through June 30th, 2025, approximately 115 patients have had their first cell collection, and 29 patients have received infusions of CASGEVY, including 16 infused in the second quarter of 2025.","Vertex 8-K Ex-99.1, Second Quarter 2025 Financial Results (2025-08-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000213/ex-991_q22025.htm,verified-from-source,"Cumulative since launch."
Casgevy,patients_infused,2025-06-30,Global,29,patients,"Globally, since launch through June 30th, 2025, approximately 115 patients have had their first cell collection, and 29 patients have received infusions of CASGEVY, including 16 infused in the second quarter of 2025.","Vertex 8-K Ex-99.1, Second Quarter 2025 Financial Results (2025-08-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000213/ex-991_q22025.htm,verified-from-source,"CUMULATIVE since launch = 29. Of which 16 in Q2 2025 alone. Cumulative revenue through 2025Q2 = 2.0+8.0+14.2+30.4 = $54.6M against 29 infusions => ~$1.88M per infusion (vs $2.2M US WAC), consistent with lower ex-US net prices."
Casgevy,patients_infused,2025-06-30,Global,16,patients,"including 16 infused in the second quarter of 2025","Vertex 8-K Ex-99.1, Second Quarter 2025 Financial Results (2025-08-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000213/ex-991_q22025.htm,verified-from-source,"Quarterly (in-period) infusion count for 2025Q2. Q2 2025 revenue $30.4M / 16 = $1.90M per infusion."
Casgevy,patients_cell_collection,2025-09-30,Global,165,patients,"Globally, since launch through September 30th, 2025, approximately 165 people with SCD or TDT have had their first cell collection","Vertex 8-K Ex-99.1, Third Quarter 2025 Financial Results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000230/ex-991_q32025.htm,verified-from-source,"Cumulative since launch. Q3 2025 call gave ""More than 160 patients now have had their first cell collection. This includes 110 in the first 9 months of 2025, double our full year 2024 total."""
Casgevy,patients_infused,2025-09-30,Global,39,patients,"39 people with SCD or TDT have received infusions of CASGEVY, including 10 people infused in the third quarter","Vertex 8-K Ex-99.1, Third Quarter 2025 Financial Results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000230/ex-991_q32025.htm,verified-from-source,"CUMULATIVE since launch = 39. Cumulative revenue through 2025Q3 = $71.5M => ~$1.83M per infusion."
Casgevy,patients_infused,2025-09-30,Global,10,patients,"including 10 people infused in the third quarter","Vertex 8-K Ex-99.1, Third Quarter 2025 Financial Results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000230/ex-991_q32025.htm,verified-from-source,"Quarterly count for 2025Q3. Q3 2025 revenue $16.9M / 10 = $1.69M per infusion."
Casgevy,centres,2025-09-30,Global,25,authorized treatment centres,"25 ATCs had initiated more than 5 patients and at least one ATC in each of the 3 regions had initiated 20 or more patients","Vertex Q3 2025 earnings call transcript (2025-11-03), via The Motley Fool",https://www.fool.com/earnings/call-transcripts/2025/11/27/vertex-vrtx-q3-2025-earnings-call-transcript/,provisional-from-snippet,"NOT a total ATC count - this is the subset of ATCs that had initiated more than 5 patients. Total activated ATCs at this date not disclosed (last total was ""more than 75"" at 2025-06-30)."
Casgevy,patients_cell_collection,2025-09-30,Global,300,patients,"nearly 300 patients have been referred by their physicians to an ATC to initiate the treatment process","Vertex Q3 2025 earnings call transcript (2025-11-03), via The Motley Fool",https://www.fool.com/earnings/call-transcripts/2025/11/27/vertex-vrtx-q3-2025-earnings-call-transcript/,provisional-from-snippet,"REFERRALS, not cell collections - an earlier funnel stage. Recorded here for funnel calibration only; do not confuse with the 165 first cell collections."
Casgevy,patients_cell_collection,2025-12-31,Global,147,patients,"Globally, in 2025, 147 people with SCD or TDT had their first cell collection for CASGEVY.","Vertex 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial Results (2026-02-12)",https://www.sec.gov/Archives/edgar/data/875320/000087532026000034/ex-991_q42025.htm,verified-from-source,"IN-YEAR 2025 count, not cumulative. Cumulative since launch approx 55 (2024) + 147 (2025) = 202. Q4 2025 call gave 37 first cell collections in Q4 2025."
