product,hcpcs,code_effective_date,code_source_url,status,notes
Kymriah,Q2042,2019-01-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/files/zip/october-2023-asp-pricing-file.zip",verified-from-source,"HCPCS long description: Tisagenlecleucel, up to 600 million car-positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose (ADD DT 20190101). Predecessor Q2040 (up to 250 million cells, per infusion) added 2018-01-01, terminated 2018-12-31, not listed in the January 2018 ASP file. ASP-file short description 'Tisagenlecleucel car-pos t'; first listed in the October 2023 ASP file ('Added October 2023'), absent from January 2019 to July 2023 files checked."
Yescarta,Q2041,2018-04-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/files/zip/april-2023-asp-pricing-file.zip",verified-from-source,"HCPCS long description: Axicabtagene ciloleucel, up to 200 million autologous anti-cd19 car positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose (ADD DT 20180401, descriptor action effective 2019-01-01). ASP-file short description 'Axicabtagene ciloleucel car+'; first listed in the April 2023 ASP file ('Added April 2023'), absent from January 2019 to January 2023 files checked."
Tecartus,Q2053,2021-04-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/files/zip/april-2023-asp-pricing-file.zip",verified-from-source,"HCPCS long description: Brexucabtagene autoleucel, up to 200 million autologous anti-cd19 car positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose (ADD DT 20210401). Predecessor OPPS pass-through code C9073 2021-01-01 to 2021-03-31. ASP-file short description 'Brexucabtagene car pos t'; first listed April 2023 ('Added April 2023'), absent from April 2021 to January 2023 files."
Breyanzi,Q2054,2021-10-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/files/zip/july-2023-asp-pricing-file.zip",verified-from-source,"HCPCS long description: Lisocabtagene maraleucel, up to 110 million autologous anti-cd19 car-positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose (ADD DT 20211001). Predecessor C9076 2021-07-01 to 2021-09-30. ASP-file short description 'Lisocabtagene mara car pos t'; first listed July 2023 ('Added July 2023'), absent from October 2021 to April 2023 files."
Abecma,Q2055,2022-01-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/files/zip/october-2023-asp-pricing-file.zip",verified-from-source,"HCPCS long description: Idecabtagene vicleucel, up to 510 million autologous b-cell maturation antigen (bcma) directed car-positive t cells, including leukapheresis and dose preparation procedures, per therapeutic dose (ADD DT 20220101; descriptor changed from up to 460 million, action effective 2024-04-04). Predecessor C9081 2021-10-01 to 2021-12-31. ASP-file short description 'Idecabtagene vicleucel car'; first listed October 2023 ('Added October 2023'), absent from January 2022 to July 2023 files."
Carvykti,Q2056,2022-10-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/files/zip/july-2023-asp-pricing-file.zip",verified-from-source,"HCPCS long description: Ciltacabtagene autoleucel, up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells, including leukapheresis and dose preparation procedures, per therapeutic dose (ADD DT 20221001). Predecessor C9098 2022-07-01 to 2022-09-30. ASP-file short description 'Ciltacabtagene car-pos t'; first listed July 2023 ('Added July 2023'), absent from October 2022 to April 2023 files."
Aucatzyl,Q2058,2025-07-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Obecabtagene autoleucel, 10 up to 400 million cd19 car-positive viable t cells, including leukapheresis and dose preparation procedures, per infusion (ADD DT 20250701, descriptor action effective 2026-01-01; short description 'Obecbtge autol up to 400 mil'). Predecessor C9301 2025-04-01 to 2025-06-30. Code is per infusion and the label dose is split over two infusions. Not listed in any ASP/payment limit file from July 2025 to July 2026, so no CMS payment limit."
Tecelra,Q2057,2025-04-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/files/zip/july-2025-asp-pricing-file.zip",verified-from-source,"HCPCS long description: Afamitresgene autoleucel, including leukapheresis and dose preparation procedures, per therapeutic dose (ADD DT 20250401, descriptor action effective 2026-01-01). ASP-file short description 'Afamitresgene autoleucel'; first listed July 2025 ('Added July 2025'), absent from the April 2025 file."
Provenge,Q2043,2011-07-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/Medicare/Medicare-Fee-for-Service-Part-B-Drugs/McrPartBDrugAvgSalesPrice/downloads/July_2011_ASP_Pricing_File.zip",verified-from-source,"HCPCS long description: Sipuleucel-t, minimum of 50 million autologous cd54+ cells activated with pap-gm-csf, including leukapheresis and all other preparatory procedures, per infusion (ADD DT 20110701). ASP-file short description 'Sipuleucel-T auto CD54+'; first listed July 2011 ('Added July 2011'). Course = 3 infusions."
Luxturna,J3398,2019-01-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, voretigene neparvovec-rzyl, 1 billion vector genomes (ADD DT 20190101; short description 'Inj luxturna 1 billion vec g'). Predecessor OPPS pass-through C9032 2018-07-01 to 2018-12-31. Not listed in any ASP file checked (January 2019, January 2020, and every quarter January 2021 to July 2026), so no CMS payment limit; 150 units per eye."
