hcpcs,product,short_description,dosage_unit,asp_file_quarter,payment_limit_usd,implied_asp_usd,units_per_treatment,implied_asp_per_treatment_usd,file_url,status,notes
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 460 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2023Q4,483453.660,456088.36,1,456088.36,https://www.cms.gov/files/zip/october-2023-asp-pricing-file.zip,verified-from-source,"CMS note: Added October 2023; first ASP-file listing; code effective 2022-01-01; not listed in earlier files checked (2022Q1, 2022Q2, 2022Q3, 2022Q4, 2023Q1, 2023Q2, 2023Q3); implied_asp = payment_limit/1.06 (derived); units: per therapeutic dose = one infusion course; descriptor changed from up to 460 million to up to 510 million cells in the July 2024 file (HCPCS action effective 2024-04-04)"
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 460 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2024Q1,484690.300,457255.00,1,457255.00,https://www.cms.gov/files/zip/january-2024-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 460 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2024Q2,484690.300,457255.00,1,457255.00,https://www.cms.gov/files/zip/april-2024-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2024Q3,503454.525,474957.10,1,474957.10,https://www.cms.gov/files/zip/july-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2024Q4,526587.593,496780.75,1,496780.75,https://www.cms.gov/files/zip/october-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2025Q1,528312.427,498407.95,1,498407.95,https://www.cms.gov/files/zip/january-2025-asp-pricing-file-03/11/25-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2025Q2,527622.462,497757.04,1,497757.04,https://www.cms.gov/files/zip/april-2025-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2025Q3,541260.447,510623.06,1,510623.06,https://www.cms.gov/files/zip/july-2025-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2025Q4,557317.934,525771.64,1,525771.64,https://www.cms.gov/files/zip/october-2025-asp-pricing-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2026Q1,558081.726,526492.19,1,526492.19,https://www.cms.gov/files/zip/january-2026-medicare-part-b-payment-limit-files.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2026Q2,559781.081,528095.36,1,528095.36,https://www.cms.gov/files/zip/april-2026-medicare-part-b-payment-limit-files-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2055,Abecma,Idecabtagene vicleucel car,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,2026Q3,567977.780,535828.09,1,535828.09,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9029,Adstiladrin,"Inj, adstiladrin, per tx dos",PER THERAPEUTIC DOSE,2024Q2,63505.400,59910.75,1,59910.75,https://www.cms.gov/files/zip/april-2024-asp-pricing-file.zip,verified-from-source,"CMS note: Added April 2024; first ASP-file listing; code effective 2023-07-01; not listed in earlier files checked (2023Q3, 2023Q4, 2024Q1); implied_asp = payment_limit/1.06 (derived); units: per therapeutic dose = one intravesical instillation; label repeats every 3 months while responding (4 per year), so annual units exceed 1"
J9029,Adstiladrin,"Inj, adstiladrin, per tx dos",PER THERAPEUTIC DOSE,2024Q3,63499.333,59905.03,1,59905.03,https://www.cms.gov/files/zip/july-2024-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9029,Adstiladrin,"Instill adstiladrin, tx dose",PER THERAPEUTIC DOSE,2024Q4,63354.773,59768.65,1,59768.65,https://www.cms.gov/files/zip/october-2024-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
