product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Elevidys,list_price,2023-06-22,US,3200000,USD per treatment,Sarepta Therapeutics' Elevidys (delandistrogene moxeparvovec-rokl) has a wholesale acquisition cost (WAC) of $3.2 million.,"Managed Healthcare Executive, First Gene Therapy for Duchenne Priced at $3.2 Million (2023-06-22)",https://www.managedhealthcareexecutive.com/view/first-gene-therapy-for-duchenne-priced-at-3-2-million,provisional-from-snippet,Price announced by Sarepta management on the approval-day investor call (2023-06-22); not stated in the approval press release (8-K Ex-99.1 read) nor in the 10-K. Trade press pages returned HTTP 403 to direct fetch; figure taken from search snippets of Managed Healthcare Executive and BioWorld (Sarepta sets a $3.2M price tag for Elevidys). WAC of the one-time infusion only.
Elevidys,statement,2023-06-22,US,,,"In December 2019, Sarepta partnered with Roche to accelerate access to ELEVIDYS for patients outside the United States.","Sarepta 8-K Ex-99.1, Sarepta Therapeutics Announces FDA Approval of ELEVIDYS, the First Gene Therapy to Treat Duchenne Muscular Dystrophy (2023-06-22)",https://www.sec.gov/Archives/edgar/data/873303/000095017023029354/srpt-ex99_1.htm,verified-from-source,Approval release: indication was ambulatory pediatric patients aged 4 through 5 years with Duchenne muscular dystrophy (DMD) with a confirmed mutation in the DMD gene; distribution within the U.S. will commence immediately.
Elevidys,statement,2024-01-08,US,,,"ELEVIDYS Q4 2023: $131.3 million; full-year 2023: $200.4 million (preliminary, unaudited)","Sarepta 8-K Ex-99.1, Sarepta Therapeutics Reports Preliminary Fourth Quarter and Full-Year 2023 Net Product Revenue (2024-01-08)",https://www.sec.gov/Archives/edgar/data/873303/000095017024002822/srpt-ex99_1.htm,verified-from-source,"Preliminary revenue; final FY2023 $200,356K per 10-K."
Elevidys,statement,2025-02-26,US,,,ELEVIDYS is indicated for the treatment of Duchenne muscular dystrophy (DMD) in individuals at least 4 years of age. For patients who are ambulatory and have a confirmed mutation in the DMD gene. For patients who are non-ambulatory and have a confirmed mutation in the DMD gene.,"Sarepta 8-K Ex-99.1, Sarepta Therapeutics Announces Fourth Quarter and Full-Year 2024 Financial Results and Recent Corporate Developments (2025-02-26)",https://www.sec.gov/Archives/edgar/data/873303/000095017025027717/srpt-ex99_1.htm,verified-from-source,"Expanded label (June 2024) in force through 2024-2025. Release also guided 2025 net product revenue of $2.9 billion to $3.1 billion, representing 70% year-over-year growth and 162% yearly growth for ELEVIDYS."
Elevidys,statement,2025-07-16,US,,,Sarepta recently announced that it was pausing shipments of ELEVIDYS for non-ambulant patients while it explored the adoption of additional prophylactic immunosuppression.,"Sarepta 8-K Ex-99.1, Sarepta Therapeutics Announces Strategic Restructuring and Pipeline Prioritization Plan (2025-07-16)",https://www.sec.gov/Archives/edgar/data/873303/000095017025096257/srpt-ex99_1.htm,verified-from-source,Same release: The FDA has requested that the label include a black box warning for acute liver injury (ALI) and acute liver failure (ALF). The Committee aligned on an enhanced immunosuppressive regimen with sirolimus for ELEVIDYS in non-ambulant patients. Preliminary Q2 2025 ELEVIDYS revenue $282 million.
Elevidys,patients_cumulative,2025-07-19,US,1000,"patients treated (approximate, includes clinical trial participants)",almost 1000 patients have been treated,"Sarepta Therapeutics, Community Letter: Update regarding ELEVIDYS (2025-07-19)",https://www.sarepta.com/community-letter-update-regarding-elevidys,verified-from-source,"Company community letter. Approximate ceiling; includes clinical-trial dosing (EMBARK, ENVISION etc.), not only commercial infusions. Cumulative commercial revenue to 2025-06-30 of about $1.68 billion at a $3.2M WAC implies roughly 525-600 commercial patients net of discounts."
Elevidys,statement,2025-07-19,US,,,we declined FDA's request to voluntarily stop shipping ELEVIDYS to ambulatory patients as there is no new or changed safety information for the ambulant patient population.,"Sarepta Therapeutics, Community Letter: Update regarding ELEVIDYS (2025-07-19)",https://www.sarepta.com/community-letter-update-regarding-elevidys,verified-from-source,"Letter also: In June, we voluntarily halted shipments of ELEVIDYS for non-ambulatory patients to allow for an expert committee to evaluate the recommendation of an added immunosuppressive regimen and for necessary discussions with the FDA to take place. ELEVIDYS remains available and Sarepta will continue to ship ELEVIDYS for ambulant patients."
Elevidys,patients_cumulative,2025-07-22,US,900,"patients treated (floor, includes clinical trial participants)",more than 900 individuals treated to-date,"CGTlive, Sarepta Voluntarily Pauses All Shipments of DMD Gene Therapy Elevidys Several Days After Informal Request From FDA (2025-07-22)",https://www.cgtlive.com/view/sarepta-voluntarily-pauses-shipments-dmd-gene-therapy-elevidys-several-days-informal-request-fda,provisional-from-snippet,Trade-press report of the company statement accompanying the full US shipment pause.
Elevidys,statement,2025-07-22,US,,,"voluntarily paused all shipments of delandistrogene moxeparvovec-rokl (Elevidys) ... in the United States ... will go into effect at close of business on July 22, 2025","CGTlive, Sarepta Voluntarily Pauses All Shipments of DMD Gene Therapy Elevidys Several Days After Informal Request From FDA (2025-07-22)",https://www.cgtlive.com/view/sarepta-voluntarily-pauses-shipments-dmd-gene-therapy-elevidys-several-days-informal-request-fda,provisional-from-snippet,"FDA made an informal request for Sarepta to voluntarily pause US shipments of Elevidys on the afternoon of July 18, 2025. Both deaths occurred in patients who were nonambulatory at the time of treatment and were attributed to acute liver failure (ALF). FDA informed Sarepta on 2025-07-28 that it recommended removing the pause for ambulatory patients (Sarepta IR release; page timed out on fetch)."
Elevidys,statement,2025-11-03,US,,,Discussions between FDA and Sarepta in the safety labeling process are expected to be finalized in the near-term with an outcome that includes a box warning and the removal of non-ambulatory indication from the Indication and Usages section.,"Sarepta 8-K Ex-99.1, Sarepta Therapeutics Announces Third Quarter 2025 Financial Results and Recent Corporate Developments, Including Completion of Its Confirmatory Study, ESSENCE (2025-11-03)",https://www.sec.gov/Archives/edgar/data/873303/000119312525262591/srpt-ex99_1.htm,verified-from-source,"Release also records the decision to suspend shipments of ELEVIDYS to non-ambulatory patients in the U.S. in June 2025, and that discussions with FDA are ongoing regarding a proposed study of an additional immunosuppression regimen toward re-including non-ambulatory in the label."
