product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Elevidys,2023Q3,US,69.108,USD,"Sarepta Form 10-Q for the quarter ended 2023-09-30, net product revenues by product (XBRL R51) (filed 2023-11-01)",https://www.sec.gov/Archives/edgar/data/873303/000095017023057414/R51.htm,verified-from-source,"Sarepta holds US rights only (Roche has ex-US rights); ELEVIDYS product revenue is 100% US, so US = Total. Reported as $69,108 thousand; geographic table shows US ELEVIDYS $69,108K and no rest-of-world ELEVIDYS. First quarter of ELEVIDYS revenue (FDA accelerated approval 2023-06-22; distribution commenced immediately)."
Elevidys,2023Q4,US,131.248,USD,"Sarepta Form 10-K for fiscal 2024, Summary of Product Revenues (XBRL R66) (filed 2025-02-28)",https://www.sec.gov/Archives/edgar/data/873303/000095017025029973/R66.htm,derived,"Sarepta holds US rights only (Roche has ex-US rights); ELEVIDYS product revenue is 100% US, so US = Total. Derived: FY2023 ELEVIDYS $200,356K (10-K FY2024 R66) minus nine months 2023 $69,108K (10-Q Q3 2023) = $131,248K. Preliminary release of 2024-01-08 reported Q4 2023 ELEVIDYS $131.3 million."
Elevidys,2023FY,US,200.356,USD,"Sarepta Form 10-K for fiscal 2024, Summary of Product Revenues (XBRL R66) (filed 2025-02-28)",https://www.sec.gov/Archives/edgar/data/873303/000095017025029973/R66.htm,verified-from-source,"Sarepta holds US rights only (Roche has ex-US rights); ELEVIDYS product revenue is 100% US, so US = Total. Annual aggregate row - do not double count. Reported as $200,356 thousand; preliminary release (2024-01-08) said $200.4 million."
Elevidys,2024Q1,US,133.936,USD,"Sarepta Form 10-Q for the quarter ended 2025-03-31, Summary of Product Revenues (XBRL R50) (filed 2025-05-06)",https://www.sec.gov/Archives/edgar/data/873303/000095017025064412/R50.htm,verified-from-source,"Sarepta holds US rights only (Roche has ex-US rights); ELEVIDYS product revenue is 100% US, so US = Total. Reported as $133,936 thousand (prior-year comparative; ELEVIDYS United States $133,936K, Rest of World $0). Cross-check: six months 2024 $255,657K minus Q2 2024 $121,721K (Q2 2025 10-Q R52) = $133,936K."
Elevidys,2024Q2,US,121.721,USD,"Sarepta Form 10-Q for the quarter ended 2025-06-30, Summary of Product Revenues (XBRL R52) (filed 2025-08-06)",https://www.sec.gov/Archives/edgar/data/873303/000095017025103971/R52.htm,verified-from-source,"Sarepta holds US rights only (Roche has ex-US rights); ELEVIDYS product revenue is 100% US, so US = Total. Reported as $121,721 thousand (prior-year comparative). Label expanded 2024-06-20 to ambulatory patients 4 years and older (traditional approval) and non-ambulatory (accelerated approval)."
Elevidys,2024Q3,US,180.934,USD,"Sarepta Form 10-K for fiscal 2024, Summary of Product Revenues (XBRL R66) (filed 2025-02-28)",https://www.sec.gov/Archives/edgar/data/873303/000095017025029973/R66.htm,derived,"Sarepta holds US rights only (Roche has ex-US rights); ELEVIDYS product revenue is 100% US, so US = Total. Derived: FY2024 $820,791K (10-K R66) minus six months 2024 $255,657K (10-Q Q2 2025) minus Q4 2024 $384,200K (Q4 2024 release; Q4 2024 total products $638,157K less PMO $253,957K) = $180,934K. Q3 2025 release prior-year column shows Q3 2024 ELEVIDYS $181.0 million."
Elevidys,2024Q4,US,384.2,USD,"Sarepta 8-K Ex-99.1, Sarepta Therapeutics Announces Fourth Quarter and Full-Year 2024 Financial Results and Recent Corporate Developments (2025-02-26)",https://www.sec.gov/Archives/edgar/data/873303/000095017025027717/srpt-ex99_1.htm,verified-from-source,"Sarepta holds US rights only (Roche has ex-US rights); ELEVIDYS product revenue is 100% US, so US = Total. Release: ELEVIDYS net product revenue for the quarter totaled $384.2 million. First quarter with the expanded (non-ambulatory) label fully in effect."
Elevidys,2024FY,US,820.791,USD,"Sarepta Form 10-K for fiscal 2024, Summary of Product Revenues (XBRL R66) (filed 2025-02-28)",https://www.sec.gov/Archives/edgar/data/873303/000095017025029973/R66.htm,verified-from-source,"Sarepta holds US rights only (Roche has ex-US rights); ELEVIDYS product revenue is 100% US, so US = Total. Annual aggregate row - do not double count. Reported as $820,791 thousand."
Elevidys,2025Q1,US,374.985,USD,"Sarepta Form 10-Q for the quarter ended 2025-03-31, Summary of Product Revenues (XBRL R50) (filed 2025-05-06)",https://www.sec.gov/Archives/edgar/data/873303/000095017025064412/R50.htm,verified-from-source,"Sarepta holds US rights only (Roche has ex-US rights); ELEVIDYS product revenue is 100% US, so US = Total. Reported as $374,985 thousand (ELEVIDYS United States $374,985K, Rest of World $0). Cross-check: six months 2025 $656,836K minus Q2 2025 $281,851K (Q2 2025 10-Q R52) = $374,985K. Peak quarter. First ELEVIDYS-related death (acute liver failure, non-ambulatory patient) reported 2025-03-18."
Elevidys,2025Q2,US,281.851,USD,"Sarepta Form 10-Q for the quarter ended 2025-06-30, Summary of Product Revenues (XBRL R52) (filed 2025-08-06)",https://www.sec.gov/Archives/edgar/data/873303/000095017025103971/R52.htm,verified-from-source,"Sarepta holds US rights only (Roche has ex-US rights); ELEVIDYS product revenue is 100% US, so US = Total. Reported as $281,851 thousand; preliminary figure of $282 million in the 2025-07-16 restructuring release. Shipments to non-ambulatory patients suspended in June 2025 after a second death."
