product,indication_key,indication_label,geography,measure_type,value_low,value_point,value_high,unit,estimate_year,as_of_date,verbatim,source_doc,source_url,status,notes
ALL,births,live births (population base),US,live_births,,3591328,,live births per year,2023,2024-04-25,"The provisional number of births for the United States in 2023 was 3,591,328, down 2% from 2022.","CDC NCHS Vital Statistics Rapid Release no. 35, Births: Provisional Data for 2023 (April 2024)",https://www.cdc.gov/nchs/data/vsrr/vsrr035.pdf,verified-from-source,measure_type live_births is outside the enumerated list; kept as a separate row so incident flows can be derived. Provisional count; final 2023 count may differ slightly.
ALL,births,live births (population base),England,live_births,,563561,,live births per year,2023,2024-10-28,"In 2023, 563,561 live births occurred in England","ONS, Births in England and Wales: 2023 (bulletin 28 Oct 2024)",https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/bulletins/birthsummarytablesenglandandwales/2023,verified-from-source,"England only. England and Wales combined 591,072 (same bulletin; Wales 27,374)."
ALL,births,live births (population base),England and Wales,live_births,,591072,,live births per year,2023,2024-10-28,"There were 591,072 live births in England and Wales","ONS, Births in England and Wales: 2023 (bulletin 28 Oct 2024)",https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/bulletins/birthsummarytablesenglandandwales/2023,verified-from-source,
ALL,births,live births (population base),EU,live_births,,3550000,,live births per year,2024,2026-09-04,3.55 million babies were born in the EU in 2024.,"Eurostat Statistics Explained, Fertility statistics (accessed 4 Sep 2026)",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Fertility_statistics,verified-from-source,"EU27. Eurostat 'Population and population change statistics' (accessed same day) gives 3.46 million live births in 2025. Country tables are images and were not captured; Germany, France, Italy and Spain births NOT retrieved (no search budget left)."
ALL,births,live births (population base),EU,live_births,,3460000,,live births per year,2025,2026-09-04,"In 2025 as in previous years, the number of deaths (4.81 million) continued to outnumber those of live births (3.46 million) in the EU","Eurostat Statistics Explained, Population and population change statistics (accessed 4 Sep 2026)",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Population_and_population_change_statistics,verified-from-source,
ALL,births,live births (population base),Australia,live_births,,292318,,registered births per year,2024,2025-10-15,"There were 292,318 registered births in 2024, an increase of 1.9% (or 5,320 births) from 2023.","ABS, Births, Australia (latest release, 15 Oct 2025)",https://www.abs.gov.au/statistics/people/population/births-australia/latest-release,verified-from-source,
ALL,births,live births (population base),Australia,live_births,,286998,,registered births per year,2023,2025-10-15,,"ABS, Births, Australia (latest release, 15 Oct 2025) - derived",https://www.abs.gov.au/statistics/people/population/births-australia/latest-release,derived,"Derived: 292,318 (2024) minus 5,320 (stated increase from 2023) = 286,998."
ALL,births,live births (population base),Germany,live_births,,,,live births per year,,,,,,not-found,Not retrieved: Eurostat country table not machine-readable and search budget exhausted before Destatis could be fetched. G-BA figures below are absolute counts so no derivation is needed for Germany.
ALL,births,live births (population base),France,live_births,,,,live births per year,,,,,,not-found,Not retrieved (INSEE not fetched). HAS avis PDFs could not be downloaded (HAS server aborted every stream).
ALL,births,live births (population base),Italy,live_births,,,,live births per year,,,,,,not-found,Not retrieved (ISTAT not fetched).
ALL,births,live births (population base),Spain,live_births,,,,live births per year,,,,,,not-found,Not retrieved (INE not fetched).
ALL,births,live births (population base),Japan,live_births,,,,live births per year,,,,,,not-found,Not retrieved (MHLW not fetched; nippon.com page fetched was the wrong article).
ALL,births,live births (population base),Canada,live_births,,,,live births per year,,,,,,not-found,StatCan Daily (25 Sep 2024) fetched gives fertility rate 1.26 for 2023 but not the birth count.
Zolgensma,SMA_under2,pediatric patients less than 2 years of age with SMA with bi-allelic mutations in the SMN1 gene,US,label_indication,,,,,2019,2019-05-24,Zolgensma (onasemnogene abeparvovec-xioi) is an adeno-associated virus vector-based gene therapy indicated for the treatment of pediatric patient less than 2 years of age with spinal muscular atrophy (SMA) with bi-allelic mutations in the survival motor neuron 1 (SMN1) gene.,"Novartis/AveXis press release, FDA approval of Zolgensma, 24 May 2019",https://www.novartis.com/news/media-releases/avexis-receives-fda-approval-zolgensma-first-and-only-gene-therapy-pediatric-patients-spinal-muscular-atrophy-sma,verified-from-source,US label scope at launch. Label does not restrict by SMA type or SMN2 copy number (all types under 2).
Zolgensma,SMA_under2,pediatric patients less than 2 years of age with SMA with bi-allelic mutations in the SMN1 gene,US,incidence_rate,,1,,cases per 10000 live births,2019,2019-05-24,"The incidence of SMA is approximately 1 in 10,000 live births and it is the leading genetic cause of infant mortality.","Novartis/AveXis press release, FDA approval of Zolgensma, 24 May 2019",https://www.novartis.com/news/media-releases/avexis-receives-fda-approval-zolgensma-first-and-only-gene-therapy-pediatric-patients-spinal-muscular-atrophy-sma,verified-from-source,Population base: live births. All SMA types.
Zolgensma,SMA_under2,"all SMA (all types), infants born per year",US,company_addressable,450,,500,patients per year,2019,2019-05-24,Approximately 450 to 500 infants are born with SMA in the US annually.,"Novartis/AveXis press release, FDA approval of Zolgensma, 24 May 2019",https://www.novartis.com/news/media-releases/avexis-receives-fda-approval-zolgensma-first-and-only-gene-therapy-pediatric-patients-spinal-muscular-atrophy-sma,verified-from-source,Company statement of annual incident SMA births; all types. Upper bound on annual incident label-eligible flow (label covers all types under 2).
Zolgensma,SMA_under2,"all SMA, new cases per year",US,annual_incident_eligible,,500,,patients per year,2019,2019-05-24,"In the United States (US), SMA incidence is approximately one in 10,000 live births or about 500 new SMA cases per year.","ICER, Spinraza and Zolgensma for Spinal Muscular Atrophy: Final Evidence Report (updated 24 May 2019; first issued 3 Apr 2019), p.1 and p.ES1",https://icer.org/wp-content/uploads/2020/10/ICER_SMA_Final_Evidence_Report_052419.pdf,verified-from-source,ICER background statement; all SMA types.
Zolgensma,SMA_under2,SMA birth prevalence (all types),US,incidence_rate,,9.4,,cases per 100000 live births,2019,2019-05-24,"The incidence was assumed to be the US SMA birth prevalence (9.4 per 100,000 live births) as estimated by Lally et al.","ICER, Spinraza and Zolgensma for SMA: Final Evidence Report, section 7.2 (p.101)",https://icer.org/wp-content/uploads/2020/10/ICER_SMA_Final_Evidence_Report_052419.pdf,verified-from-source,Population base: live births. Lally et al. 2017.
